region_name,ERP_2024,ERP_2025,ERP_change_no,ERP_change_pct,natural_increase,net_internal_migration,net_overseas_migration,area_km2,population_density_2025
Albury,58768,59538,770,1.3,201,335,234,305.6,194.8
Armidale,29686,29652,-34,-0.1,43,-329,252,7809.4,3.8
Ballina,48135,48603,468,1,-47,313,202,485,100.2
Balranald,2256,2244,-12,-0.5,10,-31,9,21690.7,0.1
Bathurst,44999,45359,360,0.8,207,-12,165,3817.9,11.9
Bayside (NSW),186061,187770,1709,0.9,925,-3143,3927,50.6,3709.4
Bega Valley,36700,36921,221,0.6,-85,224,82,6278.5,5.9
Bellingen,13312,13348,36,0.3,-2,-1,39,1600.4,8.3
Berrigan,8716,8773,57,0.7,-47,74,30,2065.9,4.2
Blacktown,439552,449385,9833,2.2,4000,839,4994,238.8,1881.5
Bland,5465,5455,-10,-0.2,22,-43,11,8557.7,0.6
Blayney,7768,7831,63,0.8,21,29,13,1524.6,5.1
Blue Mountains,78847,79236,389,0.5,66,-136,459,1431.1,55.4
Bogan,2406,2373,-33,-1.4,21,-62,8,14599.9,0.2
Bourke,2366,2310,-56,-2.4,20,-83,7,41598.4,0.1
Brewarrina,1401,1396,-5,-0.4,-2,-8,5,19162,0.1
Broken Hill,17599,17515,-84,-0.5,-9,-114,39,170.1,103
Burwood,43352,43927,575,1.3,61,-670,1184,7.1,6162.4
Byron,38087,38784,697,1.8,138,219,340,565.8,68.5
Cabonne,13917,13915,-2,0,17,-41,22,6022.3,2.3
Camden,141258,146483,5225,3.7,1684,3030,511,201.5,726.9
Campbelltown (NSW),188545,191285,2740,1.5,1583,-450,1607,311.4,614.3
Canada Bay,92357,93006,649,0.7,389,-1081,1341,19.9,4668.1
Canterbury-Bankstown,385655,389687,4032,1,2748,-4541,5825,110.2,3535
Carrathool,2772,2803,31,1.1,15,4,12,18934.5,0.1
Central Coast (NSW),355354,357816,2462,0.7,401,238,1823,1681,212.9
Central Darling,1776,1773,-3,-0.2,4,-13,6,53492.2,0
Cessnock,69432,71443,2011,2.9,505,1405,101,1965.2,36.4
Clarence Valley,56216,56874,658,1.2,-133,677,114,10428.7,5.5
Cobar,4015,4019,4,0.1,26,-33,11,45575.4,0.1
Coffs Harbour,81529,82109,580,0.7,94,53,433,1173.7,70
Coolamon,4636,4742,106,2.3,12,87,7,2430.9,2
Coonamble,3878,3889,11,0.3,26,-22,7,9916.1,0.4
Cootamundra-Gundagai,11452,11429,-23,-0.2,-12,-48,37,3981.4,2.9
Cowra,12718,12721,3,0,-23,6,20,2808.8,4.5
Cumberland,252839,256906,4067,1.6,2475,-4093,5685,72.7,3531.4
Dubbo,57049,57384,335,0.6,361,-252,226,7534.5,7.6
Dungog,9911,10102,191,1.9,21,158,12,2250,4.5
Edward River,8492,8501,9,0.1,17,-39,31,8883.4,1
Eurobodalla,41123,41309,186,0.5,-225,308,103,3428.2,12
Fairfield,212482,213677,1195,0.6,752,-2463,2906,101.5,2105
Federation,13160,13247,87,0.7,-30,92,25,5684.9,2.3
Forbes,9322,9301,-21,-0.2,-5,-28,12,4710.1,2
Georges River,161742,163919,2177,1.3,540,-1831,3468,38.3,4275.7
Gilgandra,4305,4304,-1,0,20,-31,10,4831.5,0.9
Glen Innes Severn,9005,9069,64,0.7,-33,85,12,5480,1.7
Goulburn Mulwaree,33305,33746,441,1.3,105,199,137,3220.1,10.5
Greater Hume,11660,11742,82,0.7,26,37,19,5749.4,2
Griffith,27432,27458,26,0.1,215,-415,226,1639.2,16.8
Gunnedah,13414,13502,88,0.7,67,-11,32,4987,2.7
Gwydir,4919,4968,49,1,-16,61,4,9259.7,0.5
Hawkesbury,68639,69299,660,1,424,8,228,2775.1,25
Hay,2867,2899,32,1.1,16,4,12,11325.9,0.3
Hilltops,19393,19347,-46,-0.2,-19,-68,41,7140.9,2.7
Hornsby,154866,155484,618,0.4,52,-1250,1816,455,341.7
Hunters Hill,14047,13983,-64,-0.5,-78,-88,102,5.7,2445.9
Inner West,191173,193125,1952,1,832,-1784,2904,35.2,5484.7
Inverell,18130,18152,22,0.1,21,-60,61,9404.8,1.9
Junee,6456,6403,-53,-0.8,14,-108,41,2030,3.2
Kempsey,31818,31950,132,0.4,-60,113,79,3375.7,9.5
Kiama,23159,23139,-20,-0.1,-62,-50,92,257.7,89.8
Ku-ring-gai,128429,128542,113,0.1,-155,-1236,1504,85.4,1505
