sa4_name,unemployment_rate_pct_2026m03
102 Central Coast,5.01335609
115 Sydney - Baulkham Hills and Hawkesbury,3.95807182
116 Sydney - Blacktown,5.38089537
117 Sydney - City and Inner South,4.56701239
118 Sydney - Eastern Suburbs,3.182985
119 Sydney - Inner South West,5.19702653
120 Sydney - Inner West,3.93382137
121 Sydney - North Sydney and Hornsby,3.90092533
122 Sydney - Northern Beaches,3.01131768
123 Sydney - Outer South West,5.1496978
124 Sydney - Outer West and Blue Mountains,4.22148571
125 Sydney - Parramatta,6.14424069
126 Sydney - Ryde,4.11980797
127 Sydney - South West,6.11101263
128 Sydney - Sutherland,2.75037082
101 Capital Region,3.41032672
103 New South Wales - Central West,3.83747019
104 Coffs Harbour - Grafton,4.56498763
105 Far West and Orana,4.40010163
106 Hunter Valley exc Newcastle,4.79868141
107 Illawarra,4.63825632
108 Mid North Coast,4.73197583
109 Murray,4.25325421
110 New England and North West,4.78233866
111 Newcastle and Lake Macquarie,4.75694404
112 Richmond - Tweed,4.14344327
113 Riverina,3.77730211
114 Southern Highlands and Shoalhaven,4.19255409
206 Melbourne - Inner,5.16015819
207 Melbourne - Inner East,4.39893877
208 Melbourne - Inner South,4.18917266
209 Melbourne - North East,5.03701601
210 Melbourne - North West,6.00153885
211 Melbourne - Outer East,4.1346968
212 Melbourne - South East,6.21656911
213 Melbourne - West,6.48314891
214 Mornington Peninsula,4.7844869
201 Ballarat,4.02015195
202 Bendigo,3.83592027
203 Geelong,3.77615095
204 Hume,3.41676654
205 Latrobe - Gippsland,4.43086777
215 Victoria - North West,3.70304104
216 Shepparton,4.23341066
217 Warrnambool and South West,3.00531459
301 Brisbane - East,3.34645515
302 Brisbane - North,3.36343343
303 Brisbane - South,3.90665096
304 Brisbane - West,3.15056089
305 Brisbane Inner City,3.13751044
310 Ipswich,5.36572813
311 Logan - Beaudesert,5.69136661
313 Moreton Bay - North,5.5495819
314 Moreton Bay - South,3.77073655
306 Cairns,4.6805817
307 Darling Downs - Maranoa,3.28316561
308 Central Queensland,4.28654906
309 Gold Coast,2.67475919
312 Mackay - Isaac - Whitsunday,3.00578854
315 Queensland - Outback,6.96981967
316 Sunshine Coast,3.19349304
317 Toowoomba,3.83783392
318 Townsville,4.92263662
319 Wide Bay,5.05546228
401 Adelaide - Central and Hills,2.99781312
402 Adelaide - North,5.42606725
403 Adelaide - South,3.7748397
404 Adelaide - West,3.38761126
405 Barossa - Yorke - Mid North,4.25562448
406 South Australia - Outback,6.08261249
407 South Australia - South East,3.48574617
502 Mandurah,5.17239598
503 Perth - Inner,3.02196075
504 Perth - North East,4.33227684
505 Perth - North West,4.26240466
506 Perth - South East,4.5502126
507 Perth - South West,4.63630012
501 Bunbury,3.48434244
508 Western Australia - Outback (North and South),5.18791895
509 Western Australia - Wheat Belt,3.19384419
601 Hobart,4.7944409
602 Launceston and North East,4.12232535
603 Tasmania - South East,4.19980901
604 Tasmania - West and North West,4.62358756
701 Darwin,3.53605327
702 Northern Territory - Outback,6.1215646
801 Australian Capital Territory(a),4.09872932
