geo,gdp_per_capita_eur,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
BG311,8300.0,749.0,549.0,200.0,53.2,1088.0,114.0,314.0,74.0
BG312,7800.0,702.0,484.0,217.0,51.1,1069.0,128.0,285.0,64.0
BG313,14800.0,647.0,417.0,229.0,49.1,1067.0,139.0,253.0,55.0
BG314,9800.0,715.0,490.0,225.0,50.7,1086.0,131.0,286.0,66.0
BG315,9200.0,717.0,487.0,231.0,50.8,1068.0,134.0,283.0,69.0
BG321,11300.0,670.0,461.0,209.0,50.0,1098.0,125.0,276.0,62.0
BG322,12700.0,728.0,528.0,201.0,52.5,1108.0,116.0,305.0,76.0
BG323,11600.0,653.0,449.0,204.0,50.2,1089.0,123.0,272.0,61.0
BG324,9100.0,628.0,418.0,210.0,50.3,1087.0,129.0,257.0,50.0
BG325,7300.0,696.0,476.0,219.0,51.7,1076.0,129.0,281.0,60.0
BG331,15200.0,567.0,339.0,228.0,45.3,1082.0,146.0,216.0,48.0
BG332,9100.0,662.0,451.0,211.0,50.9,1094.0,127.0,271.0,56.0
BG333,9300.0,632.0,420.0,213.0,49.4,1065.0,130.0,257.0,52.0
BG334,10400.0,646.0,425.0,221.0,49.7,1061.0,134.0,258.0,53.0
BG341,11900.0,601.0,368.0,233.0,46.9,1086.0,146.0,230.0,46.0
BG342,6700.0,703.0,384.0,319.0,44.6,1073.0,188.0,225.0,48.0
BG343,9900.0,731.0,468.0,263.0,49.3,1065.0,152.0,270.0,61.0
BG344,22400.0,651.0,409.0,242.0,47.8,1081.0,146.0,248.0,57.0
BG411,35400.0,512.0,290.0,221.0,43.1,1088.0,146.0,192.0,45.0
BG412,12800.0,623.0,393.0,230.0,47.8,1046.0,141.0,242.0,55.0
BG413,9200.0,587.0,361.0,226.0,46.9,1062.0,142.0,228.0,49.0
BG414,9100.0,643.0,435.0,208.0,49.4,1094.0,127.0,265.0,64.0
BG415,8400.0,689.0,485.0,204.0,51.5,1085.0,121.0,287.0,69.0
BG421,13100.0,598.0,362.0,236.0,45.7,1096.0,147.0,227.0,54.0
BG422,7400.0,665.0,433.0,233.0,48.9,1057.0,140.0,260.0,58.0
BG423,9100.0,639.0,407.0,233.0,48.5,1055.0,142.0,248.0,53.0
BG424,9500.0,676.0,503.0,173.0,53.5,1092.0,103.0,300.0,60.0
BG425,8200.0,648.0,446.0,202.0,51.2,1037.0,122.0,271.0,49.0
