geo_name,dguid,married_or_commonlaw_per1000,not_married_not_commonlaw_per1000,one_person_households_per1000,owner_households_per1000,renter_households_per1000,immigrants_per1000,non_immigrants_per1000,no_certificate_15plus_per1000,postsecondary_cert_15plus_per1000,bachelor_or_higher_15plus_per1000,median_age,median_total_income_recipients_2020,median_aftertax_income_recipients_2020,median_hh_total_income_2020,median_hh_aftertax_income_2020,lim_at_low_income_rate_pct,lico_at_low_income_rate_pct,gini_aftertax,p90_p10_ratio_aftertax,owner_pct_with_mortgage,owner_pct_30plus_shelter,median_shelter_cost_owned,tenant_pct_30plus_shelter,median_shelter_cost_rented,participation_rate,employment_rate,unemployment_rate
Newfoundland and Labrador,2021A000210,521.418078542748,345.0200763882088,122.00568014885907,331.03515816276564,105.14151405347175,27.911076290275194,945.2844971109588,173.75379492703945,441.4650866712369,141.39653315052394,48.4,36800.0,33200.0,71500.0,63200.0,15.2,3.7,0.29,3.7,47.4,8.9,750.0,32.5,870.0,56.1,47.5,15.2
Prince Edward Island,2021A000211,488.6574959016659,358.19116055750305,120.74696593685002,287.822926048558,129.52679630145596,76.23225405135716,863.6307676357958,132.0862302453817,457.0047495318504,180.71547517997033,44.0,38800.0,34400.0,73500.0,64000.0,13.8,4.1,0.271,3.4,55.6,8.8,860.0,30.3,940.0,65.8,59.0,10.3
Nova Scotia,2021A000212,486.4640704448087,372.51014304975433,136.01435139671318,295.0278682419642,143.8182844139004,73.82530950099186,889.168677395828,141.86859063961305,476.1585462092898,205.00153190225123,45.6,38000.0,33600.0,71500.0,62400.0,14.9,4.7,0.282,3.6,54.3,9.7,870.0,34.7,1000.0,59.5,51.9,12.7
New Brunswick,2021A000213,497.41493791983083,359.2978429880997,129.63344980080194,317.7563466175011,114.04571885354753,56.884258841428036,907.9498717138769,157.92086228903702,428.72061989917614,158.41079924188702,46.8,37600.0,34000.0,70000.0,62000.0,14.2,3.8,0.272,3.4,54.6,7.5,770.0,28.0,830.0,60.1,53.9,10.3
Quebec,2021A000224,466.7128841509825,369.63323085739273,154.9671700208649,264.13186426974045,176.0808522115172,142.39282281832635,810.6616537868952,147.79753965997685,491.67632438792907,191.5986823076859,43.2,40800.0,36400.0,72500.0,63200.0,11.9,5.3,0.28,3.4,62.2,10.0,1070.0,25.2,810.0,64.1,59.3,7.6
Ontario,2021A000235,475.93873765795723,365.7509289618869,102.11937028427141,264.04213403007407,121.27228865247059,295.73974640785235,663.481333093175,126.53946423572313,476.5742858062835,248.0746898433641,41.6,41200.0,37200.0,91000.0,79500.0,10.1,5.3,0.308,3.9,59.7,17.7,1440.0,38.4,1300.0,62.8,55.1,12.2
Manitoba,2021A000246,459.15778603482613,352.3853092754701,108.94808565044373,260.2721150271243,116.59624498846256,191.9453296308245,756.4562311450334,148.8988215203483,396.2588467931749,180.35946721424457,38.4,39200.0,35200.0,79500.0,69000.0,14.2,6.3,0.29,3.7,61.1,9.9,1100.0,33.5,1040.0,64.4,59.1,8.3
Saskatchewan,2021A000247,465.19441415269694,337.79983311331955,114.88249500002208,280.48882786389464,104.71476947121647,121.51822729259473,838.632059019607,141.11637476214233,387.28305835294327,160.04785850835097,38.8,42400.0,38400.0,82000.0,73000.0,13.4,4.0,0.293,3.9,57.9,11.1,1110.0,33.1,1030.0,65.4,59.9,8.4
Alberta,2021A000248,477.1567352119053,332.9044124115717,99.48189324209086,271.5444789431889,109.13906539030435,227.78633403986032,737.0828137994456,122.65535285099475,441.08515038233395,203.01292510383837,38.4,44800.0,40400.0,96000.0,83000.0,9.2,4.6,0.307,3.9,64.2,16.0,1600.0,34.0,1280.0,68.0,60.2,11.5
British Columbia,2021A000259,492.73937641762575,363.90502549651774,120.11988292458186,272.59007866417085,133.8664662752288,285.09188084734706,663.7293163861792,113.11311471443321,479.2667449062455,239.89982561065764,42.8,40800.0,37200.0,85000.0,76000.0,10.8,5.8,0.306,4.0,57.5,19.3,1320.0,37.8,1370.0,63.3,57.9,8.4
Yukon,2021A000260,454.3646848279976,376.1930801352157,139.6897991648439,275.02982700338043,137.45277391131438,133.8486776695168,827.202227082919,120.79936369059455,486.05587591966594,222.83257108769138,39.2,54800.0,49200.0,100000.0,88000.0,7.6,,0.275,3.8,59.4,11.8,1460.0,24.9,1180.0,71.7,66.8,6.8
Northwest Territories,2021A000261,424.51911370830294,369.12588263939614,96.90771852934014,198.1981981981982,170.92768444119795,100.92524957389823,872.1694667640613,201.1200389578768,387.3873873873874,172.14511809106403,35.6,56800.0,51200.0,127000.0,109000.0,7.2,,0.287,4.3,60.0,8.8,1740.0,15.6,1450.0,70.7,64.6,8.6
Nunavut,2021A000262,338.7324325790873,333.44185794128816,53.041402137934774,51.68484453849911,217.5918389494818,31.60779206685116,959.4931900808509,345.65087633620925,196.97216343805957,70.67665093059851,25.6,37600.0,35600.0,118000.0,104000.0,14.7,,0.331,5.0,58.3,7.6,1490.0,5.3,408.0,58.6,48.7,16.9
