geo_name,dguid,married_or_commonlaw_per1000,not_married_not_commonlaw_per1000,one_person_households_per1000,owner_households_per1000,renter_households_per1000,immigrants_per1000,non_immigrants_per1000,no_certificate_15plus_per1000,postsecondary_cert_15plus_per1000,bachelor_or_higher_15plus_per1000,median_age,median_total_income_recipients_2020,median_aftertax_income_recipients_2020,median_hh_total_income_2020,median_hh_aftertax_income_2020,lim_at_low_income_rate_pct,lico_at_low_income_rate_pct,gini_aftertax,p90_p10_ratio_aftertax,owner_pct_with_mortgage,owner_pct_30plus_shelter,median_shelter_cost_owned,tenant_pct_30plus_shelter,median_shelter_cost_rented,participation_rate,employment_rate,unemployment_rate
"Division No.  1, Census division (CDR)",2021A00031001,496.0313081602778,363.0856487100832,123.08829695672324,315.876974231089,115.10677583327816,37.60878040885986,930.141460508022,124.83540411508102,492.16928181022365,189.93813401599246,44.8,40000.0,35600.0,78500.0,68000.0,12.8,4.3,0.293,3.8,55.9,11.2,1070.0,33.8,930.0,60.2,52.9,12.2
"Division No.  2, Census division (CDR)",2021A00031002,564.1501650165017,323.0713696369637,128.14562706270627,387.5309405940594,70.90552805280528,10.571369636963697,975.4022277227723,247.5247524752475,403.7747524752475,60.84983498349835,54.4,31800.0,29200.0,60400.0,54800.0,19.7,2.6,0.274,3.3,30.5,6.3,476.0,27.6,705.0,49.3,39.5,20.0
"Division No.  3, Census division (CDR)",2021A00031003,600.933908045977,293.10344827586204,113.86494252873564,390.8045977011495,52.80172413793104,6.4655172413793105,987.0689655172413,318.60632183908046,308.5488505747127,57.112068965517246,55.2,31400.0,29000.0,62000.0,56400.0,19.4,2.3,0.249,3.1,24.7,4.2,432.0,32.9,680.0,47.4,38.4,18.9
"Division No.  4, Census division (CDR)",2021A00031004,483.30130369293096,401.49587077338595,166.20786370955176,344.36191762322755,133.48569054173376,14.02378850049343,963.745909728354,234.5089077026957,398.11977354178566,85.70092972523763,54.4,30200.0,27800.0,51200.0,47200.0,25.5,5.2,0.283,3.6,36.4,7.2,464.0,38.3,725.0,44.3,34.2,22.7
"Division No.  5, Census division (CDR)",2021A00031005,521.5862956728389,353.25279730666404,129.09694029111793,325.2797306664026,119.69006832359639,19.18506782849787,955.0450539657392,171.42786414496487,437.66709575205465,125.87879988117636,50.4,36000.0,32400.0,67500.0,59600.0,15.7,3.4,0.27,3.4,48.8,9.6,765.0,33.0,850.0,53.8,45.6,15.1
"Division No.  6, Census division (CDR)",2021A00031006,536.5703420016604,329.4142853316907,122.1243204156512,310.2654061437103,131.36398939446693,17.274163743003292,957.7117758911594,181.1778569324299,425.6943142558719,104.04670719622915,50.0,35200.0,32000.0,67000.0,59600.0,16.4,3.7,0.283,3.5,54.9,9.2,860.0,34.4,850.0,53.5,44.2,17.2
"Division No.  7, Census division (CDR)",2021A00031007,574.3856675947222,310.34378404551506,119.53758624863818,373.29015857644356,76.71589395956906,13.164265827381673,966.8926280111366,239.07517249727636,364.9679215591333,71.72255174918291,54.4,31800.0,29200.0,60400.0,54400.0,19.3,2.4,0.265,3.1,35.1,6.0,468.0,33.1,770.0,49.1,39.0,20.4
"Division No.  8, Census division (CDR)",2021A00031008,607.9846788450207,287.2716558632882,112.55156157925751,388.47967000589273,64.82027106658809,6.3347083087802005,977.6075427224514,308.19092516205063,304.0659988214496,54.65527401296406,55.6,29400.0,27200.0,57600.0,52400.0,22.3,2.6,0.26,3.1,27.1,5.0,412.0,31.7,710.0,45.3,34.0,25.0
"Division No.  9, Census division (CDR)",2021A00031009,587.7961039842531,312.22425846738616,115.38722595533837,403.85529084368426,46.83363877010792,16.629335505328175,965.8589560849792,305.43677458766035,317.31487137718045,78.05606461684654,56.4,32800.0,29800.0,65000.0,58000.0,17.4,1.5,0.254,3.1,23.2,4.3,436.0,26.1,695.0,48.8,34.1,30.2
"Division No. 10, Census division (CDR)",2021A00031010,511.4663817195463,303.5097813578827,88.97747821798454,276.3850073976656,98.43005096169654,46.23541015946079,925.3246753246754,158.43333881308567,435.2293276343909,101.10143021535427,39.2,51200.0,45200.0,115000.0,96000.0,7.7,2.0,0.265,3.8,56.8,4.2,960.0,11.5,900.0,68.7,60.4,12.1
"Division No. 11, Census division (CDR)",2021A00031011,393.88721480843736,344.38226431338785,64.57167455876022,271.20103314679295,64.57167455876022,4.304778303917348,990.09900990099,264.7438656909169,245.37236332328885,47.35256134309083,32.8,35600.0,32400.0,77500.0,68500.0,21.5,2.5,0.277,3.7,11.9,3.2,332.0,6.9,564.0,54.7,44.2,19.3
