region_name,num_households_2021_total,num_households_2016_total,median_total_income_2020_total_cad,median_total_income_2015_total_cad,median_aftertax_income_2020_total_cad,median_aftertax_income_2015_total_cad,num_households_2021_1person,median_total_income_2020_1person_cad,num_households_2021_census_family,median_total_income_2020_census_family_cad,num_households_2021_non_census_family,median_total_income_2020_non_census_family_cad
Alberta,1633220,1527680,96000,102000,83000,87000,424055,48000,1127020,118000,506205,53600
British Columbia,2041835,1881970,85000,75500,76000,66500,600705,43200,1332560,111000,709270,48000
Manitoba,518055,489050,79500,73500,69000,64000,146225,41200,347875,100000,170180,44400
New Brunswick,337650,319770,70000,64000,62000,56800,100545,35600,222260,90000,115390,38800
Newfoundland and Labrador,223250,218670,71500,73000,63200,64000,62290,33200,152850,92000,70405,36400
Northwest Territories,15205,14980,127000,127000,109000,108000,3985,68000,10445,156000,4765,79000
Nova Scotia,428225,401990,71500,66000,62400,57600,131850,36400,274400,93000,153825,40400
Nunavut,9925,9815,118000,105000,104000,93000,1955,80000,7570,129000,2355,86000
Ontario,5491205,5169175,91000,80000,79500,70500,1452540,43600,3797960,113000,1693240,48400
Prince Edward Island,64570,59470,73500,66000,64000,58000,18635,36400,42725,94000,21845,40400
Quebec,3749035,3531660,72500,64500,63200,56400,1317505,38800,2292250,99000,1456785,41200
Saskatchewan,449580,432625,82000,82000,73000,71000,130110,42400,300560,105000,149025,46000
Yukon,17185,15215,100000,92000,88000,80000,5615,51200,10625,133000,6560,58800
