region_name,num_households_2021_total,num_households_2016_total,median_total_income_2020_total_cad,median_total_income_2015_total_cad,median_aftertax_income_2020_total_cad,median_aftertax_income_2015_total_cad,num_households_2021_1person,median_total_income_2020_1person_cad,num_households_2021_census_family,median_total_income_2020_census_family_cad,num_households_2021_non_census_family,median_total_income_2020_non_census_family_cad
105 Mile Post 2,,0,,0,,0,,,,,,
A Kwis Ki Mahka,,0,,0,,0,,,,,,
Abbey,,,,,,,,,,,,
Abbotsford,53235,49040,90000,78500,81000,69500,13180,41200,37645,113000,15590,45600
Abercorn,180,165,72500,72000,62800,61600,75,44800,105,91000,75,47600
Aberdeen,385,350,59200,50800,52800,48000,115,26600,255,75000,135,28600
Aberdeen,255,0,95000,0,82000,0,50,41200,195,108000,65,50400
Aberdeen No. 373,490,465,140000,138000,118000,114000,60,44000,420,152000,70,51600
Abernethy,,,,,,,,,,,,
Abernethy No. 186,145,150,82000,79000,73500,66000,30,49600,110,97000,35,52000
Abitibi 70,,,,,,,,,,,,
Abram-Village,145,120,73000,67000,61600,59600,40,40800,105,96000,40,42000
Acadia No. 34,155,160,79500,73500,69500,64000,55,40400,105,93000,50,41200
Acadieville,335,310,64500,54400,57200,51200,90,28400,240,81000,95,30200
Acme,270,280,70500,68500,63600,61600,80,35600,180,89000,100,36800
Acton Vale,3480,3370,57600,51200,50800,46800,1300,32800,2085,82000,1395,34400
Addington,325,310,57600,52400,51600,49200,100,34400,220,72000,105,34800
Addington Highlands,1120,1035,57600,52000,54400,48400,330,27600,750,73000,375,30800
Adelaide-Metcalfe,1015,990,105000,93000,93000,81000,145,46800,840,116000,170,51200
Adjala-Tosorontio,3835,3830,117000,109000,100000,93000,600,48000,3140,133000,695,56000
Admaston/Bromley,1135,1085,85000,76000,75500,67000,230,36800,865,100000,270,42000
Admirals Beach,,,,,,,,,,,,
Adstock,1275,1195,72000,67000,62800,59200,395,38800,855,96000,425,39600
Agats Meadow 8,,0,,0,,0,,,,,,
Agency 1,,0,,0,,0,,,,,,
Aguanish,,,,,,,,,,,,
Ahahswinis 1,,,,,,,,,,,,
Ahaminaquus 12,,0,,0,,0,,,,,,
Ahtahkakoop 104,405,385,46800,28400,46800,28400,90,22000,300,53600,105,23000
Air Ronge,435,415,106000,104000,95000,90000,75,62800,345,115000,90,67000
Airdrie,26295,21660,110000,119000,94000,100000,5050,57600,20275,124000,6025,64000
Aitchelitch 9,,0,,0,,0,,,,,,
Ajax,39490,37550,119000,105000,103000,91000,5555,51200,32980,132000,6510,56400
Aklavik,215,215,55200,56800,54800,53200,85,24200,125,91000,95,24600
Akulivik,185,155,76500,64500,73000,58400,35,27200,145,92000,40,27400
Akulivik,,0,,0,,0,,,,,,
Akwesasne,,0,,0,,0,,,,,,
Akwesasne (Part) 59,,0,,0,,0,,,,,,
Alameda,165,170,88000,90000,77500,73500,60,42800,95,113000,70,49200
Albanel,935,930,77000,66500,68000,58000,245,42400,675,93000,260,42800
Alberni 2,,0,,0,,0,,,,,,
Alberni-Clayoquot A,,,,,,,,,,,,
Alberni-Clayoquot B,210,200,76500,77000,68500,69000,40,27600,170,90000,40,31200
Alberni-Clayoquot C,315,265,69500,54000,62400,50000,95,36800,210,87000,105,39200
Alberni-Clayoquot D,870,775,85000,82000,77000,71000,260,44800,590,106000,285,47600
Alberni-Clayoquot E,1260,1190,79000,74000,71500,65500,320,36400,900,100000,365,39200
Alberni-Clayoquot F,855,840,73500,69000,66500,60800,245,37600,590,90000,265,39600
Albert Flat 5,,0,,0,,0,,,,,,
Alberta Beach,415,480,84000,84000,73500,73000,140,42800,260,101000,155,47200
Alberton,555,500,52400,48400,47600,45200,230,28200,305,76000,255,29800
Alberton,905,850,84000,77500,71000,67500,215,40000,680,100000,225,40400
Alberton,340,350,111000,110000,94000,92000,50,56400,290,130000,55,58800
Albertville,,,,,,,,,,,,
Albertville,,0,,0,,0,,,,,,
Alderville First Nation,250,230,48000,44400,45200,43600,85,29400,155,65000,95,33200
Alert Bay,220,225,59200,58000,54800,54400,95,40400,115,78500,110,42400
Alert Bay,160,190,54800,32400,54400,31800,40,25600,115,73000,45,29200
Alexander,1845,1600,71500,68000,62400,59600,560,44800,1245,85000,605,45600
Alexander 134,285,270,79000,66000,77500,64000,45,25600,230,88000,55,30800
Alexander 134B,,0,,0,,0,,,,,,
