geo,employment_rate_per1000,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
HR021,390.98,640.0,408.0,232.0,47.1,1036.0,141.0,249.0,54.0
HR022,386.44,598.0,379.0,219.0,47.0,1050.0,137.0,237.0,49.0
HR023,372.19,627.0,400.0,228.0,47.0,1048.0,140.0,246.0,56.0
HR024,359.21,610.0,389.0,221.0,46.7,1013.0,137.0,242.0,55.0
HR025,399.88,589.0,375.0,214.0,46.5,1063.0,135.0,236.0,50.0
HR026,366.31,619.0,398.0,221.0,47.2,1048.0,136.0,246.0,53.0
HR027,403.8,617.0,415.0,202.0,48.3,1037.0,125.0,257.0,62.0
HR028,391.64,630.0,423.0,208.0,48.5,1022.0,127.0,259.0,58.0
HR031,439.79,627.0,433.0,194.0,48.2,1067.0,119.0,266.0,61.0
HR032,417.32,634.0,422.0,212.0,48.3,1002.0,130.0,258.0,68.0
HR033,403.88,627.0,398.0,230.0,45.5,1019.0,141.0,244.0,57.0
HR034,375.64,699.0,486.0,214.0,49.5,1016.0,126.0,286.0,71.0
HR035,397.79,587.0,361.0,226.0,44.5,1048.0,142.0,228.0,52.0
HR036,496.26,592.0,395.0,197.0,47.1,1035.0,124.0,248.0,59.0
HR037,436.11,621.0,383.0,239.0,44.9,1027.0,147.0,236.0,58.0
HR050,460.71,546.0,321.0,225.0,43.1,1098.0,146.0,207.0,53.0
HR061,426.67,602.0,351.0,251.0,43.9,1017.0,157.0,219.0,50.0
HR062,455.0,534.0,334.0,200.0,45.2,1014.0,131.0,218.0,50.0
HR063,421.83,592.0,366.0,226.0,45.9,1027.0,142.0,230.0,50.0
HR064,438.68,544.0,338.0,206.0,45.7,1026.0,133.0,219.0,50.0
HR065,451.83,563.0,340.0,223.0,44.3,1019.0,143.0,218.0,49.0
