geo,employment_rate_per1000,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
CZ010,741.83,511.0,278.0,233.0,41.9,1058.0,154.0,184.0,47.0
CZ020,448.23,561.0,293.0,268.0,43.1,1034.0,172.0,188.0,41.0
CZ031,480.0,592.0,347.0,245.0,45.1,1029.0,154.0,218.0,48.0
CZ032,505.73,554.0,322.0,233.0,44.3,1032.0,150.0,207.0,47.0
CZ041,446.42,557.0,336.0,221.0,45.7,1051.0,142.0,216.0,46.0
CZ042,445.63,560.0,324.0,236.0,44.8,1029.0,151.0,208.0,42.0
CZ051,462.87,574.0,331.0,243.0,44.6,1037.0,154.0,210.0,45.0
CZ052,480.28,606.0,364.0,242.0,45.5,1034.0,151.0,227.0,53.0
CZ053,477.79,583.0,336.0,248.0,44.5,1021.0,157.0,212.0,49.0
CZ063,492.02,591.0,345.0,246.0,45.0,1012.0,154.0,217.0,51.0
CZ064,511.61,575.0,325.0,250.0,43.8,1040.0,159.0,206.0,50.0
CZ071,468.59,593.0,351.0,242.0,45.4,1045.0,152.0,220.0,51.0
CZ072,485.94,593.0,356.0,237.0,45.8,1038.0,149.0,223.0,53.0
CZ080,468.08,570.0,339.0,231.0,45.4,1040.0,147.0,216.0,50.0
