geo_code,geo_name,avg_disposable_income,avg_pretax_income,avg_wage_income,avg_entrepreneurial_income,avg_public_transfer_income,avg_unemployment_benefits,avg_cash_benefits,avg_educational_grants,avg_child_benefits,avg_public_pension,avg_disability_oldage_pension,avg_private_pension,avg_capital_income,avg_interest_received,avg_income_tax,avg_taxable_income,entrepreneurial_income_recipients_per1000,unemployment_benefit_recipients_per1000,cash_benefit_recipients_per1000,educational_grant_recipients_per1000,child_benefit_recipients_per1000,disability_oldage_pension_recipients_per1000,public_servants_pension_recipients_per1000,private_pension_recipients_per1000,capital_income_recipients_per1000,land_tax_homeowner_recipients_per1000
201,Allerød,363562,527064,361357,20375,52678,1770,771,1415,4555,36945,35904,44458,44823,4694,167180,372484,75.74960547080484,26.158481182152933,17.26364114580843,56.0470565730955,316.1015733346086,268.7580699153556,60.59012003251877,185.45263258572044,984.3622973554588,622.3040504997371
760,Ringkøbing-Skjern,270125,388006,235292,28067,73704,2245,1020,1069,3678,52577,50925,26107,21589,2645,103693,278077,103.41395872095539,35.39440093461988,21.59144995889403,39.46172818138548,237.59248842542513,327.1169572930639,33.25256371424862,193.5009302929341,953.9180476829215,536.4328674657089
329,Ringsted,275838,397074,274325,14276,66244,3557,1762,2303,3912,42291,41121,23135,14800,2353,109037,285435,69.69747618251714,53.95286645495571,29.182684272104293,60.17048303526659,260.80561591174995,263.27929132542204,41.65134547885676,143.84088250041785,969.7810462978439,475.1128196556911
173,Lyngby-Taarbæk,401048,589541,375266,30281,55574,2512,1247,4983,3789,35757,34897,40812,79546,6404,192278,400040,78.40797715941535,35.13444411300976,20.411641880086933,104.91328248178293,262.6667234840414,247.6882430647292,47.897046916947204,170.77172199258533,981.4420249712363,464.567264669536
820,Vesthimmerlands,253230,365272,217238,23388,80999,3017,1996,1029,3570,58011,56114,25272,15357,2172,98055,266809,99.11798968214346,51.22316525212182,28.457314028956564,33.88250956897986,227.3589615576635,352.93726077550343,36.77816608420702,192.37809951739058,932.4013979031453,527.0760525877851
360,Lolland,235450,337592,177084,18762,99738,2402,3373,1282,2895,75000,73295,28639,9779,1932,90584,257433,72.48817966903073,36.79078014184397,48.138297872340424,33.008274231678485,177.9550827423168,440.60283687943263,54.46217494089835,201.9208037825059,956.2647754137116,492.9373522458629
849,Jammerbugt,254538,365375,219996,20125,80172,2956,2105,1443,3627,56757,54758,27653,14306,2412,97244,265680,105.83173695945734,47.01190214489841,31.30986402034984,42.39550293628113,235.3107433344848,347.548911848758,46.41522469616556,190.12027761203404,932.9522972081776,573.2186037747699
773,Morsø,246623,354284,199430,21165,87693,2696,1962,1254,3325,63235,60949,25378,18122,2791,95505,261490,104.3866529898027,46.58178965787727,30.229891993000663,38.254993061002835,206.90279370059736,379.4122971097568,35.72075061847583,197.67091051710614,964.7016231219453,543.474325710493
510,Haderslev,251031,363836,221942,17049,79304,2832,2684,1721,3515,53555,52064,28042,14663,2493,98610,267643,81.43784666981983,39.40749021799888,39.85896719267317,46.91060755901449,225.3945048802511,331.25510598959454,53.4892720471256,178.4408995141248,973.4058563013286,479.74803285032465
330,Slagelse,257137,370036,234483,13747,77409,3153,3282,3089,3570,51458,50019,27510,13438,2216,100031,270096,65.89659935925697,46.86535578873115,46.0276871528084,69.52649678158893,221.7617494048144,315.85985950680424,59.69491226523235,162.15501278546864,970.9755165623255,430.69394233312755
480,Nordfyns,252071,361679,224411,19065,77913,3269,1948,1289,3544,54884,52969,24250,12768,2689,97612,266263,101.80857549278602,47.91709002235318,29.384271489534648,39.666734403576505,235.76508839666735,337.41109530583213,40.35765088396667,180.00406421459053,951.2700670595408,552.0016256858362
825,Læsø,240554,340494,159489,25064,96421,4044,885,612,2113,79609,76372,34643,19483,2229,94443,260898,184.7051198963059,77.12248865845756,12.313674659753726,15.554115359688918,136.09850939727804,478.2890473104342,56.38366817887233,250.16202203499677,952.6895657809462,642.2553467271549
563,Fanø,277700,387164,189998,36837,82559,2163,661,891,3106,66173,63828,56246,17346,4056,109445,293991,121.66900420757364,32.959326788218796,15.077138849929874,27.69985974754558,193.1977559607293,447.7559607293128,98.87798036465638,299.08835904628336,971.5988779803647,608.3450210378682
270,Gribskov,292834,418697,251627,21013,71794,1970,1244,1164,3210,54737,53198,40736,28943,3706,123590,301199,104.19645109746867,29.658284977433915,24.360160345359237,38.12407142656912,213.46676758332634,360.6368962520674,61.447032769881986,223.47433633280073,974.5746082471337,592.0724357357104
153,Brøndby,251169,354091,243949,8689,68893,4384,3142,3392,4116,41300,40439,21140,9199,1952,93380,266209,42.50684590490416,58.159073935772966,45.18297236743839,85.07592730893703,265.9945232760767,256.5969629076425,42.04007966143888,123.81752551655464,965.4904157331342,264.31416479960166
440,Kerteminde,267813,385717,232619,14932,81239,2935,1851,1621,3597,57091,55491,29986,23747,2782,108721,282344,79.00486642169034,48.664216903366764,26.715661932664613,43.8474525772172,232.74406594497964,356.3909027708809,47.37312543450194,202.25444433409476,971.5463303207865,512.5633131393386
540,Sønderborg,255717,370363,228094,14800,78978,2594,1945,1914,3489,55354,53658,29084,16268,2763,100833,275861,68.30870810609616,36.848834010324794,33.74168595148318,51.86671629472594,219.18340265078567,343.8900846374185,43.35442525852443,199.812276471445,972.1651319728772,470.76529704011784
