nuts2_code,name,gdp_mio_eur_2022,population_2022
AL01,Veri,4088.34,783970
AL02,Qender,9082.9,1178623
AL03,Jug,4896.86,830999
AT11,Burgenland,10347.35,297583
AT12,Niederösterreich,69712.39,1698796
AT13,Wien,110821.73,1931593
AT21,Kärnten,25584.97,564513
AT22,Steiermark,57562.01,1252922
AT31,Oberösterreich,77363,1505140
AT32,Salzburg,34321.2,562606
AT33,Tirol,39581.9,764102
AT34,Vorarlberg,23935.91,401674
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,96651.18,1228655
BE21,Prov. Antwerpen,109773.48,1890627
BE22,Prov. Limburg (BE),35146.55,888913
BE23,Prov. Oost-Vlaanderen,71105.35,1545469
BE24,Prov. Vlaams-Brabant,59739.57,1173956
BE25,Prov. West-Vlaanderen,57811.33,1210822
BE31,Prov. Brabant wallon,25594.19,410619
BE32,Prov. Hainaut,40339,1354667
BE33,Prov. Liège,39585.77,1116087
BE34,Prov. Luxembourg (BE),8999.68,294400
BE35,Prov. Namur,16387.73,503408
BG31,Severozapaden,5979.94,682036
BG32,Severen tsentralen,6128,694972
BG33,Severoiztochen,8491.82,827640
BG34,Yugoiztochen,11756.53,953641
BG41,Yugozapaden,41864.76,2018500
BG42,Yuzhen tsentralen,11857.14,1305695
CH01,Région lémanique,152400.57,1685625
CH02,Espace Mittelland,161227.8,1907491
CH03,Nordwestschweiz,115109.83,1191939
CH04,Zürich,169304.45,1564662
CH05,Ostschweiz,101359.94,1203715
CH06,Zentralschweiz,79253.94,833178
CH07,Ticino,37212.56,352181
CY00,Kýpros,29645.4,929764
CZ01,Praha,79463.73,1275406
CZ02,Střední Čechy,33943.37,1386824
CZ03,Jihozápad,27690.85,1215754
CZ04,Severozápad,20344.38,1082108
CZ05,Severovýchod,32366.68,1494671
CZ06,Jihovýchod,42667.11,1688593
CZ07,Střední Morava,25723.59,1195362
CZ08,Moravskoslezsko,24777.1,1177989
DE11,Stuttgart,260432.89,4150949
DE12,Karlsruhe,146034.34,2812482
DE13,Freiburg,99609.97,2285156
DE14,Tübingen,95158.73,1876055
DE21,Oberbayern,328384.19,4729243
DE22,Niederbayern,58448.95,1253441
DE23,Oberpfalz,55988.14,1116741
DE24,Oberfranken,47232.17,1061929
DE25,Mittelfranken,92575.53,1777143
DE26,Unterfranken,61737.31,1320513
DE27,Schwaben,86070.22,1917979
DE30,Berlin,185782.7,3677472
DE40,Brandenburg,90096.51,2537868
DE50,Bremen,39247.33,676463
DE60,Hamburg,157659.51,1853935
DE71,Darmstadt,241284.15,4026564
DE72,Gießen,41617.51,1050765
DE73,Kassel,52918.14,1217688
DE80,Mecklenburg-Vorpommern,56144.3,1611160
DE91,Braunschweig,79471.06,1591424
DE92,Hannover,94900.06,2149859
DE93,Lüneburg,60095.96,1731531
DE94,Weser-Ems,112099.9,2554217
DEA1,Düsseldorf,252319.78,5197679
DEA2,Köln,219309.3,4472956
DEA3,Münster,104545.79,2631237
DEA4,Detmold,91191.97,2057480
DEA5,Arnsberg,146223.94,3565239
DEB1,Koblenz,59923.14,1503189
DEB2,Trier,19033.23,536772
DEB3,Rheinhessen-Pfalz,99314.86,2066524
DEC0,Saarland,41191.45,982348
DED2,Dresden,59891.71,1583267
DED4,Chemnitz,46158.26,1402126
DED5,Leipzig,42312.12,1057609
DEE0,Sachsen-Anhalt,74693.06,2169253
DEF0,Schleswig-Holstein,118278.68,2922005
DEG0,Thüringen,72013.01,2108863
DK01,Hovedstaden,173875,1867948
DK02,Sjælland,35350.75,843513
DK03,Syddanmark,65230.79,1228362
DK04,Midtjylland,72480.45,1341857
DK05,Nordjylland,28609.42,591740
EE00,Eesti,36300.93,1331796
EL30,Attiki,99577.9,3807698
EL41,Voreio Aigaio,2710.05,194597
EL42,Notio Aigaio,6564.1,327647
EL43,Kriti,10432.72,623900
EL51,"Anatoliki Makedonia, Thraki",7717.2,560787
EL52,Kentriki Makedonia,29141.34,1791320
EL53,Dytiki Makedonia,4076.96,253875
EL54,Ipeiros,4155.82,319214
EL61,Thessalia,10640.32,686450
EL62,Ionia Nisia,3393.87,204166
EL63,Dytiki Elláda,9105.38,646764
EL64,Sterea Elláda,9954.16,506991
EL65,Peloponnisos,9538.83,538218
ES11,Galicia,71636.5,2692829
ES12,Principado de Asturias,26690.2,1004960
ES13,Cantabria,15557.2,585451
ES21,País Vasco,80218,2205828
ES22,Comunidad Foral de Navarra,23204.5,664514
ES23,La Rioja,9767.5,319617
ES24,Aragón,43669,1328217
ES30,Comunidad de Madrid,267171.6,6743273
ES41,Castilla y León,65467.1,2375586
ES42,Castilla-La Mancha,50031.9,2058284
ES43,Extremadura,23486.5,1056808
ES51,Cataluña,258787.8,7761864
ES52,Comunitat Valenciana,127583.2,5108127
ES53,Illes Balears,37189.2,1187043
ES61,Andalucía,184364.1,8511185
ES62,Región de Murcia,37381,1529662
ES63,Ciudad de Ceuta,1766.6,83054
ES64,Ciudad de Melilla,1655.9,84932
ES70,Canarias,48908.3,2185609
FI19,Länsi-Suomi,59041.83,1382245
FI1B,Helsinki-Uusimaa,104117.05,1714741
FI1C,Etelä-Suomi,48502.31,1146312
FI1D,Pohjois- ja Itä-Suomi,52893.73,1274599
FI20,Åland,1484.72,30344
FR10,Ile de France,783456.8,12380964
FRB0,Centre — Val de Loire,81398.2,2581597
FRC1,Bourgogne,53271,1622908
FRC2,Franche-Comté,34711.9,1181069
FRD1,Basse-Normandie,45833.5,1477564
FRD2,Haute-Normandie,61034.7,1861510
FRE1,Nord-Pas de Calais,124590.7,4077093
FRE2,Picardie,55210.6,1921823
