"geo","CNMIGRATRT","GBIRTHRT","GDEATHRT","GROWRT","NATGROWRT"
"TR62","2.1","12.5","6.0","8.6","6.5"
"HU22","8.1","8.9","13.8","3.2","-4.9"
"HU33","1.6","8.8","15.6","-5.2","-6.8"
"DE12","9.4","9.0","11.5","7.0","-2.5"
"TRC2","-10.4","23.9","3.2","10.3","20.7"
"FRC1","4.7","8.6","12.5","0.7","-3.9"
"DE60","-11.1","10.3","10.8","-11.5","-0.4"
"IE04","26.1","10.2","7.6","28.7","2.7"
"HR06","4.7","9.0","14.4","-0.7","-5.4"
"EL30","0.0","7.4","12.3","-4.9","-4.9"
"NO02","9.8","7.9","11.4","6.4","-3.4"
"CH01","7.5","9.8","7.8","9.6","2.0"
"SK02","0.5","8.4","12.0","-3.1","-3.6"
"CZ07","16.4","9.4","11.8","14.1","-2.4"
"LV00","18.2","8.5","16.3","10.3","-7.8"
"BG42","5.9","8.7","18.2","-3.6","-9.5"
"FI19","6.2","7.8","12.2","1.8","-4.3"
"LI00","7.2","9.2","7.1","9.3","2.2"
"FRD1","6.7","8.9","12.5","3.1","-3.6"
"NL42","12.6","7.9","11.6","9.0","-3.6"
"PT1C","62.6","7.3","16.3","53.6","-9.0"
"FRY4","1.7","14.9","7.2","9.4","7.7"
"HR05","5.2","9.7","12.6","2.3","-2.8"
"ITC4","7.8","6.8","11.3","3.4","-4.5"
"IE05","19.9","10.1","7.5","22.6","2.6"
"NL32","13.7","9.7","8.8","14.6","0.9"
"AT33","8.8","9.7","9.1","9.4","0.6"
"FRY2","0.9","9.7","11.6","-1.1","-1.9"
"NL33","12.5","10.0","9.1","13.5","1.0"
"CH03","8.2","9.3","8.7","8.8","0.6"
"TR63","-0.8","14.2","5.2","8.2","9.0"
"DEA4","9.5","9.4","12.8","6.1","-3.4"
"PL51","1.8","8.1","12.8","-2.9","-4.7"
"BG34","3.6","9.2","18.3","-5.5","-9.1"
"TRA2","-33.2","17.1","4.4","-20.4","12.8"
"PT20","15.9","8.6","11.3","13.2","-2.7"
"FRI2","7.5","8.2","13.8","2.0","-5.6"
"CY00","17.5","10.9","7.8","20.6","3.1"
"TR52","1.3","12.9","5.9","8.4","7.1"
"ES21","9.5","6.2","10.9","4.7","-4.8"
"FRG0","7.2","10.1","10.1","7.2","0.0"
"EE00","29.5","8.6","12.8","25.3","-4.2"
"HU32","-1.7","10.6","14.2","-5.3","-3.7"
"DE25","5.9","9.2","12.2","3.0","-3.0"
"AT12","14.4","8.5","11.4","11.5","-2.9"
"EL53","-6.5","5.7","15.3","-16.1","-9.7"
"ITF2","3.7","5.8","14.7","-5.2","-8.9"
"HR03","7.6","8.4","14.6","1.4","-6.2"
"PT11","21.9","7.2","10.7","18.5","-3.4"
"TR51","1.4","10.0","5.4","6.1","4.7"
"CH05","10.4","9.4","8.8","11.0","0.6"
"PL22","-0.8","7.4","13.3","-6.7","-5.9"
"NL22","11.9","9.2","10.1","10.9","-0.9"
"ES52","23.7","6.9","9.7","20.9","-2.8"
"RO22","3.1","9.0","15.6","-3.5","-6.6"
"CZ06","26.6","10.0","11.2","25.4","-1.3"
"BE24","11.9","9.4","9.4","12.0","0.0"
"FRL0","9.8","10.6","11.0","9.4","-0.4"
"ES61","10.4","7.4","9.2","8.5","-1.9"
"FRF3","1.4","8.7","11.0","-0.9","-2.3"
"FRE2","-1.9","10.5","10.3","-1.7","0.2"
"BE31","8.8","8.7","9.4","8.1","-0.7"
"PL41","0.6","8.8","11.0","-1.6","-2.2"
"NL31","10.9","10.3","8.3","12.9","2.0"
"DE27","-5.9","9.8","11.5","-7.6","-1.7"
"SE31","2.7","8.8","11.2","0.3","-2.3"
"TR21","16.0","10.1","8.0","18.1","2.2"
"ITI2","5.0","5.7","13.5","-2.8","-7.8"
"RS11","2.7","10.5","14.2","-0.9","-3.7"
"ITI4","5.9","6.3","11.2","1.0","-4.9"
"FRY3","-3.1","26.5","4.2","19.3","22.3"
"TR71","1.7","11.5","6.8","6.4","4.7"
"EL62","-4.8","8.0","14.5","-11.3","-6.5"
"BG33","5.1","8.6","18.2","-4.5","-9.7"
"TRB1","-1.7","11.7","5.8","4.2","5.9"
"SK03","-1.5","9.3","11.3","-3.5","-2.0"
"PL72","-1.7","7.2","13.9","-8.5","-6.7"
"CZ04","25.2","8.8","12.3","21.8","-3.5"
"ITH2","6.4","7.4","10.0","3.8","-2.6"
"TR41","9.0","10.5","6.6","12.9","3.9"
"RO41","2.9","7.9","15.1","-4.2","-7.1"
"ITC2","4.2","6.3","12.4","-1.9","-6.1"
"ES24","14.6","6.7","11.5","9.8","-4.8"
"FRF1","5.0","9.6","9.6","5.1","0.0"
"LU00","20.5","9.9","6.8","23.6","3.1"
"BE33","6.8","9.8","11.0","5.6","-1.2"
"TR82","7.3","8.9","11.0","5.3","-2.1"
"DE11","-0.5","9.6","11.1","-2.0","-1.4"
"NO06","8.1","9.6","8.6","9.1","1.0"
"LT01","40.2","9.3","12.5","36.9","-3.2"
"NL21","10.9","9.6","9.9","10.5","-0.4"
"ITH3","5.3","6.5","11.4","0.4","-4.9"
"NL12","10.4","8.8","10.8","8.4","-2.0"
