"geo","CNMIGRATRT","GBIRTHRT","GDEATHRT","GROWRT","NATGROWRT"
"EL643","10.9","4.1","14.0","0.9","-10.0"
"DEB32","14.5","9.6","13.8","10.3","-4.2"
"DE714","22.1","10.0","11.4","20.7","-1.4"
"DEC02","64.2","7.4","15.6","56.1","-8.1"
"ITG2F","3.4","4.9","11.5","-3.1","-6.6"
"DE934","-24.5","7.3","18.1","-35.3","-10.8"
"PL633","0.8","8.8","12.2","-2.6","-3.4"
"RS229","-27.2","9.6","19.6","-37.2","-10.0"
"MK005","-2.8","8.0","14.4","-9.3","-6.5"
"CZ031","25.7","9.4","11.5","23.7","-2.1"
"DEE02","-39.3","8.1","14.6","-45.7","-6.5"
"DE244","29.3","9.4","16.2","22.5","-6.8"
"IS001","22.2","11.7","6.7","27.2","5.0"
"ITF51","-1.2","5.9","13.8","-9.0","-7.8"
"BG413","0.3","8.3","15.8","-7.1","-7.4"
"CH032","6.7","8.5","9.7","5.4","-1.2"
"BE242","12.0","8.6","9.9","10.7","-1.3"
"NL421","15.7","8.4","9.8","14.2","-1.4"
"ITG2G","1.7","4.4","15.0","-8.8","-10.5"
"EL422","-14.2","10.6","11.7","-15.3","-1.1"
"AT321","14.7","9.7","10.7","13.7","-1.0"
"EL522","1.8","7.3","11.9","-2.8","-4.7"
"TR425","15.9","9.6","7.4","18.2","2.3"
"ITF33","-0.6","8.3","10.4","-2.7","-2.1"
"DEB15","25.0","9.5","16.1","18.4","-6.6"
"DE406","8.6","8.2","13.7","3.1","-5.6"
"DE13A","2.1","7.4","12.3","-2.8","-4.9"
"DEG0K","2.5","6.3","16.8","-8.0","-10.5"
"TR222","5.6","8.2","10.0","3.8","-1.8"
"EL524","-7.1","6.9","18.0","-18.2","-11.1"
"ITH44","8.7","6.0","15.3","-0.6","-9.2"
"PL623","-2.1","7.9","12.6","-6.8","-4.7"
"DEG03","3.6","7.7","11.6","-0.3","-3.8"
"BE32C","10.8","9.6","11.0","9.4","-1.4"
"FRJ14","5.4","7.6","13.2","-0.2","-5.6"
"CZ071","16.5","9.5","11.9","14.1","-2.4"
"DE91A","2.7","9.6","14.1","-1.8","-4.5"
"BE231","13.4","9.2","10.3","12.3","-1.1"
"ITI21","5.1","5.9","13.0","-2.0","-7.0"
"FRF34","0.9","8.1","13.0","-4.1","-4.9"
"DEA2B","3.5","8.4","13.3","-1.4","-4.9"
"FI1C1","8.1","7.9","11.7","4.3","-3.8"
"DEA45","10.6","9.4","13.9","6.1","-4.5"
"DE143","15.3","9.1","13.0","11.4","-3.9"
"FI1D5","0.2","9.0","10.8","-1.6","-1.8"
"NL415","13.7","9.3","9.9","13.1","-0.6"
"FI1C5","2.2","6.2","14.4","-6.0","-8.2"
"HR033","10.1","9.3","14.3","5.2","-4.9"
"AT130","25.2","9.8","9.2","25.8","0.6"
"RS212","-12.7","8.7","17.7","-21.7","-9.0"
"EE009","21.2","8.5","15.2","14.5","-6.7"
"DE928","-1.0","8.1","15.8","-8.6","-7.7"
"HR022","-6.5","7.8","17.4","-16.0","-9.6"
"LT026","21.1","7.0","17.0","11.1","-10.0"
"ITC13","5.5","4.9","15.8","-5.4","-10.9"
"DEA51","-15.0","8.5","13.6","-20.1","-5.1"
"SI044","7.0","7.0","10.4","3.5","-3.4"
"DEF06","21.9","8.3","13.3","16.9","-5.0"
"SE232","6.4","10.4","8.9","7.9","1.5"
"NO074","3.4","8.8","9.3","3.0","-0.5"
"SK042","-1.1","10.7","10.7","-1.0","0.1"
"DE80J","-27.7","6.3","17.4","-38.8","-11.1"
"BG333","6.4","8.1","19.8","-5.2","-11.7"
"PL227","-1.3","7.6","12.5","-6.2","-4.9"
"BE328","6.9","9.5","11.8","4.6","-2.3"
"DE944","6.6","8.8","11.1","4.3","-2.4"
"ITG2H","0.7","4.4","14.0","-8.9","-9.6"
"DK042","13.2","11.1","8.8","15.5","2.3"
"LU000","20.5","9.9","6.8","23.6","3.1"
"AT332","8.0","9.2","9.0","8.2","0.2"
"EL632","-3.1","7.7","13.0","-8.4","-5.3"
"TR510","1.4","10.0","5.4","6.1","4.7"
"PT195","25.7","6.5","17.9","14.4","-11.3"
"NL225","11.2","7.7","11.8","7.1","-4.1"
"RO413","0.7","6.3","16.7","-9.6","-10.4"
"CH011","6.4","10.1","7.5","9.0","2.6"
"DE211","1.4","11.0","10.6","1.8","0.4"
"DE40D","14.5","6.5","16.4","4.7","-9.9"
"FRH01","9.6","8.2","14.1","3.7","-5.9"
"PL811","-2.7","7.8","12.7","-7.6","-4.9"
"PL822","-2.7","7.9","11.6","-6.4","-3.6"
"PT11E","18.1","5.7","16.4","7.5","-10.6"
"DEA11","-7.2","10.1","11.1","-8.2","-1.0"
"DE936","-5.1","7.9","13.8","-11.0","-5.9"
"DEB36","-7.8","9.5","15.5","-13.8","-5.9"
"DE40E","4.5","6.1","12.6","-2.0","-6.5"
"BE232","11.3","9.2","10.5","9.9","-1.3"
"NL111","12.9","8.2","12.9","8.2","-4.7"
"TR331","5.0","10.9","8.0","8.0","2.9"
"DE27C","-28.7","10.4","11.9","-30.2","-1.5"
"ITG15","-3.4","7.0","12.8","-9.1","-5.7"
"BG314","-0.5","8.3","22.1","-14.3","-13.8"
"NO085","15.9","8.6","8.8","15.7","-0.2"
"FRK27","6.4","9.6","9.4","6.6","0.2"
"AL011","-31.9","11.0","8.8","-29.7","2.2"
