nuts3_code,population_2023,nights_spent_2023
AT111,37743,321841.0
AT112,165099,1626908.0
AT113,98408,893542.0
AT121,250280,775687.0
AT122,266608,1153391.0
AT123,160474,360482.0
AT124,216454,1549439.0
AT125,127564,210228.0
AT126,342995,726036.0
AT127,353998,1806557.0
AT130,1982097,16474060.0
AT211,296535,4005532.0
AT212,124016,5689304.0
AT213,148433,1697330.0
AT221,460887,1824363.0
AT222,79831,4359006.0
AT223,158478,727826.0
AT224,267680,2702528.0
AT225,199351,719401.0
AT226,98971,1402638.0
AT311,296756,1094796.0
AT312,609580,1794521.0
AT313,213934,936003.0
AT314,158099,1033460.0
AT315,244456,2933299.0
AT321,20437,901465.0
AT322,172190,18483684.0
AT323,375719,5678855.0
AT331,33607,3216125.0
AT332,316099,6042874.0
AT333,48854,1735721.0
AT334,107373,11865427.0
AT335,265371,15579477.0
AT341,94304,6027664.0
AT342,312091,1416440.0
BE100,1253178,7127123.0
BE211,1081771,2932321.0
BE212,357030,449033.0
BE213,477120,1978796.0
BE223,209283,729821.0
BE224,430313,1139157.0
BE225,259023,3266661.0
BE231,302438,276994.0
BE232,206414,85596.0
BE233,88926,100741.0
BE234,575067,1933798.0
BE235,127476,314226.0
BE236,263025,338989.0
BE241,664977,1450119.0
BE242,523102,896910.0
BE251,286273,3949859.0
BE252,52481,190162.0
BE253,108132,771787.0
BE254,299959,372068.0
BE255,159568,3420786.0
BE256,158224,145165.0
BE257,95314,70740.0
BE258,62053,3229124.0
BE310,413959,552952.0
BE323,260958,237017.0
BE328,226990,137665.0
BE329,142599,103896.0
BE32A,130236,107868.0
BE32B,399827,362424.0
BE32C,107691,30041.0
BE32D,92725,420897.0
BE331,115896,189052.0
BE332,630743,847290.0
BE334,83938,39171.0
BE335,211971,1204626.0
BE336,79812,540437.0
BE341,65917,148537.0
BE342,51653,980657.0
BE343,58725,1001564.0
BE344,66150,808824.0
BE345,55209,244886.0
BE351,114458,987358.0
BE352,324117,424264.0
BE353,68075,157200.0
BG311,72754,71534.0
BG312,116172,94955.0
BG313,148874,110879.0
BG314,220346,156893.0
BG315,113356,306785.0
BG321,204033,329257.0
BG322,95957,209144.0
BG323,189623,200543.0
BG324,101107,47807.0
BG325,95614,42780.0
BG331,430847,4565334.0
BG332,147208,1600030.0
BG333,149628,77034.0
BG334,96201,36545.0
BG341,378596,9636004.0
BG342,170583,100094.0
BG343,107379,48300.0
BG344,291852,636963.0
BG411,1280334,2185868.0
BG412,227610,658259.0
BG413,288161,1800095.0
BG414,111746,47684.0
BG415,108703,247772.0
BG421,631516,1370231.0
BG422,207439,215209.0
BG423,226209,1131944.0
BG424,93354,813518.0
BG425,142508,123585.0
CH011,830431,3809794.0
CH012,357282,8445143.0
CH013,514114,3708353.0
CH021,1051437,9236089.0
CH022,334465,821347.0
CH023,282408,537851.0
CH024,176571,470400.0
CH025,73865,284584.0
CH031,196786,1512847.0
CH032,294417,314079.0
CH033,711232,964454.0
CH040,1579967,6754881.0
CH051,41471,316031.0
CH052,85214,166960.0
CH053,55759,189706.0
CH054,16416,300420.0
CH055,525967,1692681.0
CH056,202538,8769268.0
CH057,289650,605877.0
CH061,424851,2956437.0
CH062,37317,482842.0
CH063,164920,788357.0
CH064,38700,921823.0
CH065,44420,419221.0
CH066,131164,344081.0
CH070,354023,4497675.0
CY000,949084,15636125.0
CZ010,1357326,16861664.0
CZ020,1439391,3040227.0
CZ031,652303,4463108.0
CZ032,605388,2236289.0
CZ041,293595,5094415.0
CZ042,812337,1610225.0
CZ051,449177,3349977.0
CZ052,555267,4619842.0
CZ053,528761,1407432.0
CZ063,514777,1567711.0
CZ064,1217200,4236998.0
CZ071,631802,2350502.0
CZ072,580531,2265857.0
CZ080,1189674,2738224.0
DE111,612041,4021458.0
DE112,391368,1050085.0
DE113,533434,1352154.0
DE114,257269,468590.0
DE115,532109,1018720.0
DE116,438079,648260.0
DE117,129931,476030.0
DE118,351402,846428.0
DE119,114553,382150.0
DE11A,198650,591154.0
DE11B,132793,640770.0
DE11C,134766,235636.0
DE11D,316343,736032.0
DE121,56094,688702.0
DE122,306630,1117904.0
DE123,453378,703572.0
DE124,230698,591092.0
DE125,154570,1543585.0
DE126,314961,1619254.0
DE127,145039,346814.0
DE128,556316,1260094.0
DE129,133896,245586.0
DE12A,160139,924801.0
DE12B,198950,214461.0
DE12C,121450,1358397.0
DE131,235003,2072357.0
DE132,269631,3910401.0
DE133,168004,682223.0
DE134,440768,4151887.0
DE135,139968,292118.0
DE136,212293,948908.0
DE137,143677,319379.0
DE138,289613,2519048.0
DE139,235252,1277404.0
DE13A,170765,901824.0
DE141,291335,856844.0
DE142,230987,433714.0
DE143,192726,268571.0
DE144,127932,836832.0
DE145,200294,586963.0
DE146,205073,499343.0
DE147,219641,3033759.0
DE148,287393,2494874.0
DE149,132507,470527.0
DE211,138263,646797.0
DE212,1490516,18605034.0
DE213,63641,323625.0
DE214,112296,299183.0
DE215,104372,2517122.0
DE216,129062,979071.0
DE217,151041,474157.0
DE218,142205,404095.0
DE219,134201,787140.0
DE21A,138647,1270314.0
DE21B,181568,1075439.0
DE21C,215511,403085.0
DE21D,89224,3114983.0
DE21E,119654,275731.0
DE21F,96557,1857229.0
DE21G,120317,166141.0
DE21H,350047,2314840.0
DE21I,97792,144749.0
DE21J,128537,306447.0
DE21K,255306,1822777.0
DE21L,138488,662988.0
DE21M,170984,2767936.0
DE21N,136811,387226.0
DE221,68743,239945.0
DE222,52361,475201.0
DE223,46953,121261.0
DE224,120091,315607.0
DE225,78155,980868.0
DE226,124673,639512.0
DE227,160256,238049.0
DE228,193080,3000667.0
DE229,77503,1882781.0
DE22A,119864,731909.0
DE22B,102914,642826.0
DE22C,99509,212767.0
DE231,42080,94311.0
DE232,147509,1315480.0
DE233,42251,76008.0
DE234,103621,312481.0
DE235,127452,1502817.0
DE236,136901,360203.0
DE237,95742,251837.0
DE238,191651,329783.0
DE239,147982,436874.0
DE23A,72561,367522.0
DE241,74405,807294.0
DE242,72661,416500.0
DE243,40618,156628.0
DE244,46151,136289.0
DE245,147269,386790.0
DE246,103106,634956.0
DE247,84341,139384.0
DE248,115457,420756.0
DE249,92905,280090.0
DE24A,65087,172584.0
DE24B,71439,217058.0
DE24C,67466,434506.0
DE24D,70963,383163.0
DE251,39596,97381.0
DE252,113911,641479.0
DE253,131060,304564.0
DE254,523734,3539654.0
DE255,40812,99127.0
DE256,186359,1435369.0
DE257,137981,297426.0
DE258,117602,193067.0
DE259,168856,261500.0
DE25A,100568,464080.0
DE25B,127472,404788.0
DE25C,94468,928236.0
DE261,72054,275108.0
DE262,53539,244372.0
DE263,131271,924233.0
DE264,170651,463702.0
DE265,103088,922698.0
DE266,79216,599853.0
DE267,83258,175654.0
DE268,90576,736597.0
DE269,126649,257105.0
DE26A,125270,454733.0
DE26B,114749,94129.0
DE26C,160240,478208.0
DE271,296706,1113401.0
DE272,45459,97177.0
DE273,65229,351442.0
DE274,43696,195052.0
DE275,135133,186330.0
DE276,259302,385141.0
DE277,97430,117387.0
DE278,128361,962467.0
DE279,180320,462184.0
DE27A,81874,1583971.0
DE27B,140153,3345261.0
DE27C,143384,784063.0
DE27D,133770,331940.0
DE27E,152664,5345947.0
DE300,3632853,29383378.0
DE401,73612,249608.0
DE402,94250,280205.0
DE403,56434,110396.0
DE404,182987,1255156.0
