"geo","gdp_per_capita_eur","employment_rate_per1000","CNMIGRATRT","GBIRTHRT","GDEATHRT","GROWRT","NATGROWRT"
"HU22","16061.4507463174","46.0426397099651","8.1","8.9","13.8","3.2","-4.9"
"HU33","12649.578034064","46.734975882332","1.6","8.8","15.6","-5.2","-6.8"
"DE12","51923.6532002694","45.2482895890534","9.4","9.0","11.5","7.0","-2.5"
"FRC1","32824.4114885132","48.1234919046551","4.7","8.6","12.5","0.7","-3.9"
"DE60","85040.4733715044","56.2910781661709","-11.1","10.3","10.8","-11.5","-0.4"
"IE04","44977.4576175551","83.7636208542761","26.1","10.2","7.6","28.7","2.7"
"HR06","14314.0693828044","54.4483319948224","4.7","9.0","14.4","-0.7","-5.4"
"EL30","26151.7326216522","65.4489930661518","0.0","7.4","12.3","-4.9","-4.9"
"RO42","14805.2297321823","41.5026735053138","6.6","9.2","14.7","1.1","-5.5"
"SK02","18029.7560001368","62.481310777902","0.5","8.4","12.0","-3.1","-3.6"
"CZ07","21519.4978592259","60.2244341044805","16.4","9.4","11.8","14.1","-2.4"
"LV00","19214.599758924","66.0000202584876","18.2","8.5","16.3","10.3","-7.8"
"BG42","9081.09474264664","146.917924936528","5.9","8.7","18.2","-3.6","-9.5"
"FI19","42714.446425923","55.9596887671867","6.2","7.8","12.2","1.8","-4.3"
"NL32","73490.375888326","106.336218613684","13.7","9.7","8.8","14.6","0.9"
"FRD1","31019.6377280443","49.8117171235899","6.7","8.9","12.5","3.1","-3.6"
"NL42","46674.9232318283","83.8950480281713","12.6","7.9","11.6","9.0","-3.6"
"PT1C","22178.2884377698","97.988588456394","62.6","7.3","16.3","53.6","-9.0"
"FRY4","25432.7462024081","50.4908390329359","1.7","14.9","7.2","9.4","7.7"
"HR05","29099.8977601118","40.1526295473277","5.2","9.7","12.6","2.3","-2.8"
"ITC4","45997.3515046358","101.709704632524","7.8","6.8","11.3","3.4","-4.5"
"IE05","115157.827522582","76.8181078555136","19.9","10.1","7.5","22.6","2.6"
"AT33","51801.8536792208","73.4195172895765","8.8","9.7","9.1","9.4","0.6"
"FRY2","26964.2317994344","43.4880158662009","0.9","9.7","11.6","-1.1","-1.9"
"DEA4","44322.1659505803","43.067247312246","9.5","9.4","12.8","6.1","-3.4"
"PL51","19574.5136202626","82.8777537187804","1.8","8.1","12.8","-2.9","-4.7"
"BG34","12328.0458788999","144.593195972069","3.6","9.2","18.3","-5.5","-9.1"
"PT20","20348.710604119","96.9454843924052","15.9","8.6","11.3","13.2","-2.7"
"FRI2","29034.854351197","54.5264508224979","7.5","8.2","13.8","2.0","-5.6"
"CY00","31884.8654067054","57.4554403052818","17.5","10.9","7.8","20.6","3.1"
