"geo","gdp_per_capita_eur","employment_rate_per1000","CNMIGRATRT","GBIRTHRT","GDEATHRT","GROWRT","NATGROWRT"
"EL643","12461.2905082599","214.125366948714","10.9","4.1","14.0","0.9","-10.0"
"DEB32","56554.8080409298","47.0329935946501","14.5","9.6","13.8","10.3","-4.2"
"DE714","73598.9245384478","52.8768596522674","22.1","10.0","11.4","20.7","-1.4"
"DEC02","31525.9219151857","35.0975576740858","64.2","7.4","15.6","56.1","-8.1"
"ITG2F","32107.9091650699","99.3625618941018","3.4","4.9","11.5","-3.1","-6.6"
"DE934","30667.6019145073","55.2896517577158","-24.5","7.3","18.1","-35.3","-10.8"
"PL633","29219.3959196791","102.443237741964","0.8","8.8","12.2","-2.6","-3.4"
"RS229","5314.66260274315","315.661928198466","-27.2","9.6","19.6","-37.2","-10.0"
"MK005","6478.70329023002","184.368794595776","-2.8","8.0","14.4","-9.3","-6.5"
"CZ031","22413.4326038738","60.513588479343","25.7","9.4","11.5","23.7","-2.1"
"DEE02","36025.0524025355","31.7565665942763","-39.3","8.1","14.6","-45.7","-6.5"
"DE244","50934.5152354571","54.5152354570637","29.3","9.4","16.2","22.5","-6.8"
"ITF51","27262.3678550181","99.8238066907693","-1.2","5.9","13.8","-9.0","-7.8"
"BG413","7459.82302836508","165.290680045208","0.3","8.3","15.8","-7.1","-7.4"
"BE242","44865.6862915582","80.7640511093464","12.0","8.6","9.9","10.7","-1.3"
"NL421","50842.8690160157","84.2693674011159","15.7","8.4","9.8","14.2","-1.4"
"ITG2G","20162.2102799116","101.546272790215","1.7","4.4","15.0","-8.8","-10.5"
"EL422","24029.0262559438","207.070498242712","-14.2","10.6","11.7","-15.3","-1.1"
"AT321","40790.7138250905","94.2507068803016","14.7","9.7","10.7","13.7","-1.0"
"EL522","16879.0688806144","100.412319346742","1.8","7.3","11.9","-2.8","-4.7"
"ITF33","22443.3973502665","79.4746042666652","-0.6","8.3","10.4","-2.7","-2.1"
"DEB15","33451.0012492424","43.7853282044305","25.0","9.5","16.1","18.4","-6.6"
"DE406","41818.36277398","48.1135616547425","8.6","8.2","13.7","3.1","-5.6"
"DE13A","34397.5731245146","43.5622981740039","2.1","7.4","12.3","-2.8","-4.9"
"DEG0K","35617.8666329242","57.6996077438947","2.5","6.3","16.8","-8.0","-10.5"
"EL524","17358.0931263858","264.333227747862","-7.1","6.9","18.0","-18.2","-11.1"
"ITH44","39044.1501007285","86.0889819213138","8.7","6.0","15.3","-0.6","-9.2"
"PL623","10662.0148713764","92.3687978200964","-2.1","7.9","12.6","-6.8","-4.7"
"DEG03","53095.1475991385","38.3703462380771","3.6","7.7","11.6","-0.3","-3.8"
"BE32C","29618.9753107249","64.6757775153254","10.8","9.6","11.0","9.4","-1.4"
"FRJ14","29200.162085147","81.0425734938499","5.4","7.6","13.2","-0.2","-5.6"
"CZ071","21073.8445732265","55.7847591222128","16.5","9.5","11.9","14.1","-2.4"
"DE91A","26096.2324766355","31.7610981308411","2.7","9.6","14.1","-1.8","-4.5"
"BE231","31998.9087610421","73.3071569877788","13.4","9.2","10.3","12.3","-1.1"
"ITI21","29721.3348696763","112.727602024725","5.1","5.9","13.0","-2.0","-7.0"
"FRF34","28522.7209367159","46.5570114301645","0.9","8.1","13.0","-4.1","-4.9"
"DEA2B","31398.1279262179","46.4666636088756","3.5","8.4","13.3","-1.4","-4.9"
"FI1C1","44704.3396066411","60.5613090178023","8.1","7.9","11.7","4.3","-3.8"
"DEA45","35765.9807425083","40.3003313582801","10.6","9.4","13.9","6.1","-4.5"
"DE143","41007.0062190034","45.6585058647564","15.3","9.1","13.0","11.4","-3.9"
"FI1D5","40347.9349186483","57.7192078333211","0.2","9.0","10.8","-1.6","-1.8"
"NL415","47098.9168774861","90.8568050097935","13.7","9.3","9.9","13.1","-0.6"
"FI1C5","43549.5254030308","44.7239249209005","2.2","6.2","14.4","-6.0","-8.2"
"HR033","14687.4941305369","71.4352793864455","10.1","9.3","14.3","5.2","-4.9"
