geo_code,geo_name,immigrants_per1000,all_dwellings_per1000,freetime_residences_per1000,pct_aged_64plus,pct_aged_under15,pct_foreign_citizens,avg_age,dependency_ratio,births_per1000,deaths_per1000,urbanisation_pct,pct_one_person_households,pct_owner_occupied,pct_rental,pct_upper_secondary_plus,pct_tertiary,pct_no_post_basic_qual,pct_employed_of_pop,pct_unemployed_of_pop,unemployment_rate,employment_rate_20_64,pct_jobs_services,pct_jobs_secondary,pct_jobs_primary,pct_self_employed,workplace_self_sufficiency,pct_dwellings_not_permanent_use,floor_area_per_person
MK01,MK01 Uusimaa,17.10052133032724,546.8933020447993,23.39649578269738,18.3,15.7,11.5,41.4,51.3,9,8.3,96,45.7,54.1,41.8,74.4,40.5,25.6,47.2,5.4,10.3,75.3,82.5,15.6,0.5,9.5,104.4,9.4,37.5
MK02,MK02 Southwest Finland,14.427876915804443,583.3581234998554,101.36800968242778,24.1,14.1,6.6,44.3,61.9,7.3,10.9,86.5,47.6,62,35.2,75.1,33.2,24.9,43.7,4.8,9.8,74.5,74,22.3,2.4,11,96.6,11.3,43.4
MK04,MK04 Satakunta,9.75724945688108,608.1515065646548,91.75876074430906,28.6,13.7,4.3,46.8,73.4,6.5,14.6,84.1,47.1,70.2,28.5,73.1,27.5,26.9,40.4,4.8,10.6,74.3,66.7,28.9,3.3,10.6,99.7,14.4,47.3
MK05,MK05 Kanta-Häme,10.427786985319706,582.7174765699186,127.32752570083811,27.1,14,4.1,46.2,69.8,6.4,13,83.1,46.5,68.6,29.6,74.1,29.8,25.9,41.6,4.8,10.4,74.9,72.2,24,2.8,10.6,90.5,11.8,44.3
MK06,MK06 Pirkanmaa,9.997978895215915,577.7448549903673,91.92132895983563,22.3,14.5,4.4,43.1,58.4,7.8,10.6,89.1,48,59.3,37.9,77.7,35.1,22.3,43.9,5.3,10.7,73.7,75.6,21.4,1.7,9.7,96.7,10.1,41
MK07,MK07 Päijät-Häme,9.228331515705769,601.8564253541928,115.71359406100382,28.3,13.5,4.6,46.8,71.8,6.4,13.6,87.9,49.7,62.3,35,72.3,28.6,27.7,39.3,6.1,13.5,71.5,71.5,24.6,2.6,11.1,94.3,11.2,43.9
MK08,MK08 Kymenlaakso,10.834625420716257,615.4621891111699,100.21555799266346,30,12.3,4.5,48.2,73.5,5.1,15,88.5,49.5,67.9,30.4,73.9,27.6,26.1,38.5,6,13.5,70.6,74.5,22.1,2.3,9,97.1,12.3,45.5
MK09,MK09 South Karelia,15.068471261245426,621.0351384605551,164.4189130886371,29.1,12.3,5.4,47.4,70.6,5.6,14.6,84.3,49.2,65,32.8,74.1,29.1,25.9,38.2,6.1,13.7,69,72.4,23.6,2.9,9.3,97.2,13.2,44.3
MK10,MK10 South Savo,10.89182074295303,651.3308804285912,353.3337438613237,33.4,11.7,3.4,49.7,82.3,5.5,15.5,72.5,49.4,68.2,30.2,73.7,27.6,26.3,37.6,5.1,11.9,72.3,71.7,20.7,6.4,12.6,98.9,16.9,46.8
MK11,MK11 North Savo,9.319472984407106,601.0717595390628,124.90027801281276,27.1,13.8,3.2,45.8,69.1,6.8,12.8,77.4,47.5,63.2,34.5,76.5,30.3,23.5,40.4,5.3,11.6,72.3,73.8,19.9,5.2,10.4,98.3,12.7,43.5
MK12,MK12 North Karelia,11.96394797962063,623.0678716863499,149.6910442887858,28.8,13,4,46.6,71.9,6.2,13.7,74.3,49.2,64.7,33.6,75.8,28.3,24.2,37.8,6.5,14.7,68.6,72.5,21.5,4.9,10.5,98.7,14.5,44
MK13,MK13 Central Finland,10.388954554270304,598.1534813426964,117.1803813796561,24.6,14.6,3.3,44.1,64.6,7.2,11.5,82.2,48.7,60.4,36,76.8,32.1,23.2,39.9,6.4,13.8,70,75.1,20.6,3,10.3,97.5,12.8,42.3
MK14,MK14 South Ostrobothnia,10.97937954959352,575.3310345913435,69.02523892746366,27,15.6,3,45.3,74.2,7.4,13.5,74.5,43,72,26.6,73.9,27.2,26.1,41.3,3.8,8.4,76.9,66.3,26,6.7,12.9,97.7,15.4,46.3
MK15,MK15 Ostrobothnia,19.059470051012937,550.252812468328,126.90172407968377,23.6,16.4,7.4,43.1,66.7,9,11.1,85.1,41.2,68.8,29.6,74.3,32.6,25.7,44.5,3.1,6.6,78.7,65.1,29.2,4.7,9.6,101.5,14.3,43.8
MK16,MK16 Central Ostrobothnia,7.4997047360340146,529.467343805362,67.20207865832053,24.7,17.9,3.1,43.3,74.1,8.8,11.8,80.3,39.7,71,27.4,73.5,27.4,26.5,41,4.3,9.4,76.8,67.7,25.5,5.9,11.6,101.5,13.4,44.1
MK17,MK17 North Ostrobothnia,8.416924713956075,542.6023122631245,77.7561243887567,21.2,17.6,3.2,41.5,63.2,8.8,9.4,85,44.9,64.1,33.9,77.1,31.8,22.9,40.8,5.8,12.4,71.9,73.2,22.1,3.7,9.6,98.8,11.3,41.7
MK18,MK18 Kainuu,14.964939285103473,616.213442791175,171.98278319366057,30.7,13.2,4,47.9,78,5.8,16.5,75.3,47.5,68.9,29.7,74.8,26.5,25.2,38.4,4.7,10.8,72.2,74.2,19.8,5.2,9.1,100.8,15.5,45
MK19,MK19 Lapland,9.616803860346296,613.3295486801021,207.68663071246095,27.3,14.2,3.3,45.9,71.1,7.3,13.1,78.4,47,65.3,32.5,76.5,29,23.5,41.6,4.6,9.9,74.6,75.5,19.5,3.5,10.4,100.1,17.2,44.1
MK21,MK21 Åland,19.318293441603092,561.7366818375299,244.55649782259914,24.2,15.9,12.2,44.6,67,8.5,8.9,64.2,41.7,70.3,26.8,71,31.4,29,47.2,2.2,4.4,82.3,78.5,15,3.5,11.3,107.4,15.3,47.9
