geo_code,geo_name,immigrants_per1000,all_dwellings_per1000,freetime_residences_per1000,pct_aged_64plus,pct_aged_under15,pct_foreign_citizens,avg_age,dependency_ratio,births_per1000,deaths_per1000,urbanisation_pct,pct_one_person_households,pct_owner_occupied,pct_rental,pct_upper_secondary_plus,pct_tertiary,pct_no_post_basic_qual,pct_employed_of_pop,pct_unemployed_of_pop,unemployment_rate,employment_rate_20_64,pct_jobs_services,pct_jobs_secondary,pct_jobs_primary,pct_self_employed,workplace_self_sufficiency,pct_dwellings_not_permanent_use,floor_area_per_person
KU020,Akaa,4.815604998476075,541.786040841207,49.314233465406886,25.6,15.3,2.1,45.5,69.2,6.6,13,88.1,42,75.8,23.1,72.8,26.9,27.2,41.8,5,10.8,76.4,69.6,27.2,2.2,10.9,64.9,10,44.6
KU005,Alajärvi,14.155601887413585,543.8384725117963,141.33655217820694,30.8,16.2,4,47.1,88.4,6.9,14,62.9,37,78.6,18.3,69.4,23.2,30.6,36.3,3.3,8.3,74.2,60.7,28.4,9.6,16.4,99.7,18.5,47.2
KU009,Alavieska,13.541239228559704,531.3910545752974,29.134181370537547,26.9,18.3,1.8,44.8,82.3,9.8,15.6,52.4,40.5,79,19.4,70.8,18.6,29.2,37.6,4.9,11.5,74.6,57.8,26.2,15,19.1,73.9,15.4,46.7
KU010,Alavus,6.5855666331290585,579.3469313088814,182.6580078660935,29.9,15.8,2,46.7,84.2,6.1,19.2,62,42.7,74.4,23.5,69.7,20.7,30.3,36.9,4.3,10.5,73.1,67.3,23.4,8.3,14.8,95.1,18.2,45.9
KU016,Asikkala,6.526104417670682,592.4949799196787,496.9879518072289,35.1,12.9,2.7,50.4,92.4,7.1,15.8,65.4,42.9,77.5,20.8,71.5,28,28.5,35.3,4.8,11.9,73,67.2,23.3,7.8,18.6,74.9,15.7,50.2
KU018,Askola,1.9148936170212765,503.6170212765958,120.0,22.4,17.4,2.4,44,66.3,5.5,9.3,54.1,34.5,85.2,13,72.8,23.9,27.2,46.7,3.7,7.3,82.6,62.9,31.3,4.3,15.9,58,11.2,46.7
KU019,Aura,4.796768492804847,514.5165362282253,20.19691996970462,22.6,18,2.4,42.9,68.5,6.3,10.1,71.4,36.7,83,14.9,72.7,24.5,27.3,45.2,3.3,6.9,81.4,65.5,30,3.4,12.3,63.7,10.9,44.2
KU035,Brändö,2.293577981651376,782.1100917431193,713.302752293578,35.6,8.9,9.2,52.6,80.2,11.3,13.5,0,46.4,75,16.8,68.5,35.3,31.5,45.4,1.6,3.4,82.4,70.2,10.1,15.2,18.2,74.2,35.5,50.2
KU043,Eckerö,23.354564755838638,564.7558386411889,848.1953290870489,29.7,13.2,13.4,48.4,75.1,8.5,12.8,39.5,41.6,81.3,11.9,67.2,22.2,32.8,44.5,2.7,5.6,78.4,73.5,16.9,5.7,13.6,59.4,14.7,51.5
KU046,Enonkoski,6.0606060606060606,679.5454545454546,576.5151515151515,39.3,12.4,2,53.1,107.2,4.5,15.8,38.6,45.4,75.8,20.8,68.4,20.4,31.6,33,4.4,11.7,71.3,62.4,15.4,20,23.2,83,24.3,50.6
