region_name,num_persons_fiscal_households,num_households,median_living_standard_eur,d1_living_standard_eur,d9_living_standard_eur,interdecile_ratio_d9_d1,poverty_rate_pct_60med,share_taxed_households_pct,share_activity_income_pct,share_wages_pct,share_pensions_pct,share_social_benefits_pct,share_direct_taxes_pct
Ain,631871,270138,24810,13510,46760,3.5,10.8,55.2,79.1,72.5,24.7,3.8,-15.9
Aisne,506628,224492,20920,11270,34550,3.1,18.8,45.2,68.4,59.8,30.5,7.7,-13.8
Allier,323483,160041,21500,11800,35060,3,16.2,45.3,61.5,53.2,37.3,6.5,-13.7
Alpes-de-Haute-Provence,146996,72855,21790,11560,36950,3.2,17.1,47.3,59.9,50.4,36.4,5.5,-14.5
Hautes-Alpes,132943,65683,22010,12250,36560,3,14.7,49.3,63,52.6,36.2,5.2,-14.4
Alpes-Maritimes,1107426,536880,23460,11450,43720,3.8,16.4,55.2,72.3,62.4,28.9,4.7,-18.7
Ardèche,308665,145192,21990,12150,36090,3,14.9,47.3,64.7,56.1,34.4,5.4,-14.1
Ardennes,257263,118500,20850,11140,34550,3.1,19.4,43.5,66.4,57.8,31.3,7.6,-13.4
Ariège,147324,72066,20820,11110,34340,3.1,19,43.3,61,51.7,36.8,7.2,-13.1
Aube,284909,132991,21530,11680,36690,3.1,16.9,47.7,68.7,58.5,30.9,6.7,-15.1
Aude,354227,171836,20510,10780,34670,3.2,20.8,42.2,60,50.3,37,7.9,-13.5
Aveyron,262820,126764,21860,12380,35870,2.9,14.5,45.6,62.8,52.5,35.1,5.2,-13.8
Bouches-du-Rhône,1918919,869140,22920,11010,41790,3.8,18.5,53.2,73.7,64.3,27,6.4,-17.6
Calvados,665150,307659,22840,12960,38150,2.9,12.5,52.1,69.8,61.5,31.7,5.1,-15.6
Cantal,136975,67592,21710,12560,35100,2.8,14.2,44.8,62.8,52.6,35.9,5,-13.8
Charente,338317,161820,22000,12110,36410,3,15.1,47.7,66.7,57.4,33.8,5.9,-14.4
Charente-Maritime,657815,316687,22810,12960,38580,3,12.5,50.8,62.3,52.2,38.5,4.8,-15.4
Cher,289977,139636,22100,12220,35950,2.9,14.7,49.2,65.5,57.5,35.3,6.2,-14.2
Corrèze,227210,111468,22140,12630,36040,2.9,13.7,48.7,63.7,55.3,37.3,5,-14.1
Côte-d'Or,493885,232935,23720,13150,39810,3,11.8,55.8,72.2,63.6,30.4,4.7,-16.4
Côtes-d'Armor,600827,281440,22670,13190,36550,2.8,11.8,49.3,64.1,55.2,36.8,4.9,-14.3
Creuse,109744,56411,20620,11110,33400,3,19.2,42.2,57.3,47.8,41.1,6.2,-12.7
Dordogne,389525,191611,21410,11690,35150,3,16.6,45.1,59.2,50.5,40,5.7,-13.6
Doubs,514442,234231,23890,12690,43210,3.4,13.1,55.1,77.7,69.7,26.6,5,-16.4
Drôme,506163,228957,22450,12270,37890,3.1,14.8,49.5,69,60.1,30.6,5.6,-15
Eure,585905,251484,22880,12860,37040,2.9,12.7,53.3,73,65.7,29.4,5.9,-15
Eure-et-Loir,420550,182871,23360,13040,37800,2.9,12.1,55.3,73,65.1,29.4,5.1,-15.4
Finistère,889796,421606,23220,13540,37410,2.8,10.8,51.4,67,58.4,34.8,4.9,-14.8
Corse-du-Sud,122776,61036,23420,11740,41870,3.6,15.8,54,69.9,59,31,4.8,-17.6
Haute-Corse,134645,67789,21460,10880,38720,3.6,20.2,46.9,67.3,55.4,32.1,6.2,-16.2
Gard,737477,337231,21330,10860,37080,3.4,20,46,66.2,56.9,32.4,7.1,-14.9
Haute-Garonne,1344360,620391,24230,12220,42400,3.5,14.3,56.6,80,71.3,23.1,5.5,-17.5
Gers,180893,86472,22110,12120,36630,3,15.3,46.3,63.7,53.7,35.3,5.3,-14.1
Gironde,1607016,734949,23950,12740,41270,3.2,12.8,55.7,76.4,67.2,27,4.9,-17.1
Hérault,1132467,536698,21800,10950,39110,3.6,19.4,48.1,68.8,58.3,30.5,6.8,-16
Ille-et-Vilaine,1057638,470915,23690,13550,39320,2.9,10.8,53.6,76.1,68.2,25.7,5,-15.9
Indre,205741,102369,21270,12100,34010,2.8,15.4,45.1,61.8,53.6,38.1,6.1,-13.3
Indre-et-Loire,577042,268673,23140,12800,38900,3,12.8,52.7,71.3,63.6,31.2,5.1,-15.6
Isère,1221295,535172,24270,13140,40800,3.1,11.8,57,76.5,69.3,26.6,4.6,-16.4
Jura,250799,117083,23140,13200,39030,3,11.8,51.9,70.7,63,32,4.6,-14.9
Landes,415137,193430,22840,13230,37150,2.8,11.7,50.9,65.1,55.8,35.5,4.7,-14.6
Loir-et-Cher,322219,149321,22510,12700,36730,2.9,13.2,51.2,66.7,59,35,5.3,-14.4
Loire,740359,334427,21970,11940,36330,3,15.8,47.3,69.2,61.7,30.6,6.3,-14.4
Haute-Loire,222470,103670,22100,13060,35050,2.7,12.3,45.5,65.9,56.6,32.9,5.5,-13.5
Loire-Atlantique,1412930,630748,24120,13640,39960,2.9,10.5,56.1,76.6,68.9,26.4,4.8,-16.2
Loiret,663987,293563,23090,12470,38130,3.1,13.9,55.3,72.9,66,29.9,5.4,-15.6
Lot,161297,80385,21910,12110,36250,3,15.3,46.8,58.1,48.4,41.3,5,-14
Lot-et-Garonne,303676,145205,21050,11540,35320,3.1,17.7,43.7,63.1,53.9,35.3,6.3,-13.9
Lozère,70233,34028,21580,12020,34740,2.9,15.5,45.8,64.3,54.1,34,5.6,-13.5
Maine-et-Loire,792855,346898,22500,13320,36430,2.7,11.5,48.7,72.5,64.6,28.6,5.3,-14.4
Manche,489116,229811,22480,13250,36180,2.7,11.7,49.1,66.8,58.4,34.5,5,-14.2
Marne,529258,244352,22830,12130,39860,3.3,15,53.1,73.6,62.9,28,5.6,-16.6
Haute-Marne,162895,78150,21350,12230,34160,2.8,15.3,46,64.5,56.1,35.6,6.2,-13.3
Mayenne,298441,131890,22230,13320,34850,2.6,11.5,47.3,69.7,61.6,30.2,5.1,-13.7
Meurthe-et-Moselle,674662,312506,23010,11890,39460,3.3,15.3,49.4,67.3,59.6,28.3,5.6,-14.6
Meuse,172837,80164,21890,12260,35460,2.9,14.8,47,66.1,57.3,32.8,5.7,-13.6
Morbihan,757338,354219,23140,13440,37930,2.8,11.1,51.5,64.8,56.2,36.5,4.6,-14.9
Moselle,977680,442758,22980,11700,41730,3.6,15.9,46.2,62.9,55.9,27.1,4.8,-13.1
Nièvre,189502,96531,21380,11860,34550,2.9,16.1,46.5,58.8,50.8,41.1,6.3,-13.6
Nord,2473660,1072648,21340,11130,37740,3.4,19.5,47.7,74.1,66.2,25.7,7.7,-15.3
Oise,797158,332584,23330,12600,38830,3.1,13.4,56,76.7,69.7,26.3,5.7,-16.2
Orne,263716,124987,21400,12040,34320,2.9,15.6,45.2,62.9,54.2,35.8,5.8,-13.5
Pas-de-Calais,1415534,612380,20720,11610,34420,3,18.4,44.1,70.6,63,29,7.8,-13.8
Puy-de-Dôme,623475,297502,23060,12400,38650,3.1,13.9,52.3,71,63.3,31.1,5,-15.6
Pyrénées-Atlantiques,663276,318666,23300,12880,40220,3.1,12.6,52.1,67.1,58.2,33.4,4.9,-16
Hautes-Pyrénées,211089,104732,21530,11940,34960,2.9,16,46,62,53,38.2,6.1,-13.6
Pyrénées-Orientales,471542,228970,20650,10650,35470,3.3,21.2,43.8,59.6,49.5,37.1,7.8,-14.4
Bas-Rhin,1080532,481046,24090,12480,41490,3.3,13.5,56.8,76.6,68.9,27,4.6,-16.8
Haut-Rhin,738460,327418,24470,12440,46240,3.7,13.7,57.1,78,71,27.8,4.4,-17.6
Rhône,1771600,790681,24480,12100,45060,3.7,14.8,58.6,79.4,71.5,23.3,5,-18.6
Haute-Saône,229403,105603,21860,12690,34930,2.8,13.6,47.4,67.8,60.2,33.3,5.6,-13.5
Saône-et-Loire,525349,248910,22170,12770,36280,2.8,13.3,49,66,57.6,35.3,5.3,-14.3
Sarthe,548314,248165,22230,12620,35210,2.8,13.5,49.5,69,61.9,32.3,5.7,-14.2
Savoie,425564,196556,24270,13390,40600,3,11.2,57.8,72.8,64.2,28.9,3.9,-16.3
Haute-Savoie,789356,352959,28120,14120,60060,4.3,9.5,58,83.7,76.2,21.1,2.4,-16.4
Paris,1958437,1007247,29730,11240,71610,6.4,15.6,68.8,86.9,75.2,18.9,2.7,-28.5
Seine-Maritime,1194396,542966,22340,12090,37680,3.1,15.4,50.8,71.9,64.4,30,6.6,-15.2
Seine-et-Marne,1392345,557596,24640,12850,40660,3.2,12.4,62.4,82.6,75.8,22.5,5.1,-17.2
