"geo","n_transactions","median_price_per_sqm","median_valeur_fonciere","median_surface_bati","median_pieces","appartement_share_pct"
"02","3425","1268.18181818182","105000","84","4","11.941605839416058"
"93","6851","3983.87096774194","237000","60","3","60.677273390745874"
"94","6571","4867.85714285714","278000","62","3","67.20438289453661"
"59","19367","2086.95652173913","162657","83","4","22.047813290649042"
"90","876","1535.4010025062657","132850","83.5","4","45.4337899543379"
"04","1933","2307.69230769231","130500","64","3","44.95602690118986"
"13","15018","3567.7344010677343","210000","64","3","64.96870422160075"
"44","11035","3153.84615384615","230000","79","4","33.31218849116448"
"12","2091","1542.44186046512","118000","81","4","25.29890004782401"
"35","7975","2715.6862745098","212442","83","4","33.21630094043887"
"56","6901","2702.7027027027","215000","86","4","19.968120562237356"
"51","3928","2104.3557168784027","155000","82","4","38.187372708757636"
"77","8528","3035.714285714286","241162.5","82","4","31.23827392120075"
"17","6927","2906.97674418605","219000","82","4","18.969250757903854"
"16","2746","1491.068580542265","125000","88","4","9.577567370721049"
"25","3769","2023.52941176471","153000","81","4","44.91907667816397"
"45","4668","1970.6673688011556","150500","83","4","25.042844901456725"
"34","12448","3109.189537884119","173500","66","3","49.30109254498715"
"60","5306","2248.0956352515987","180000","82","4","21.221258952129663"
"28","3011","1927.27272727273","157300","84","4","17.270009963467288"
"29","8272","2210.5263157894738","180000","86","4","25.858317214700193"
"07","2329","2013.33333333333","155000","80","4","26.148561614426793"
"11","5148","1848.0951808676841","126100","75","3","25.951825951825953"
"40","3703","2722.5","209327","81","4","26.60005401026195"
"86","3490","1666.6666666666667","128000","84","4","18.968481375358166"
"88","2709","1370.19230769231","115000","88","4","26.319675156884458"
"974","3264","2728.219696969697","183545","70","4","34.650735294117645"
"76","10246","2171.717171717172","160000","77","4","33.076322467304315"
"75","17570","9571.42857142857","330000","36","2","99.42515651678998"
"32","1412","1552.9115341545353","140000","90","4","15.864022662889518"
"27","4398","1920.6712433257055","165000","85","4","12.39199636198272"
"81","2899","1682.92682926829","141400","90","4","15.729561917902725"
"47","2787","1491.22807017544","123000","86","4","16.756368855400073"
"15","1176","1283.4211986681464","97000","80","4","23.04421768707483"
"53","2559","1578.94736842105","132999","86","4","10.629152012504886"
"92","8538","6618.28334422658","332750","55","3","82.36120871398454"
"09","1493","1534.09090909091","115505","80","4","16.744809109176156"
