region_name,num_persons_fiscal_households,num_households,median_living_standard_eur,d1_living_standard_eur,d9_living_standard_eur,interdecile_ratio_d9_d1,poverty_rate_pct_60med,share_taxed_households_pct,share_activity_income_pct,share_wages_pct,share_pensions_pct,share_social_benefits_pct,share_direct_taxes_pct
L'Abergement-Clémenciat,895,346,25820,,,,,,,,,,
L'Abergement-de-Varey,266,115,24480,,,,,,,,,,
Ambérieu-en-Bugey,15092,6855,21660,11890,36450,3.1,17,50,72.3,65.7,25.3,7,-14.8
Ambérieux-en-Dombes,2028,800,24610,15560,40580,2.6,,61,81.5,74.9,21.4,3.4,-16.3
Ambléon,107,51,24210,,,,,,,,,,
Ambronay,2874,1184,24860,15170,39460,2.6,,60,77.2,72.7,26.2,4.2,-14.8
Ambutrix,753,326,26300,,,,,,,,,,
Andert-et-Condon,380,157,24810,,,,,,,,,,
Anglefort,1122,481,24700,,,,,,,,,,
Apremont,405,161,24530,,,,,,,,,,
Aranc,324,144,24270,,,,,,,,,,
Arandas,127,67,22180,,,,,,,,,,
Arbent,3438,1361,22410,12790,38770,3,13,51,69.8,64.6,29,4.8,-15.1
Arboys en Bugey,734,313,23800,,,,,,,,,,
Arbigny,473,187,23080,,,,,,,,,,
Argis,419,194,20790,,,,,,,,,,
Armix,,,,,,,,,,,,,
Ars-sur-Formans,1423,565,26430,,,,,,,,,,
Artemare,1158,574,22000,,,,,,,,,,
Asnières-sur-Saône,,,,,,,,,,,,,
Attignat,3395,1406,24460,15300,37690,2.5,7,60,78.1,71.5,25.8,4,-14.9
Bâgé-Dommartin,4204,1628,24880,16110,37730,2.3,6,58,79.4,71.8,23,3.6,-15.4
Bâgé-le-Châtel,942,434,22860,,,,,,,,,,
Balan,1899,712,25770,,,,,,,,,,
Baneins,598,227,25520,,,,,,,,,,
Beaupont,652,274,21350,,,,,,,,,,
Beauregard,826,364,24240,,,,,,,,,,
Bellignat,3238,1479,20550,11210,35500,3.2,20,44,65.9,60.2,32.8,7,-14
Béligneux,3117,1184,23060,14460,38290,2.6,8,56,77.8,71.9,23.7,5.2,-14.8
Valserhône,14862,6545,23780,11090,48750,4.4,17,46,80.9,74.6,23.1,4.4,-13.9
Belley,8591,4073,21180,11510,36260,3.2,18,48,64.6,57.4,34.7,6.9,-14.3
Belleydoux,321,145,26160,,,,,,,,,,
Valromey-sur-Séran,1302,592,23820,,,,,,,,,,
Bénonces,285,126,21770,,,,,,,,,,
Bény,776,321,24250,,,,,,,,,,
Béréziat,516,195,23440,,,,,,,,,,
Bettant,747,336,25150,,,,,,,,,,
Bey,305,126,25520,,,,,,,,,,
Beynost,5041,1963,28730,17010,49170,2.9,6,70,82.1,75.1,24.9,2.7,-19
Billiat,616,276,28550,,,,,,,,,,
Birieux,278,106,28180,,,,,,,,,,
Biziat,873,354,24260,,,,,,,,,,
Blyes,1277,484,27110,,,,,,,,,,
La Boisse,3396,1279,26780,15940,43540,2.7,,65,81.5,74,24.1,3.3,-16.9
Boissey,359,136,23180,,,,,,,,,,
Bolozon,,,,,,,,,,,,,
Bouligneux,316,126,27630,,,,,,,,,,
