geo,employment_rate_per1000,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
DE11,526.31,554.0,328.0,226.0,44.0,1009.0,146.0,211.0,69.0
DE12,475.42,551.0,337.0,215.0,44.4,1014.0,138.0,217.0,69.0
DE13,494.71,580.0,348.0,231.0,44.4,1029.0,147.0,221.0,69.0
DE14,539.96,569.0,339.0,231.0,44.2,1017.0,147.0,216.0,68.0
DE21,507.99,524.0,306.0,219.0,43.3,1022.0,143.0,200.0,67.0
DE22,536.12,570.0,352.0,219.0,45.9,998.0,139.0,224.0,63.0
DE23,501.46,557.0,342.0,215.0,45.4,1003.0,138.0,220.0,63.0
DE24,541.56,594.0,384.0,210.0,47.7,1024.0,132.0,241.0,72.0
DE25,496.36,557.0,338.0,219.0,44.6,1024.0,141.0,217.0,68.0
DE26,538.88,597.0,378.0,220.0,46.6,1021.0,138.0,236.0,71.0
DE27,495.47,572.0,341.0,231.0,44.6,1009.0,147.0,217.0,69.0
DE30,487.51,494.0,287.0,207.0,41.3,1036.0,139.0,192.0,66.0
DE40,468.94,659.0,440.0,220.0,49.9,1031.0,132.0,265.0,87.0
DE50,460.63,545.0,322.0,223.0,42.2,1022.0,145.0,208.0,67.0
DE60,498.02,477.0,267.0,211.0,41.0,1043.0,143.0,180.0,62.0
DE71,486.57,540.0,319.0,221.0,44.1,1027.0,144.0,207.0,65.0
DE72,466.23,568.0,353.0,215.0,45.1,1028.0,137.0,225.0,67.0
DE73,450.53,608.0,388.0,220.0,47.1,1023.0,137.0,241.0,75.0
DE80,443.97,681.0,472.0,210.0,50.9,1043.0,125.0,280.0,86.0
DE91,484.22,598.0,381.0,217.0,46.5,1019.0,136.0,239.0,77.0
DE92,486.96,587.0,369.0,218.0,46.2,1038.0,137.0,233.0,77.0
DE93,474.72,617.0,388.0,229.0,47.7,1030.0,141.0,240.0,75.0
DE94,479.72,577.0,350.0,227.0,45.4,1017.0,144.0,222.0,66.0
DEA1,477.6,570.0,349.0,221.0,45.2,1042.0,141.0,222.0,71.0
DEA2,476.49,542.0,328.0,214.0,44.3,1032.0,139.0,213.0,67.0
DEA3,465.86,574.0,345.0,229.0,45.0,1031.0,145.0,219.0,66.0
DEA4,460.51,582.0,351.0,231.0,45.1,1022.0,146.0,222.0,70.0
DEA5,480.84,579.0,359.0,220.0,45.7,1027.0,139.0,227.0,71.0
DEB1,506.79,612.0,387.0,224.0,47.2,1020.0,139.0,240.0,72.0
DEB2,470.59,573.0,358.0,215.0,46.1,1009.0,137.0,228.0,66.0
DEB3,470.16,585.0,362.0,223.0,45.7,1022.0,141.0,229.0,69.0
DEC0,477.33,618.0,411.0,207.0,48.1,1030.0,128.0,254.0,75.0
DED2,464.86,680.0,454.0,225.0,48.4,1027.0,134.0,271.0,98.0
DED4,435.34,753.0,532.0,220.0,51.8,1036.0,126.0,304.0,102.0
DED5,508.03,577.0,365.0,212.0,44.1,1028.0,135.0,231.0,82.0
DEE0,445.68,687.0,480.0,207.0,51.1,1037.0,123.0,285.0,92.0
DEF0,480.53,598.0,383.0,215.0,47.5,1044.0,134.0,240.0,79.0
DEG0,463.09,684.0,472.0,211.0,50.4,1024.0,126.0,280.0,89.0
