geo,gdp_per_capita_eur,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
DE111,106027.11,460.0,269.0,191.0,40.6,1011.0,131.0,184.0,66.0
DE112,81393.0,573.0,329.0,243.0,44.0,1013.0,155.0,209.0,71.0
DE113,50528.75,557.0,334.0,224.0,44.7,1006.0,144.0,214.0,73.0
DE114,35528.28,599.0,363.0,236.0,45.5,1016.0,147.0,227.0,74.0
DE115,53693.13,565.0,328.0,236.0,44.3,1025.0,151.0,210.0,70.0
DE116,40003.72,580.0,350.0,231.0,45.6,1019.0,146.0,221.0,75.0
DE117,66743.01,512.0,287.0,224.0,40.7,975.0,148.0,190.0,65.0
DE118,73904.42,567.0,327.0,240.0,44.4,998.0,153.0,209.0,62.0
DE119,60105.9,563.0,332.0,232.0,44.6,983.0,148.0,212.0,61.0
DE11A,52340.19,568.0,329.0,238.0,44.0,993.0,152.0,210.0,59.0
DE11B,46402.95,623.0,399.0,224.0,47.7,1001.0,138.0,246.0,73.0
DE11C,41340.05,593.0,364.0,230.0,45.5,1006.0,144.0,228.0,75.0
DE11D,52479.64,581.0,351.0,230.0,45.2,1010.0,146.0,222.0,68.0
DE121,74488.81,657.0,451.0,206.0,49.8,1098.0,124.0,272.0,97.0
DE122,80553.01,463.0,287.0,176.0,41.1,969.0,120.0,196.0,67.0
DE123,40435.78,585.0,360.0,225.0,46.3,1004.0,142.0,227.0,71.0
DE124,48448.19,601.0,376.0,225.0,47.0,1010.0,140.0,235.0,72.0
DE125,64054.76,407.0,235.0,172.0,35.8,1088.0,122.0,167.0,54.0
DE126,75889.25,464.0,274.0,190.0,40.9,997.0,130.0,187.0,60.0
DE127,35353.75,608.0,383.0,225.0,47.3,995.0,140.0,238.0,70.0
DE128,44612.33,594.0,366.0,228.0,46.4,1035.0,143.0,230.0,73.0
DE129,52055.86,548.0,311.0,237.0,41.7,1031.0,153.0,201.0,67.0
DE12A,33893.25,596.0,358.0,238.0,45.7,1006.0,149.0,224.0,68.0
DE12B,35187.65,608.0,366.0,242.0,46.2,1016.0,150.0,228.0,72.0
DE12C,44855.31,575.0,350.0,225.0,45.7,1000.0,143.0,222.0,68.0
DE131,60584.65,452.0,259.0,194.0,37.9,1101.0,133.0,178.0,57.0
DE132,33309.02,619.0,380.0,239.0,46.2,1031.0,148.0,235.0,74.0
DE133,37713.66,601.0,364.0,237.0,45.8,1022.0,148.0,227.0,69.0
DE134,46954.22,591.0,358.0,233.0,45.5,1003.0,147.0,225.0,68.0
DE135,48002.58,604.0,359.0,245.0,45.6,999.0,153.0,224.0,71.0
DE136,44299.32,616.0,377.0,238.0,45.3,1019.0,148.0,234.0,76.0
DE137,53666.49,582.0,329.0,253.0,43.4,993.0,160.0,208.0,64.0
DE138,39852.34,567.0,349.0,218.0,44.4,1054.0,139.0,223.0,73.0
DE139,38195.91,583.0,346.0,238.0,45.1,1035.0,150.0,218.0,68.0
DE13A,34397.57,614.0,370.0,244.0,45.5,1025.0,151.0,229.0,68.0
DE141,47641.33,580.0,347.0,233.0,45.0,1019.0,147.0,220.0,71.0
DE142,41454.79,509.0,294.0,215.0,40.6,1065.0,142.0,195.0,58.0
DE143,41007.01,604.0,374.0,230.0,46.5,1021.0,143.0,233.0,72.0
DE144,94628.71,491.0,289.0,202.0,40.3,1027.0,136.0,194.0,66.0
DE145,36461.66,572.0,326.0,246.0,44.1,990.0,156.0,207.0,63.0
DE146,59796.55,571.0,322.0,248.0,43.7,984.0,158.0,205.0,61.0
DE147,56337.03,626.0,397.0,228.0,47.1,1034.0,141.0,244.0,82.0
DE148,51053.69,573.0,339.0,234.0,44.3,1009.0,149.0,215.0,66.0
DE149,42947.05,585.0,355.0,230.0,45.8,998.0,145.0,224.0,67.0
DE211,138299.54,503.0,278.0,225.0,40.9,967.0,150.0,185.0,58.0
DE212,95296.35,437.0,245.0,192.0,39.7,1041.0,134.0,170.0,59.0
DE213,60265.95,513.0,303.0,210.0,42.2,1018.0,139.0,200.0,68.0
DE214,67185.5,606.0,367.0,239.0,45.7,1015.0,149.0,229.0,71.0
DE215,40786.92,617.0,394.0,223.0,46.6,1044.0,138.0,244.0,84.0
DE216,34314.53,592.0,359.0,233.0,46.2,1026.0,146.0,225.0,76.0
DE217,34331.32,537.0,305.0,232.0,44.3,1001.0,151.0,199.0,62.0
DE218,40608.53,549.0,307.0,242.0,44.6,1004.0,156.0,198.0,69.0
DE219,44391.4,567.0,310.0,257.0,43.4,977.0,164.0,198.0,57.0
DE21A,36747.36,509.0,281.0,227.0,44.2,992.0,151.0,187.0,54.0
DE21B,56994.66,465.0,251.0,214.0,42.1,957.0,146.0,171.0,52.0
DE21C,32797.94,589.0,352.0,237.0,45.6,1041.0,149.0,222.0,80.0
DE21D,36896.93,627.0,417.0,210.0,49.0,1083.0,129.0,256.0,93.0
DE21E,42260.3,582.0,346.0,235.0,46.5,1012.0,149.0,219.0,67.0
DE21F,43971.17,599.0,377.0,222.0,47.9,1036.0,139.0,236.0,83.0
DE21G,40336.29,564.0,333.0,231.0,44.9,976.0,148.0,213.0,63.0
DE21H,133050.22,557.0,327.0,230.0,44.7,1021.0,147.0,210.0,80.0
DE21I,41672.03,569.0,326.0,244.0,44.4,993.0,155.0,208.0,61.0
DE21J,52716.07,545.0,304.0,241.0,43.7,971.0,156.0,197.0,56.0
DE21K,39283.21,607.0,370.0,237.0,46.7,1032.0,147.0,230.0,74.0
DE21L,53362.93,621.0,389.0,233.0,48.2,1067.0,143.0,240.0,90.0
DE21M,48810.57,620.0,392.0,228.0,47.4,1034.0,141.0,242.0,77.0
DE21N,46090.88,616.0,372.0,244.0,46.3,1025.0,151.0,230.0,75.0
DE221,65628.98,520.0,312.0,208.0,43.1,1039.0,137.0,205.0,68.0
DE222,77466.52,517.0,339.0,177.0,42.4,1045.0,117.0,224.0,73.0
DE223,61763.07,521.0,335.0,186.0,44.5,976.0,122.0,220.0,67.0
DE224,50156.74,553.0,345.0,208.0,45.5,994.0,134.0,222.0,61.0
DE225,36909.78,609.0,401.0,208.0,49.3,1013.0,129.0,249.0,64.0
DE226,40414.77,549.0,317.0,232.0,44.5,975.0,150.0,205.0,58.0
DE227,45028.0,560.0,322.0,238.0,45.1,989.0,153.0,206.0,57.0
DE228,36400.54,617.0,400.0,217.0,48.3,1016.0,134.0,247.0,69.0
DE229,40095.88,621.0,405.0,216.0,48.6,1009.0,133.0,250.0,65.0
DE22A,40961.05,599.0,374.0,225.0,46.7,1008.0,141.0,234.0,67.0
DE22B,33569.21,575.0,341.0,234.0,46.1,996.0,149.0,216.0,58.0
DE22C,68449.39,533.0,315.0,219.0,44.5,943.0,143.0,205.0,56.0
DE231,70828.69,589.0,387.0,202.0,46.4,1037.0,127.0,243.0,77.0
DE232,97931.51,417.0,246.0,171.0,38.8,1029.0,120.0,174.0,56.0
DE233,65588.39,565.0,369.0,196.0,46.1,1057.0,125.0,236.0,75.0
DE234,32480.13,595.0,372.0,223.0,47.6,1001.0,140.0,233.0,67.0
DE235,48608.97,593.0,377.0,216.0,47.3,989.0,135.0,237.0,64.0
DE236,45722.46,560.0,331.0,230.0,45.2,975.0,147.0,212.0,59.0
DE237,38587.38,600.0,372.0,228.0,47.3,1003.0,142.0,232.0,64.0
DE238,30171.44,579.0,342.0,237.0,45.9,998.0,150.0,217.0,60.0
DE239,41742.71,567.0,347.0,220.0,46.2,994.0,140.0,221.0,63.0
DE23A,50148.22,606.0,396.0,211.0,49.0,1012.0,131.0,246.0,72.0
DE241,71530.95,488.0,301.0,187.0,41.2,1040.0,126.0,202.0,68.0
DE242,71867.7,508.0,340.0,168.0,42.4,1034.0,111.0,226.0,75.0
DE243,111522.65,568.0,380.0,188.0,45.6,1051.0,120.0,242.0,78.0
DE244,50934.52,600.0,381.0,220.0,45.1,1026.0,137.0,238.0,76.0
DE245,30370.76,575.0,343.0,232.0,46.5,1002.0,147.0,218.0,57.0
DE246,26549.48,616.0,396.0,220.0,49.2,1015.0,136.0,245.0,71.0
DE247,30795.55,627.0,408.0,220.0,49.4,1016.0,135.0,251.0,73.0
DE248,37661.05,592.0,361.0,231.0,47.0,1013.0,145.0,227.0,63.0
DE249,42925.02,654.0,446.0,209.0,51.3,1041.0,126.0,269.0,84.0
DE24A,37677.14,617.0,428.0,189.0,51.4,1015.0,117.0,265.0,77.0
DE24B,41418.1,616.0,418.0,198.0,50.3,1024.0,122.0,259.0,76.0
DE24C,40262.51,610.0,395.0,214.0,48.7,1028.0,133.0,246.0,73.0
DE24D,42402.56,670.0,458.0,212.0,51.1,1053.0,127.0,274.0,85.0
DE251,66847.73,583.0,360.0,222.0,44.9,1062.0,140.0,228.0,70.0
DE252,111756.26,467.0,273.0,194.0,39.2,1010.0,132.0,186.0,65.0
DE253,43510.09,500.0,295.0,204.0,43.6,1030.0,136.0,197.0,59.0
DE254,69964.85,506.0,305.0,201.0,42.5,1034.0,134.0,202.0,68.0
DE255,41254.07,602.0,372.0,230.0,46.7,1049.0,144.0,232.0,76.0
DE256,35811.39,580.0,346.0,235.0,45.6,995.0,149.0,219.0,62.0
DE257,43145.57,611.0,363.0,248.0,46.1,1017.0,154.0,225.0,65.0
DE258,26728.01,631.0,395.0,236.0,47.7,1058.0,145.0,242.0,77.0
DE259,37764.02,615.0,384.0,231.0,47.7,1037.0,143.0,238.0,75.0
DE25A,35889.4,599.0,367.0,232.0,46.8,996.0,145.0,229.0,64.0
DE25B,36379.0,602.0,368.0,234.0,47.0,1015.0,146.0,230.0,70.0
DE25C,36089.84,614.0,380.0,234.0,46.7,1006.0,145.0,235.0,69.0
DE261,79986.41,548.0,341.0,207.0,44.5,1043.0,134.0,221.0,68.0
DE262,107155.92,614.0,392.0,221.0,44.2,1020.0,137.0,243.0,83.0
DE263,78098.6,461.0,301.0,161.0,39.2,1090.0,110.0,206.0,74.0
DE264,40034.69,602.0,379.0,224.0,48.0,1020.0,140.0,236.0,71.0
DE265,38059.81,670.0,444.0,226.0,49.9,1033.0,135.0,266.0,82.0
DE266,47462.71,629.0,401.0,228.0,48.1,1006.0,140.0,246.0,69.0
DE267,35631.2,607.0,378.0,230.0,47.4,992.0,143.0,235.0,63.0
DE268,41843.99,584.0,353.0,231.0,46.2,996.0,146.0,223.0,63.0
DE269,39508.47,597.0,371.0,225.0,47.5,1013.0,141.0,233.0,69.0
DE26A,42664.45,633.0,414.0,219.0,49.3,1007.0,134.0,253.0,74.0
DE26B,25591.47,629.0,393.0,236.0,47.4,996.0,145.0,241.0,70.0
DE26C,32843.2,626.0,387.0,239.0,46.9,1022.0,147.0,238.0,67.0
DE271,53755.96,489.0,292.0,197.0,41.3,1024.0,132.0,196.0,66.0
DE272,42813.95,605.0,371.0,234.0,44.7,1025.0,146.0,231.0,76.0
DE273,61305.37,563.0,350.0,213.0,43.2,1035.0,136.0,224.0,76.0
DE274,66638.72,589.0,356.0,233.0,44.4,1024.0,147.0,224.0,75.0
DE275,34208.12,588.0,341.0,247.0,45.4,1008.0,156.0,215.0,66.0
DE276,35293.81,596.0,349.0,247.0,45.4,1014.0,155.0,218.0,68.0
DE277,40764.5,588.0,350.0,238.0,45.6,995.0,150.0,221.0,64.0
DE278,47851.85,558.0,326.0,232.0,44.7,979.0,149.0,209.0,61.0
DE279,40715.22,560.0,330.0,230.0,43.8,1002.0,148.0,211.0,66.0
DE27A,43181.71,606.0,379.0,228.0,47.4,1036.0,142.0,236.0,81.0
DE27B,42716.78,605.0,363.0,242.0,45.8,1011.0,151.0,226.0,69.0
DE27C,44808.36,594.0,350.0,244.0,45.2,979.0,153.0,220.0,69.0
DE27D,55782.01,573.0,341.0,232.0,45.4,974.0,147.0,217.0,64.0
DE27E,38596.01,628.0,391.0,236.0,47.5,1035.0,145.0,241.0,78.0
DE300,50519.13,494.0,287.0,207.0,41.3,1036.0,139.0,192.0,66.0
DE401,36933.94,686.0,477.0,209.0,49.1,1050.0,124.0,283.0,106.0
DE402,41821.08,667.0,458.0,209.0,48.1,1062.0,125.0,275.0,98.0
DE403,43112.79,668.0,474.0,194.0,49.6,1047.0,116.0,284.0,96.0
DE404,49343.89,539.0,316.0,223.0,42.8,1071.0,145.0,206.0,74.0
DE405,25674.21,653.0,426.0,227.0,49.2,1031.0,137.0,258.0,82.0
DE406,41818.36,644.0,414.0,230.0,48.7,1018.0,140.0,252.0,84.0
DE407,29418.34,750.0,540.0,210.0,54.4,1020.0,120.0,309.0,99.0
DE408,25139.48,612.0,386.0,226.0,48.7,1027.0,140.0,239.0,77.0
