geo,nights_spent_per1000pop,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
DE11,3009.48,554.0,328.0,226.0,44.0,1009.0,146.0,211.0,69.0
DE12,3747.81,551.0,337.0,215.0,44.4,1014.0,138.0,217.0,69.0
DE13,7408.13,580.0,348.0,231.0,44.4,1029.0,147.0,221.0,69.0
DE14,5022.24,569.0,339.0,231.0,44.2,1017.0,147.0,216.0,68.0
DE21,8842.88,524.0,306.0,219.0,43.3,1022.0,143.0,200.0,67.0
DE22,7621.07,570.0,352.0,219.0,45.9,998.0,139.0,224.0,63.0
DE23,4556.37,557.0,342.0,215.0,45.4,1003.0,138.0,220.0,63.0
DE24,4359.86,594.0,384.0,210.0,47.7,1024.0,132.0,241.0,72.0
DE25,4862.31,557.0,338.0,219.0,44.6,1024.0,141.0,217.0,68.0
DE26,4293.12,597.0,378.0,220.0,46.6,1021.0,138.0,236.0,71.0
DE27,8017.82,572.0,341.0,231.0,44.6,1009.0,147.0,217.0,69.0
DE30,8088.24,494.0,287.0,207.0,41.3,1036.0,139.0,192.0,66.0
DE40,4835.82,659.0,440.0,220.0,49.9,1031.0,132.0,265.0,87.0
DE50,3895.75,545.0,322.0,223.0,42.2,1022.0,145.0,208.0,67.0
DE60,8673.04,477.0,267.0,211.0,41.0,1043.0,143.0,180.0,62.0
DE71,4950.03,540.0,319.0,221.0,44.1,1027.0,144.0,207.0,65.0
DE72,2155.78,568.0,353.0,215.0,45.1,1028.0,137.0,225.0,67.0
DE73,5642.95,608.0,388.0,220.0,47.1,1023.0,137.0,241.0,75.0
DE80,18411.16,681.0,472.0,210.0,50.9,1043.0,125.0,280.0,86.0
DE91,4019.88,598.0,381.0,217.0,46.5,1019.0,136.0,239.0,77.0
DE92,3071.04,587.0,369.0,218.0,46.2,1038.0,137.0,233.0,77.0
DE93,5573.01,617.0,388.0,229.0,47.7,1030.0,141.0,240.0,75.0
DE94,6759.63,577.0,350.0,227.0,45.4,1017.0,144.0,222.0,66.0
DEA1,2438.71,570.0,349.0,221.0,45.2,1042.0,141.0,222.0,71.0
DEA2,3100.87,542.0,328.0,214.0,44.3,1032.0,139.0,213.0,67.0
DEA3,1738.12,574.0,345.0,229.0,45.0,1031.0,145.0,219.0,66.0
DEA4,1945.04,582.0,351.0,231.0,45.1,1022.0,146.0,222.0,70.0
DEA5,2481.99,579.0,359.0,220.0,45.7,1027.0,139.0,227.0,71.0
DEB1,5104.26,612.0,387.0,224.0,47.2,1020.0,139.0,240.0,72.0
DEB2,11511.81,573.0,358.0,215.0,46.1,1009.0,137.0,228.0,66.0
DEB3,2937.29,585.0,362.0,223.0,45.7,1022.0,141.0,229.0,69.0
DEC0,2428.25,618.0,411.0,207.0,48.1,1030.0,128.0,254.0,75.0
DED2,5449.44,680.0,454.0,225.0,48.4,1027.0,134.0,271.0,98.0
DED4,2737.58,753.0,532.0,220.0,51.8,1036.0,126.0,304.0,102.0
DED5,4618.73,577.0,365.0,212.0,44.1,1028.0,135.0,231.0,82.0
DEE0,3390.72,687.0,480.0,207.0,51.1,1037.0,123.0,285.0,92.0
DEF0,11782.67,598.0,383.0,215.0,47.5,1044.0,134.0,240.0,79.0
DEG0,3752.68,684.0,472.0,211.0,50.4,1024.0,126.0,280.0,89.0
