geo,employment_rate_per1000,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
EL301,558.54,596.0,386.0,210.0,48.1,1137.0,132.0,242.0,73.0
EL302,316.47,505.0,313.0,192.0,46.5,1070.0,127.0,208.0,59.0
EL303,695.82,498.0,339.0,158.0,46.6,1084.0,106.0,227.0,67.0
EL304,418.36,561.0,369.0,192.0,47.9,1137.0,123.0,237.0,68.0
EL305,462.51,540.0,315.0,225.0,45.4,1014.0,146.0,205.0,53.0
EL306,594.25,523.0,271.0,253.0,42.5,990.0,166.0,178.0,44.0
EL307,459.64,532.0,343.0,189.0,46.8,1044.0,123.0,224.0,61.0
EL411,420.79,569.0,345.0,224.0,42.5,844.0,143.0,220.0,73.0
EL412,431.15,595.0,419.0,176.0,46.9,851.0,110.0,263.0,82.0
EL413,401.85,591.0,390.0,201.0,46.2,958.0,127.0,245.0,74.0
EL421,558.19,524.0,303.0,221.0,43.4,935.0,145.0,199.0,52.0
EL422,532.07,624.0,369.0,255.0,46.7,1024.0,157.0,227.0,65.0
EL431,519.64,565.0,326.0,239.0,44.7,1044.0,153.0,208.0,62.0
EL432,394.59,655.0,437.0,218.0,48.1,997.0,132.0,264.0,96.0
EL433,457.11,530.0,286.0,245.0,42.4,1039.0,160.0,187.0,57.0
EL434,484.95,565.0,330.0,235.0,45.3,996.0,150.0,211.0,61.0
EL511,455.6,585.0,394.0,191.0,45.5,894.0,120.0,249.0,83.0
EL512,443.84,519.0,298.0,222.0,43.4,998.0,146.0,196.0,51.0
EL513,509.25,526.0,360.0,167.0,45.8,1037.0,109.0,236.0,70.0
EL514,336.79,637.0,427.0,210.0,48.3,1004.0,128.0,261.0,86.0
EL515,445.26,640.0,433.0,207.0,49.8,1064.0,126.0,264.0,82.0
EL521,430.57,630.0,418.0,212.0,48.3,1015.0,130.0,256.0,81.0
EL522,485.98,528.0,334.0,194.0,46.3,1101.0,127.0,219.0,64.0
EL523,415.55,639.0,435.0,204.0,49.1,989.0,124.0,265.0,97.0
EL524,494.62,635.0,426.0,209.0,50.0,1039.0,128.0,260.0,85.0
EL525,429.97,633.0,419.0,214.0,49.1,1049.0,131.0,257.0,81.0
EL526,342.74,678.0,485.0,193.0,50.2,986.0,115.0,289.0,96.0
EL527,339.17,609.0,400.0,209.0,48.5,1003.0,130.0,248.0,73.0
EL531,408.54,630.0,441.0,189.0,50.5,1000.0,116.0,271.0,89.0
EL532,400.25,648.0,469.0,178.0,52.3,1013.0,108.0,285.0,88.0
EL533,412.38,587.0,398.0,190.0,48.6,1052.0,119.0,251.0,80.0
EL541,432.65,760.0,556.0,204.0,52.6,1018.0,116.0,316.0,102.0
EL542,450.59,749.0,540.0,209.0,51.6,1008.0,119.0,309.0,95.0
EL543,430.1,609.0,408.0,201.0,46.5,1003.0,125.0,254.0,81.0
EL611,462.07,702.0,502.0,200.0,51.3,1015.0,117.0,295.0,99.0
EL612,513.37,603.0,385.0,218.0,47.2,1008.0,136.0,240.0,76.0
EL613,397.17,600.0,398.0,202.0,48.0,1058.0,126.0,249.0,74.0
EL621,689.04,581.0,339.0,242.0,46.2,1036.0,153.0,214.0,56.0
EL622,512.37,628.0,417.0,211.0,49.1,1043.0,130.0,256.0,67.0
EL623,360.18,651.0,436.0,215.0,49.3,1018.0,130.0,264.0,86.0
EL624,385.33,666.0,436.0,230.0,48.7,992.0,138.0,262.0,77.0
EL631,436.74,674.0,454.0,220.0,50.0,1004.0,131.0,271.0,85.0
EL632,390.45,553.0,348.0,205.0,45.7,1036.0,132.0,224.0,63.0
EL633,475.33,608.0,417.0,191.0,47.9,864.0,119.0,259.0,77.0
EL641,611.07,585.0,368.0,217.0,46.8,934.0,137.0,232.0,71.0
EL642,334.73,611.0,397.0,214.0,47.5,978.0,133.0,247.0,75.0
EL643,487.54,865.0,694.0,170.0,57.8,979.0,91.0,372.0,139.0
EL644,579.88,667.0,476.0,191.0,51.4,1024.0,114.0,286.0,96.0
EL645,399.43,741.0,573.0,168.0,54.1,991.0,96.0,329.0,110.0
EL651,493.03,658.0,458.0,200.0,50.5,995.0,121.0,276.0,88.0
EL652,418.5,638.0,422.0,215.0,48.7,1002.0,131.0,258.0,74.0
EL653,487.52,660.0,465.0,195.0,50.4,977.0,117.0,280.0,92.0
