geo,gdp_per_capita_eur,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
EL301,31057.26,596.0,386.0,210.0,48.1,1137.0,132.0,242.0,73.0
EL302,14096.91,505.0,313.0,192.0,46.5,1070.0,127.0,208.0,59.0
EL303,34859.59,498.0,339.0,158.0,46.6,1084.0,106.0,227.0,67.0
EL304,22052.02,561.0,369.0,192.0,47.9,1137.0,123.0,237.0,68.0
EL305,23065.79,540.0,315.0,225.0,45.4,1014.0,146.0,205.0,53.0
EL306,30195.34,523.0,271.0,253.0,42.5,990.0,166.0,178.0,44.0
EL307,20748.26,532.0,343.0,189.0,46.8,1044.0,123.0,224.0,61.0
EL411,14014.76,569.0,345.0,224.0,42.5,844.0,143.0,220.0,73.0
EL412,13587.47,595.0,419.0,176.0,46.9,851.0,110.0,263.0,82.0
EL413,14035.77,591.0,390.0,201.0,46.2,958.0,127.0,245.0,74.0
EL421,17697.15,524.0,303.0,221.0,43.4,935.0,145.0,199.0,52.0
EL422,24029.03,624.0,369.0,255.0,46.7,1024.0,157.0,227.0,65.0
EL431,16213.64,565.0,326.0,239.0,44.7,1044.0,153.0,208.0,62.0
EL432,18532.05,655.0,437.0,218.0,48.1,997.0,132.0,264.0,96.0
EL433,16326.37,530.0,286.0,245.0,42.4,1039.0,160.0,187.0,57.0
EL434,17026.89,565.0,330.0,235.0,45.3,996.0,150.0,211.0,61.0
EL511,14870.64,585.0,394.0,191.0,45.5,894.0,120.0,249.0,83.0
EL512,11290.7,519.0,298.0,222.0,43.4,998.0,146.0,196.0,51.0
EL513,12573.26,526.0,360.0,167.0,45.8,1037.0,109.0,236.0,70.0
EL514,13825.18,637.0,427.0,210.0,48.3,1004.0,128.0,261.0,86.0
EL515,15598.69,640.0,433.0,207.0,49.8,1064.0,126.0,264.0,82.0
EL521,14888.17,630.0,418.0,212.0,48.3,1015.0,130.0,256.0,81.0
EL522,16879.07,528.0,334.0,194.0,46.3,1101.0,127.0,219.0,64.0
EL523,15569.26,639.0,435.0,204.0,49.1,989.0,124.0,265.0,97.0
EL524,17358.09,635.0,426.0,209.0,50.0,1039.0,128.0,260.0,85.0
EL525,14309.89,633.0,419.0,214.0,49.1,1049.0,131.0,257.0,81.0
EL526,13553.06,678.0,485.0,193.0,50.2,986.0,115.0,289.0,96.0
EL527,16917.39,609.0,400.0,209.0,48.5,1003.0,130.0,248.0,73.0
EL531,16135.28,630.0,441.0,189.0,50.5,1000.0,116.0,271.0,89.0
EL532,11965.24,648.0,469.0,178.0,52.3,1013.0,108.0,285.0,88.0
EL533,19970.5,587.0,398.0,190.0,48.6,1052.0,119.0,251.0,80.0
EL541,12129.13,760.0,556.0,204.0,52.6,1018.0,116.0,316.0,102.0
EL542,14003.73,749.0,540.0,209.0,51.6,1008.0,119.0,309.0,95.0
EL543,13423.63,609.0,408.0,201.0,46.5,1003.0,125.0,254.0,81.0
EL611,12708.75,702.0,502.0,200.0,51.3,1015.0,117.0,295.0,99.0
EL612,17526.97,603.0,385.0,218.0,47.2,1008.0,136.0,240.0,76.0
EL613,15981.24,600.0,398.0,202.0,48.0,1058.0,126.0,249.0,74.0
EL621,19330.39,581.0,339.0,242.0,46.2,1036.0,153.0,214.0,56.0
EL622,15841.84,628.0,417.0,211.0,49.1,1043.0,130.0,256.0,67.0
EL623,16617.58,651.0,436.0,215.0,49.3,1018.0,130.0,264.0,86.0
EL624,15215.73,666.0,436.0,230.0,48.7,992.0,138.0,262.0,77.0
EL631,13778.43,674.0,454.0,220.0,50.0,1004.0,131.0,271.0,85.0
EL632,14736.91,553.0,348.0,205.0,45.7,1036.0,132.0,224.0,63.0
EL633,13117.73,608.0,417.0,191.0,47.9,864.0,119.0,259.0,77.0
EL641,31474.47,585.0,368.0,217.0,46.8,934.0,137.0,232.0,71.0
EL642,16607.49,611.0,397.0,214.0,47.5,978.0,133.0,247.0,75.0
EL643,12461.29,865.0,694.0,170.0,57.8,979.0,91.0,372.0,139.0
EL644,17126.03,667.0,476.0,191.0,51.4,1024.0,114.0,286.0,96.0
EL645,15554.42,741.0,573.0,168.0,54.1,991.0,96.0,329.0,110.0
EL651,20140.63,658.0,458.0,200.0,50.5,995.0,121.0,276.0,88.0
EL652,18203.86,638.0,422.0,215.0,48.7,1002.0,131.0,258.0,74.0
EL653,15642.76,660.0,465.0,195.0,50.4,977.0,117.0,280.0,92.0
