geo,nights_spent_per1000pop,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
EL30,3275.07,534.0,341.0,193.0,46.7,1077.0,126.0,223.0,63.0
EL41,14625.57,580.0,372.0,209.0,44.4,873.0,132.0,235.0,75.0
EL42,117513.2,558.0,325.0,233.0,44.6,966.0,149.0,209.0,56.0
EL43,55191.82,571.0,334.0,236.0,45.0,1025.0,150.0,213.0,65.0
EL51,6815.29,580.0,381.0,199.0,46.6,994.0,126.0,241.0,75.0
EL52,9607.63,570.0,371.0,198.0,47.4,1066.0,126.0,236.0,72.0
EL53,1382.96,625.0,438.0,187.0,50.5,1011.0,115.0,270.0,87.0
EL54,9315.79,677.0,474.0,203.0,49.4,1009.0,121.0,283.0,90.0
EL61,6057.92,634.0,426.0,208.0,48.7,1024.0,127.0,261.0,83.0
EL62,97895.25,627.0,407.0,220.0,48.5,1031.0,135.0,250.0,69.0
EL63,3750.67,600.0,394.0,206.0,47.5,983.0,129.0,246.0,73.0
EL64,5912.38,636.0,432.0,204.0,49.2,981.0,125.0,264.0,84.0
EL65,10783.67,654.0,452.0,202.0,50.0,989.0,122.0,273.0,86.0
