geo_code,geo_name,car_driver_to_work_per1000,work_from_home_per1000,public_transport_to_work_per1000,walk_or_bike_to_work_per1000,commute_over_1hr_per1000,commute_under_15min_per1000,disability_per1000,carer_per1000,very_good_health_per1000,bad_or_very_bad_health_per1000,smoker_per1000,agriculture_forestry_fishing_per1000,building_construction_per1000,manufacturing_per1000,commerce_trade_per1000,public_administration_per1000,professional_services_per1000,no_car_household_per1000,multiple_car_household_per1000,no_internet_per1000,broadband_per1000
DC,Dublin City,190.84700172779353,84.39386035024913,191.69175397368585,297.9151610294012,68.61693773322284,166.56376427770647,219.6543689779033,48.591814250741926,480.76387728968325,20.202020202020204,155.46309934150256,1.015958881978888,37.82031851143703,53.65928403212428,263.75958082535834,54.88842772868235,237.29135369026244,308.8919337173365,189.45632075346202,66.56201916468235,791.1439834337683
CC,Cork City,339.07091029235335,81.27129137182193,86.12780917798464,192.07944929525962,33.80903468321787,265.13247517684,236.44220638917162,58.49002696380422,521.7897894680452,18.615739004660632,146.90809092694772,3.728849674088853,44.98832918478629,170.4326434154326,220.215207895476,45.337000842623176,261.494058053831,181.19959677419357,358.3669354838709,74.00873655913978,817.3243087557604
GC,Galway City,293.5052467807607,73.43837929093978,98.7123042801814,244.14909464067,34.33651264005926,276.35892212241873,221.70493046177177,50.13386405098681,484.69448195796906,17.402326628284406,159.1797569123605,3.407542026351658,27.285577262860315,154.1975869554243,202.33227320914733,36.47332020798627,267.4037053864405,184.76289194091734,289.6151852811609,56.26457631510754,810.7994299041202
LS,Laois,382.38543936650194,55.200883950768855,89.83763543169331,97.00438906110924,127.93863328938582,322.894371864459,218.83605254851597,59.917063029920435,533.4632171272463,18.132938602697084,137.07456708425394,57.670155756999044,69.89031902639354,106.37551960735213,224.77087193869886,81.1088295687885,249.3364050683628,91.70095140138854,486.14682437644643,100.41141681666238,775.295705836976
LM,Leitrim,404.51440451440453,66.23106623106622,90.28809028809029,82.77822563536849,87.8131021194605,357.7071290944123,224.58024375692492,66.33711184976845,523.1966817239127,18.75053268558766,130.6003011449189,68.03455723542116,62.432505399568036,125.53995680345572,192.9670626349892,97.19222462203024,259.11177105831536,95.95996762086982,450.3642652145117,143.93995143130473,733.5344764147472
LK,Limerick,372.1358144702125,65.68532148312735,69.91390084710457,137.6892098319678,49.689344153667456,301.2075430513654,225.96594379963346,58.333651496640194,493.5715103848503,19.37137293830177,133.60949908368968,43.256127031768976,50.51697692638734,149.42122860642442,202.11204661068382,45.407898657073815,259.76849144256977,128.76335277541122,410.00065535094046,106.24549446228455,738.8557572580116
LD,Longford,346.63852309243276,48.453153550500915,92.08619494675824,106.79856341755404,83.08440430705106,339.7707537339354,210.84040983080575,56.44799041731727,469.7653526127784,20.577099955081174,137.10936664456375,54.12541254125412,60.726072607260726,163.74714394516374,172.07413048997208,65.75272911906575,215.33384107641535,121.31309391583365,384.73404911761077,124.33666543255583,715.2289275576946
LH,Louth,344.1532069105564,60.170577025211664,102.57531735865955,161.30879856706966,110.69827926526251,333.34881452755263,220.03106590409655,57.371709984753366,518.5500669276965,19.570087972341327,137.67778787857097,20.189381129523166,58.403787622590464,119.6482921880284,252.60399053094352,54.54852891444031,252.99289820764287,150.45001216249088,382.4495256628557,90.34703640638936,797.3931727884537
CW,Carlow,373.44660534999645,70.46736408528166,63.11872498771326,130.19260923494582,104.25976361088343,356.5403633094476,231.29679834753424,57.17467079783114,513.2003614768913,20.36534985799122,143.26749289956106,63.00388175574799,70.17020005971932,147.20812182741116,223.68617497760528,56.136160047775455,223.83547327560467,113.19563452692343,439.34337512401913,106.29566158564084,734.3284928294399
MO,Mayo,410.2810023040205,60.03682023128397,73.43100616242792,95.20344831387594,70.32281143223673,402.7433420913049,217.97492208451115,68.5583822570124,513.7783576139741,18.960643618177865,123.65731680800174,61.83357904481092,66.61638152706827,156.9410635307025,204.47766311242157,65.22782596770323,241.69438063564988,105.5850450034618,448.1306254327256,133.95261173936456,743.1340872374798
MH,Meath,385.58111008892973,69.48788715118062,116.24041704998467,132.4624348359399,146.47701647875107,276.84301821335646,195.62913787325766,53.86593969912963,571.02424533343,14.427648918152753,122.6078450907049,35.557224599511805,82.51885086323612,112.79882200634455,250.14576683236322,61.1726571069978,229.5012303708901,68.94650512067706,542.8193358971179,70.66947855931853,839.7221188438159
MN,Monaghan,389.70827812411756,46.74500944892152,91.23096639659404,90.81825488194278,85.27470394098232,374.8058629392351,188.12032839112854,56.44222521749786,553.8843279009925,15.270800147040804,127.38941306212473,96.14644219663295,81.51622274334115,168.1075216128242,205.27807917118756,48.96573448601729,226.27839417591264,98.49048348282652,481.16385911179174,130.86851892364908,774.8413913804419
OY,Offaly,391.5133520668752,52.91341922485552,84.5837088878285,115.65311135853524,112.03132648066568,367.3617229564366,226.25375826819,63.896572459410706,517.1377029464824,20.709561034275406,140.9380637402285,60.17362687244666,73.22401270994098,156.15070358601906,205.91239219246484,66.33000453926465,245.4039945528824,102.74545327851718,468.0161661208278,118.91157410633406,760.9574245697164
RN,Roscommon,412.146539106086,60.47814004794128,75.87874673850787,72.61195137990283,90.54124815537679,354.71509496834386,223.75781038728135,64.94541624560554,524.8580253063665,19.32848460695427,128.18286625201043,68.01526459761575,62.67940967883556,128.80348519131405,209.17902130964845,88.98720070244167,248.38742359258384,87.43022136669875,470.4523580365736,133.01251203079883,749.6053897978826
SO,Sligo,375.99018649811836,79.54758093020355,67.61336465891843,125.7666798345011,42.91784026352222,380.69890676469186,229.75013533149092,65.44345992763327,526.7956352032821,18.120174363941995,127.05490184905551,50.8893280632411,50.19762845849802,129.80895915678525,180.92885375494072,89.92094861660078,280.66534914361,124.99533599492555,421.5514346479609,112.64505055781501,754.3002126786314
TY,Tipperary,408.01929768236914,62.24890886530669,62.83894591616268,107.96810329119195,81.36049905792078,378.9794304569816,230.1378837964204,62.7475505524286,522.2788052056345,19.470502397331664,137.8480597992793,88.16096821342222,62.01592743863292,156.70632589779666,201.07366781865122,60.44503940879971,240.93324408868006,111.5282970220446,457.86064200077345,124.79051179579734,733.9660951398737
WD,Waterford,381.5685329846175,69.29580049783773,64.15683035663076,134.50795507989494,55.0432612097619,368.28287269952534,229.29736265634446,61.257979161923004,521.7841916412145,17.948697816477313,135.04707018521864,47.69564431592264,51.05729260798844,169.65479848183625,202.45797939634917,47.11729622266402,259.4433399602386,134.20158550396377,404.5761503292647,98.67455224193617,769.221089719391
WH,Westmeath,381.1754493616894,59.879970666147834,78.42315578370774,120.77764640735141,115.77537869277764,342.20436856640725,214.93229128776463,57.513432618659124,520.9465709148731,16.628386734704485,138.63917440059862,44.48986382108991,65.09494498181904,120.16065784157615,219.74000047531905,65.49896618104903,247.2134420229579,107.19642384495485,444.4607828720995,100.10881392818281,782.6662353321766
WX,Wexford,393.94188596491233,65.39656432748538,77.4031432748538,101.36147660818713,95.0295103543299,354.8645814053921,241.0153795472154,62.134346842037836,527.4556335751194,20.22340302222439,144.4493926878519,60.689357415269484,76.01640641865151,120.32812837303015,232.42426422968987,56.64531913362596,227.61747139670433,102.04634315600616,457.8121561923461,108.98596841624212,742.4891250994398
CN,Cavan,388.4513048228225,51.92860037708587,97.00269598773589,90.2186745608007,114.26499127673338,353.5961421598416,199.19465387251543,56.704690100851856,542.2378341329678,16.82904141780084,137.17810633506318,80.73550212164074,81.95190947666195,164.2998585572843,204.4978783592645,52.98444130127299,227.58132956152758,100.32666110647762,472.4770642201835,118.98804559355018,769.8429246594384
WW,Wicklow,356.5187125611387,89.88074520507796,114.5010899631794,134.44100459799594,142.4819991529013,297.0351545955104,227.67900109720182,59.049990054603434,561.292516570314,16.766013692565334,127.711724660092,30.317089791361585,64.56336721230663,91.34273825230895,264.1979962592974,47.614214669933745,247.10385524350815,95.41426959433213,480.53053145637176,74.06722284910931,822.4347472206292
DR,Dun Laoghaire-Rathdown,270.53343350864014,120.1382419233659,201.5687453042825,209.31029301277235,77.47813989028496,213.20905689755844,213.7988540152228,58.197212007183786,606.0634567690071,13.473873257504488,106.97425810313862,1.7269211998348162,31.028268949205994,59.766490220370166,344.4269249540113,44.308668393587865,250.69452265645532,136.97567853366232,389.49594642227703,37.010927035600986,908.2011514510633
FL,Fingal,310.46702794860863,79.61598571109623,173.86997909435954,181.38383161825894,120.42643409991483,236.8023923267785,185.81205787489486,51.775156880661775,553.5602984514653,14.187336992369275,117.10528704471326,7.042298936561268,53.25577345981956,72.15776813295241,274.72059743459107,60.42705223038378,238.92869349877148,96.38565414176712,416.9462541473434,31.868325913809606,877.9356685471055
SD,South Dublin,329.11116773610695,67.14077231346569,148.66686742801545,190.77578818133384,93.45331763185594,223.48551955563428,210.84115253674335,55.0327991364278,534.6807273935066,17.826123059038448,132.21290376152123,1.7868734091356637,60.5276017241505,82.78693904938335,284.1785123002531,57.260176061731,247.24493293754696,118.81869501905008,400.35108016995474,41.311763180467175,869.3622708503719
CE,Clare,407.5224838432684,68.20852352329733,59.72341483255751,103.87761558277218,63.952820434266464,336.81818762047,212.70459128640434,64.44527818161923,515.9686723256578,17.68043896262252,125.87346996201285,51.510401823881445,56.782559133656314,167.21288116272441,183.18965517241378,60.50512966657167,239.6694214876033,90.22200211020434,470.3171766327168,109.17077582308735,768.8034280054262
CK,Cork County,407.72111581673727,77.73227709526755,78.52173338155629,94.7969775102182,76.14493204920038,328.5259903467604,209.98078589040185,63.70921166618539,570.023212421422,14.021857437970635,117.56425064972566,64.99807661285318,64.32178887413603,178.67646146400784,215.07190986139204,48.7299440356385,233.97694417213694,81.00164589701387,520.8950544713535,98.00141076886904,766.815581158398
DL,Donegal,371.85806263868176,69.67734895056564,107.09868684296679,71.9508202684515,55.90350985985365,409.3182851709455,228.67539680639678,64.02767470254483,517.4104043475138,20.33109094826554,118.53319288501592,57.15168365770775,69.42053930005737,97.85662797710991,201.59759918796064,71.70072230313194,264.56007178898744,113.11408850994722,422.55785627283797,126.30125862768982,761.3804303694682
GY,Galway County,410.37433310982186,71.60141103757908,80.04868662721204,73.62759103233142,78.44700839791672,320.715691893643,200.39002084594176,65.09313428821196,547.8913528136849,15.176673235983301,112.37669599582047,57.39164852562834,68.03180405350345,169.02015110417807,192.50066937521098,51.21011396840549,267.3077146948231,74.25275146794134,522.646130241067,113.02410669499277,751.5859667758402
KY,Kerry,393.4633652573386,69.3179163746788,65.27875107062214,106.01105660671183,62.67041956196675,384.09270824170994,216.09633256209335,64.14501016247172,517.3145508698819,16.592312313847806,128.98030142274604,66.01524909319713,61.4997409134651,106.71404249019173,212.55459323414019,56.85098823006884,238.5816862832186,105.70824524312897,441.98078344419804,130.85477577820177,727.2555389401674
