geo,employment_rate_per1000,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
ITC1,406.78,615.0,434.0,181.0,50.6,1044.0,112.0,269.0,89.0
ITC2,436.12,592.0,411.0,181.0,50.5,1037.0,114.0,258.0,82.0
ITC3,394.31,653.0,483.0,170.0,52.5,1065.0,103.0,292.0,103.0
ITC4,433.97,564.0,373.0,191.0,48.4,1029.0,122.0,238.0,78.0
ITF1,365.37,600.0,418.0,182.0,50.0,1036.0,114.0,261.0,81.0
ITF2,340.58,606.0,438.0,167.0,50.7,1014.0,104.0,273.0,84.0
ITF3,282.98,530.0,327.0,203.0,46.0,1046.0,133.0,214.0,56.0
ITF4,314.51,576.0,390.0,186.0,48.7,1048.0,118.0,247.0,73.0
ITF5,337.42,582.0,411.0,171.0,49.9,1019.0,108.0,260.0,77.0
ITF6,274.49,585.0,388.0,197.0,48.0,1037.0,124.0,245.0,70.0
ITG1,269.3,576.0,373.0,203.0,47.5,1049.0,129.0,237.0,67.0
ITG2,345.28,592.0,437.0,155.0,51.7,1035.0,97.0,275.0,83.0
ITH1,476.52,561.0,328.0,233.0,45.4,1013.0,149.0,210.0,70.0
ITH2,439.22,586.0,382.0,204.0,48.0,1022.0,129.0,241.0,76.0
ITH3,429.89,579.0,393.0,186.0,49.6,1028.0,118.0,249.0,80.0
ITH4,421.38,623.0,447.0,177.0,51.3,1043.0,109.0,275.0,94.0
ITH5,437.5,580.0,394.0,187.0,49.2,1036.0,118.0,249.0,83.0
ITI1,425.09,607.0,430.0,177.0,50.6,1053.0,110.0,268.0,90.0
ITI2,396.94,625.0,445.0,180.0,50.7,1059.0,111.0,274.0,93.0
ITI3,414.95,610.0,428.0,182.0,50.2,1039.0,113.0,266.0,89.0
ITI4,394.48,556.0,370.0,186.0,48.9,1060.0,119.0,238.0,74.0
