DATAFLOW,LAST UPDATE,freq,indic_de,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,IT,2024,57.6,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,IT,2025,57.8,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC,2024,58.5,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC,2025,58.5,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC1,2024,61.5,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC1,2025,61.5,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC11,2024,61.0,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC11,2025,60.9,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC12,2024,63.7,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC12,2025,63.9,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC13,2024,66.6,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC13,2025,66.7,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC14,2024,62.7,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC14,2025,63.0,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC15,2024,58.5,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC15,2025,58.8,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC16,2024,60.3,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC16,2025,60.6,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC17,2024,62.9,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC17,2025,63.3,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC18,2024,64.1,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC18,2025,64.1,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC2,2024,59.0,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC2,2025,59.2,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC20,2024,59.0,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC20,2025,59.2,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC3,2024,65.2,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC3,2025,65.3,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC31,2024,64.3,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC31,2025,64.8,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC32,2024,66.7,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC32,2025,66.8,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC33,2024,65.7,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC33,2025,65.6,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC34,2024,62.8,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC34,2025,62.8,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC4,2024,56.4,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC4,2025,56.4,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC41,2024,59.0,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC41,2025,59.0,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC42,2024,57.0,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC42,2025,57.2,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC43,2024,59.7,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC43,2025,60.0,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC44,2024,59.7,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC44,2025,60.6,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC46,2024,55.0,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC46,2025,55.2,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC47,2024,55.6,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC47,2025,55.6,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC48,2024,58.3,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC48,2025,58.3,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC49,2024,55.4,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC49,2025,55.6,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC4A,2024,59.5,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC4A,2025,59.6,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC4B,2024,58.2,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC4B,2025,58.2,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC4C,2024,54.8,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC4C,2025,54.6,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC4D,2024,57.0,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITC4D,2025,57.0,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITF,2024,55.5,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITF,2025,56.1,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITF1,2024,59.5,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITF1,2025,60.0,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITF11,2024,60.5,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITF11,2025,61.4,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITF12,2024,57.7,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITF12,2025,58.2,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITF13,2024,58.7,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITF13,2025,59.0,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITF14,2024,60.9,,
ESTAT:DEMO_R_PJANIND3(1.0),10/07/26 11:00:00,A,DEPRATIO1,PC,ITF14,2025,61.3,,
