"geo","GeboorteRelatief_25","SterfteRelatief_27","GemiddeldeHuishoudensgrootte_32","Bevolkingsdichtheid_33","GemiddeldeWOZWaardeVanWoningen_35","PercentageEengezinswoning_36","PercentageMeergezinswoning_37","PercentageBewoond_38","PercentageOnbewoond_39","Koopwoningen_40","HuurwoningenTotaal_41","BouwjaarVoor2000_45","BouwjaarVanaf2000_46","GemiddeldElektriciteitsverbruikTotaal_47","GemiddeldAardgasverbruikTotaal_55","AantalInkomensontvangers_64","GemiddeldInkomenPerInkomensontvanger_65","GemiddeldInkomenPerInwoner_66","k_40PersonenMetLaagsteInkomen_67","k_20PersonenMetHoogsteInkomen_68","Actieven1575Jaar_69","HuishoudensMetEenLaagInkomen_72","PersonenautoSPerHuishouden_91","AfstandTotHuisartsenpraktijk_94","AfstandTotGroteSupermarkt_95","AfstandTotSchool_97","Mannen_6","Vrouwen_7","k_0Tot15Jaar_8","k_15Tot25Jaar_9","k_25Tot45Jaar_10","k_45Tot65Jaar_11","k_65JaarOfOuder_12","Ongehuwd_13","Gehuwd_14","Gescheiden_15","Verweduwd_16","WestersTotaal_17","NietWestersTotaal_18","GeboorteTotaal_24","SterfteTotaal_26","HuishoudensTotaal_28","Eenpersoonshuishoudens_29","HuishoudensZonderKinderen_30","HuishoudensMetKinderen_31","Woningvoorraad_34"
"GM1680    ","6","10","2.2","92","223","92","8","95","5","71","28","90","10","3220","1880","20300","31.7","26","39.6","19.8","56.8","5","1.3","2.5","2.3","1.2","498.4180969706557","501.5819030293443","141.26394052044608","101.16269872656807","173.3370244404018","334.84932373645495","249.38701257612908","393.53792612512854","470.41841335126156","70.9088032903583","65.13485723325161","41.76223997468955","20.881119987344775","6.485802420311635","10.480107569405995","434.66740488808034","122.08336628964645","170.84552716918452","141.7385114292494","440.75773155105594"
"GM0738    ","10","6","2.6","259","245","88","12","94","6","72","28","79","21","3620","1640","9800","31.4","23.8","40.7","20.2","64","4.5","1.4","1.3","1.3","0.7","506.23708578862784","493.76291421137216","193.38792377745466","134.6904415703681","230.04515190939006","274.2787173796587","167.5977653631285","431.5451136450601","476.5439657151603","43.31522155047065","48.595699089308944","38.034744011632355","20.05050891558889","10.331369097727098","6.887579398484733","376.75059309711486","93.90066579934185","115.78786255452667","167.06206474324634","388.0768347746231"
"GM0358    ","7","8","2.4","1559","294","79","21","96","4","63","35","67","33","3230","1400","24400","36.8","29","35","24.9","66.3","3.9","1.3","0.9","0.8","0.7","494.5653906225098","505.4346093774902","186.97606221910561","111.05090364326013","230.16606636279604","289.70771045166225","182.09925732317598","469.1295062633475","420.13833551142704","63.78095814872661","46.9512000764989","111.27402543588435","75.38329136518662","7.936760909061932","8.733624454148472","413.2534344818793","121.21888247856437","121.28263156217129","170.75192044114365","411.7872055589201"
"GM0197    ","8","9","2.3","280","NaN","82","18","96","4","70","29","89","11","2950","1500","21400","27.6","22.4","41.9","13.7","62","4.6","1.2","1.3","1.3","0.8","503.7527267349429","496.2472732650571","164.8611675971457","109.55004251857876","208.56287203756423","305.3573409250564","211.6685769216549","445.29892409509375","440.6773394461493","52.05752948571006","61.966206973046916","80.67438163197397","35.900469553000335","8.09701630495064","9.908677487336858","417.8651976189596","123.48874181979517","144.26738640144933","150.10906939771507","438.9396236181462"
"GM0059    ","9","8","2.4","273","164","88","12","97","3","63","35","90","10","2700","1590","21200","25.8","19.9","46","11.6","57.3","7.2","1.2","1.6","1.6","0.7","508.5505323916395","491.4494676083605","183.27178862080092","117.73563259599183","229.59165381995481","282.90252034560643","186.498404617646","450.4714444484279","429.032373713835","63.13411967160219","57.36206216613487","22.299501667084932","19.072885670239845","9.643996701681425","8.174093858674219","416.1617610153085","122.53970530240562","132.21955329294087","161.402502419962","431.2193023339189"
"GM0482    ","11","9","2.5","2276","198","68","32","96","4","60","40","83","17","2880","1150","15100","31.2","23.7","40.8","20.2","61","5.8","1.1","0.8","0.6","0.5","490.25389844062374","509.74610155937626","197.07117153138745","123.60055977608957","232.60695721711315","253.39864054378248","193.32267093162736","427.2291083566573","455.71771291483407","59.97600959616153","57.07716913234706","67.32307077169132","72.02119152339064","11.795281887245102","9.246301479408237","403.6385445821671","117.6029588164734","124.10035985605758","161.93522590963616","412.4350259896042"
"GM0613    ","9","6","2.4","1155","254","81","19","97","3","67","31","64","36","3140","1280","18800","40.2","31","31.9","31.4","64.4","4.1","1.2","0.8","0.9","0.8","495.91714797849033","504.08285202150967","186.53654650468033","106.31348336984665","234.8536148177654","308.105954989046","164.19040031866163","449.23322047400916","436.566421031667","71.89802828121888","42.30233021310496","76.47878908583948","121.01175064728142","9.121688906592313","6.851224855606453","401.7924716191994","103.92352121091416","123.44154550886277","174.4274048994224","409.7191794463254"
"GM0361    ","10","7","2.1","981","189","64","36","97","3","57","41","88","12","2610","1170","86300","31.5","25.6","37.2","19.9","60.4","7.8","0.9","0.9","0.8","0.6","495.132551465771","504.867448534229","160.15981840495326","110.110451865317","262.2978048037795","285.7446042833547","181.68732064259547","492.6596107886651","367.2962822843328","93.27046404547258","46.77364288152953","94.63611785223257","126.1845662665055","10.048628348389359","7.954010685318299","469.8310464783664","187.97117363180865","130.78903416902733","151.0708386775304","466.1031806815351"
"GM0141    ","9","10","2.2","1077","153","71","29","95","5","53","46","87","13","2870","1350","56500","27","21.5","46.2","13.6","53.9","10.7","1","1","0.8","0.7","498.97211606120396","501.02788393879604","168.71093696105078","118.65505870665986","242.60820375557057","281.4470398322273","188.57876074449152","456.3942659253025","403.5237793015908","83.08613529436113","56.99581947874557","99.97378551028574","151.9612577436223","9.064694601194828","10.237448088411815","441.4658038880227","157.28693828557238","125.45702893251838","158.72183666993197","453.35890395838794"
"GM0034    ","11","4","2.4","1555","187","74","26","98","2","64","36","69","31","3090","440","152000","32.1","24.7","37.1","21.3","61.8","8.3","NaN","0.9","0.7","0.6","496.09783290363043","503.90216709636957","193.51563355465524","130.77734752182525","276.3620255432673","295.60408931184486","103.74090406840737","518.1769314233951","363.2300387230357","90.8050210537842","27.788008799784983","103.71601779866012","304.2694884378391","11.44270682978787","4.6885732203828505","418.1341270394298","131.8723433907045","101.52104880695222","184.7407348417731","401.0770777546612"
"GM0484    ","9","7","2.3","861","219","66","34","97","3","63","37","87","13","2930","1240","85400","33.7","26.9","35.9","22.5","63.2","5.3","1.1","0.8","0.9","0.7","497.30523802965615","502.69476197034385","171.44562273332414","117.17394298306019","245.2095670936051","286.0395721434146","180.13129504659597","460.7170729467934","421.87944727539826","71.74402056649681","45.65945921131157","88.1145847679383","103.98934949272369","9.925171004912087","7.501262452371115","429.44498003029884","137.6578065463894","133.21397420006426","158.5731992838452","428.98590644080247"
"GM1723    ","7","8","2.4","108","296","90","10","94","6","75","24","81","19","3650","1800","8200","33.2","27.3","37.9","20.8","63.1","4.2","1.5","1.7","1.5","1","509.14694770332073","490.85305229667927","154.1061841320342","111.65241598727381","197.75303241201033","323.02644660966394","213.4619208590177","418.6717041161265","473.85166036985487","57.963809902565124","49.51282561145357","115.33107973752237","23.165639292105787","7.953867568104991","8.74925432491549","408.4310996221913","99.02565122290714","154.40445416583813","155.00099423344602","422.9469079339829"
"GM0060    ","9","8","2.2","62","226","81","19","88","12","64","29","90","10","2980","1720","2900","27.4","22.5","41.3","13.4","66.2","4.7","1.1","1","0.5","0.8","495.1830443159923","504.8169556840077","169.28158546655658","88.90723919625654","232.8654004954583","284.06275805119736","224.88301679053123","447.8392513074594","439.3063583815029","53.94990366088632","58.90448665015139","50.92210294522433","16.790531241398295","9.90916597853014","8.808147536471235","453.89485273878336","163.22598403523259","154.69309110927608","135.97577759427472","464.0792733278282"
"GM0307    ","11","7","2.3","2459","234","64","36","97","3","58","42","80","20","2810","1130","118000","35.4","27.5","34.8","24.8","63.6","7.3","1.5","0.8","0.7","0.6","492.0595838975748","507.9404161024252","191.9630419147709","116.89355112513526","271.6652520134511","278.4815047590662","140.99665018757653","503.8390016651872","377.9910196518009","78.63960035506716","39.53037832794469","87.36077544593972","151.4348471202628","11.610955247283542","7.088384509223323","434.9896654723106","156.95523432488645","114.36661332020189","163.66781782722225","427.85592566915255"
"GM0362    ","9","9","2.1","2167","296","49","51","94","6","47","51","87","13","2910","1180","66900","42.7","32.9","33.8","29.8","60.1","5.9","0.9","0.8","0.7","0.7","478.6323829148655","521.3676170851345","174.6365937241024","117.9474544762246","256.9713530584362","260.4878267296795","189.95677201155732","494.6356978072435","380.8990525679217","72.33408739668958","52.13116222814523","189.47521669989024","221.14587766255292","9.05995923578292","9.451922861558447","478.82276524738506","208.79342397025556","112.26958138284768","157.7597598942818","466.42551571214193"
"GM0363    ","12","6","1.8","5111","290","12","88","94","6","30","70","86","14","2160","850","663300","35.7","28.9","40.3","23.4","61.4","13.7","0.5","0.5","0.5","0.5","494.85589036945515","505.14410963054485","150.02597796074784","129.3016011655169","353.8730831637961","245.44853109129923","121.35080661863998","639.9738681834482","243.57622430756012","87.7711856483306","28.67872186066108","174.702081905729","350.40422653728575","12.84932664415638","6.117543467223388","547.1692307328152","302.6260818725908","111.28271950785079","133.2604293523736","506.5820696446049"
"GM0200    ","9","9","2.2","471","209","71","29","96","4","59","41","86","14","2890","1380","125600","31.6","25.4","39.1","19.6","58.9","7.1","1.1","0.9","0.8","0.7","496.6728523496223","503.3271476503777","162.12112691896755","113.29796872168801","232.8753428680325","290.63962461027074","201.06593688104118","450.06779258592786","414.609458471574","80.72628665329559","54.59646228920255","81.18865083381756","86.04972289389991","9.397239560878992","9.522202852911956","444.8630714727549","156.90390947659125","137.9469780751904","150.0121839209732","443.9320949471093"
"GM0003    ","7","12","2.1","503","134","72","28","96","4","48","51","85","15","2460","1400","9400","26.8","21.6","45.8","13.3","52.7","10.2","1","1.4","0.9","0.9","484.6712889482917","515.3287110517083","150.8645894244424","103.16598446245092","211.17701111018295","296.96767187369477","237.82474312922898","423.9411912120959","417.42544482499375","85.54005513323867","73.09330882967171","73.42744967003593","61.64898504719739","7.768774538467964","12.697351933840114","467.7971765098989","172.66727925820734","150.36337816389607","144.7665190877955","492.77420432712387"
"GM0202    ","10","8","2","1590","175","52","48","96","4","43","55","86","14","2540","1110","120600","30","24","42.7","18.1","57.1","13.7","0.8","0.9","0.7","0.6","499.0847725418917","500.9152274581083","163.3343823659754","130.98992286398757","296.1419148485218","263.16161311247987","146.37216680903538","561.4872285628039","308.640389469425","89.12709779767371","40.745284170097435","115.19662939389463","195.05584493156667","10.533144079281177","8.233835798560042","500.8959595116218","237.7921502386014","119.17867166776922","143.92513760525117","472.9638597550402"
"GM0106    ","9","10","2.2","825","165","71","29","97","3","58","40","79","21","2660","1350","52200","29.9","23.8","39.8","17.2","57.9","9","1.1","1.2","0.8","0.7","493.96752083610903","506.03247916389097","172.72875309025773","111.30849284244496","236.36955781557637","291.69072256517296","187.90247368654795","468.5348847537416","391.03788248878624","89.01422628828588","51.41300646918624","79.56951044396087","70.80576157273764","9.252268656274518","10.081271927876715","452.79862622314994","170.89310298885286","130.0054773430445","151.90004589125255","458.8385072019659"
"GM0743    ","9","9","2.3","238","267","86","14","98","2","71","29","83","17","3560","1580","13500","30.3","24.8","41.1","17.5","61.6","5","1.2","1.3","1.1","0.8","514.7780303936819","485.22196960631805","155.7975350005983","119.36101471820031","214.1318655019744","302.7402177815005","207.96936699772647","441.3665190857963","449.3837501495752","55.402656455665905","53.84707430896255","70.65932750987196","33.744166566949865","9.034342467392605","9.094172549958119","425.03290654541104","134.37836544214431","137.72885006581308","152.92569103745362","404.92999880339835"
"GM0744    ","8","10","2.2","87","254","87","13","92","8","69","30","86","14","3530","1710","5400","30","25","41.9","17.2","59.2","5.3","1.4","2.3","2.3","1.7","507.8864353312303","492.1135646687697","138.0501727504882","90.58134294727354","205.49797205948624","301.3369385609133","264.5335736818387","405.738320564819","454.10845726303137","70.60237344149016","69.55084873065945","231.18521856692203","24.785939612438035","8.86285113414451","10.365029292474087","436.2325371789094","135.34625206549498","156.9776175454409","143.90866756797357","416.1033498572931"
"GM0308    ","7","13","2.1","754","290","66","34","92","8","58","37","92","8","2980","1640","18800","38.5","30.8","35.5","24.8","59.8","5.8","1.1","0.9","0.7","0.7","482.6124179542582","517.3875820457417","161.1154144074361","98.82180276407517","210.037098944107","302.6621550002038","227.36352888417792","457.5400546292144","390.10966610950305","89.28207427942435","63.06820498185821","92.54351991520241","79.33466509030127","7.9905418076562436","13.331159036242815","450.32410616005546","172.32663378042318","133.8415752782421","144.1558971013902","476.00799054180766"
