"geo","GeboorteRelatief_25","SterfteRelatief_27","GemiddeldeHuishoudensgrootte_32","Bevolkingsdichtheid_33","GemiddeldeWOZWaardeVanWoningen_35","PercentageEengezinswoning_36","PercentageMeergezinswoning_37","PercentageBewoond_38","PercentageOnbewoond_39","Koopwoningen_40","HuurwoningenTotaal_41","BouwjaarVoor2000_45","BouwjaarVanaf2000_46","GemiddeldElektriciteitsverbruikTotaal_47","GemiddeldAardgasverbruikTotaal_55","AantalInkomensontvangers_64","GemiddeldInkomenPerInkomensontvanger_65","GemiddeldInkomenPerInwoner_66","k_40PersonenMetLaagsteInkomen_67","k_20PersonenMetHoogsteInkomen_68","Actieven1575Jaar_69","HuishoudensMetEenLaagInkomen_72","PersonenautoSPerHuishouden_91","AfstandTotHuisartsenpraktijk_94","AfstandTotGroteSupermarkt_95","AfstandTotSchool_97","Mannen_6","Vrouwen_7","k_0Tot15Jaar_8","k_15Tot25Jaar_9","k_25Tot45Jaar_10","k_45Tot65Jaar_11","k_65JaarOfOuder_12","Ongehuwd_13","Gehuwd_14","Gescheiden_15","Verweduwd_16","WestersTotaal_17","NietWestersTotaal_18","GeboorteTotaal_24","SterfteTotaal_26","HuishoudensTotaal_28","Eenpersoonshuishoudens_29","HuishoudensZonderKinderen_30","HuishoudensMetKinderen_31","Woningvoorraad_34"
"WK168000  ","9","10","2.3","242","226","91","9","96","4","70","26","89","11","3270","1780","2800","33.9","27.4","36.1","22.7","59.8","2.8","1.3","1","0.9","0.8","482.3695345557123","517.6304654442878","156.55853314527502","98.73060648801129","173.48377997179125","325.81100141043726","241.18476727785614","403.38504936530325","458.39210155148095","63.469675599435824","71.93229901269393","33.85049365303244","19.746121297602258","9.873060648801129","9.873060648801129","433.00423131170663","119.88716502115656","163.61071932299012","150.91678420310296","451.05782792665724"
"WK168001  ","4","6","2.2","80","231","97","3","97","3","79","21","95","5","3220","1940","1200","31","25.4","38.7","19","59","6.1","1.3","3.5","0.9","1.1","507.0422535211268","496.4788732394366","147.88732394366198","102.11267605633803","200.70422535211267","338.0281690140845","200.70422535211267","422.53521126760563","450.7042253521127","63.38028169014085","56.33802816901409","35.2112676056338","21.12676056338028","3.5211267605633805","7.042253521126761","443.6619718309859","126.7605633802817","176.05633802816902","140.8450704225352","408.4507042253521"
"WK168002  ","6","2","2.2","57","279","98","2","98","2","78","22","86","14","3460","2060","400","29.8","25.2","47.7","17.3","46.2","11.7","1.3","1.9","2.7","0.5","505.3763440860215","494.6236559139785","107.52688172043011","96.7741935483871","139.78494623655914","365.59139784946234","268.81720430107526","354.83870967741933","473.1182795698925","107.52688172043011","53.763440860215056","53.763440860215056","32.25806451612903","0","0","451.61290322580646","139.78494623655914","182.79569892473117","139.78494623655914","359.13978494623655"
"WK168003  ","2","4","2.4","45","299","97","3","98","2","90","10","95","5","3550","2290","400","33.1","29","37.5","23.8","51.3","3","1.4","4.7","5.5","2.8","500","500","73.17073170731707","146.34146341463415","97.5609756097561","390.2439024390244","268.2926829268293","341.4634146341463","512.1951219512196","97.5609756097561","36.58536585365854","85.36585365853658","0","0","0","414.6341463414634","85.36585365853658","195.1219512195122","134.14634146341464","419.5121951219512"
"WK168004  ","3","3","2.4","24","302","100","0","97","3","82","17","90","10","3570","2170","200","38.7","31.7","38.1","21.4","59.4","3.7","1.5","4.2","3.7","4.3","537.0370370370371","462.962962962963","111.11111111111111","111.11111111111111","111.11111111111111","425.9259259259259","185.1851851851852","425.9259259259259","481.48148148148147","37.03703703703704","37.03703703703704","37.03703703703704","18.51851851851852","0","0","388.8888888888889","92.5925925925926","185.1851851851852","129.62962962962962","407.4074074074074"
"WK168005  ","3","6","2.1","101","345","100","0","94","6","84","14","92","8","3350","2210","500","39.6","32.7","34","28","48.7","3.3","1.4","2.5","1.7","1.2","508.47457627118644","500","110.16949152542372","76.27118644067797","101.69491525423729","372.8813559322034","313.5593220338983","322.03389830508473","525.4237288135594","93.22033898305085","50.847457627118644","67.79661016949153","33.898305084745765","0","8.474576271186441","466.10169491525426","127.11864406779661","237.28813559322035","101.69491525423729","410.1694915254237"
"WK168006  ","2","6","2.5","68","227","96","4","96","4","87","12","85","15","3320","2180","300","35.3","27.6","33.5","28.6","63.6","1.7","1.5","7.1","7.1","0.6","511.3636363636364","488.6363636363636","170.45454545454547","113.63636363636364","159.0909090909091","386.3636363636364","147.72727272727272","454.54545454545456","431.8181818181818","68.18181818181819","45.45454545454545","11.363636363636363","22.727272727272727","0","0","397.72727272727275","90.9090909090909","136.36363636363637","170.45454545454547","411.3636363636364"
"WK168007  ","6","6","2.3","391","206","100","0","98","2","86","14","100","0","3660","1810","100","29.8","25.8","38.4","20","62.8","NaN","1.3","5.1","4.3","3.8","517.2413793103449","517.2413793103449","103.44827586206897","103.44827586206897","137.93103448275863","448.2758620689655","137.93103448275863","344.82758620689657","517.2413793103449","103.44827586206897","34.48275862068966","34.48275862068966","34.48275862068966","0","0","413.7931034482759","68.96551724137932","206.89655172413794","137.93103448275863","441.37931034482756"
"WK168008  ","0","9","2.5","29","NaN","100","0","95","5","93","7","95","5","3240","2260","100","NaN","24.8","NaN","NaN","NaN","NaN","NaN","6","5.2","2.8","571.4285714285714","428.57142857142856","190.47619047619048","47.61904761904762","190.47619047619048","333.3333333333333","142.85714285714286","380.95238095238096","476.1904761904762","95.23809523809524","0","0","47.61904761904762","0","0","380.95238095238096","95.23809523809524","142.85714285714286","190.47619047619048","409.5238095238095"
"WK168009  ","7","7","2.6","65","NaN","100","0","98","2","94","6","98","2","3720","2170","100","35.7","29.3","31.4","29.5","57.8","NaN","1.6","6","5.6","2.3","500","500","115.38461538461539","76.92307692307692","115.38461538461539","461.53846153846155","153.84615384615384","384.61538461538464","500","38.46153846153846","0","38.46153846153846","0","0","0","384.61538461538464","38.46153846153846","192.30769230769232","153.84615384615384","369.2307692307692"
"WK168011  ","4","4","2.3","130","173","90","10","95","5","73","27","88","12","3320","1910","300","31.5","25.3","31.6","20.3","65.9","5.3","1.4","6.5","6.5","4.2","500","500","154.76190476190476","107.14285714285714","190.47619047619048","380.95238095238096","130.95238095238096","404.76190476190476","476.1904761904762","71.42857142857143","35.714285714285715","47.61904761904762","47.61904761904762","0","0","416.6666666666667","130.95238095238096","142.85714285714286","142.85714285714286","442.85714285714283"
"WK168012  ","3","3","2.1","98","158","98","2","98","2","82","18","96","4","3050","1830","200","28.9","23.3","39.9","17.2","56.9","5.1","1.4","4.8","5.1","2.2","574.074074074074","444.44444444444446","129.62962962962962","111.11111111111111","259.25925925925924","333.3333333333333","129.62962962962962","462.962962962963","370.3703703703704","111.11111111111111","37.03703703703704","92.5925925925926","18.51851851851852","0","0","462.962962962963","166.66666666666666","166.66666666666666","148.14814814814815","392.5925925925926"
"WK168013  ","0","0","2.3","21","265","97","3","95","5","88","10","90","10","3560","1920","100","36.5","30","36","27.2","54.4","NaN","1.4","4.6","4.7","3","535.7142857142857","464.2857142857143","71.42857142857143","107.14285714285714","142.85714285714286","357.14285714285717","214.28571428571428","392.85714285714283","500","71.42857142857143","35.714285714285715","71.42857142857143","35.714285714285715","0","0","428.57142857142856","107.14285714285714","178.57142857142858","142.85714285714286","428.57142857142856"
"WK168014  ","5","11","2.1","96","218","89","11","96","4","71","29","89","11","3350","1920","1600","29.5","24.7","42.9","17.4","50.5","5.7","1.2","3.9","1","0.9","494.6236559139785","505.3763440860215","120.96774193548387","86.02150537634408","153.2258064516129","319.89247311827955","311.8279569892473","346.7741935483871","502.68817204301075","75.26881720430107","69.89247311827957","53.763440860215056","18.817204301075268","5.376344086021505","10.75268817204301","470.4301075268817","153.2258064516129","193.5483870967742","126.34408602150538","411.2903225806452"
"WK168015  ","7","6","2.3","317","158","97","3","98","2","60","40","94","6","3070","1770","1500","25.6","20.1","47.5","12.7","53","11.6","1.2","0.7","4.8","0.7","497.32620320855614","502.67379679144386","160.42780748663102","109.62566844919786","197.86096256684493","334.2245989304813","189.83957219251337","403.7433155080214","465.24064171122996","85.56149732620321","42.780748663101605","50.80213903743316","29.41176470588235","8.02139037433155","5.347593582887701","427.80748663101605","112.29946524064171","155.08021390374333","163.10160427807486","416.0427807486631"
"WK168016  ","10","10","2.3","57","181","98","2","97","3","80","20","91","9","3490","1860","600","29.3","24.6","41.5","17.9","59.6","4.6","1.4","3.3","2.1","1.9","526.3157894736842","473.6842105263158","127.81954887218045","97.74436090225564","165.41353383458647","398.49624060150376","187.9699248120301","375.9398496240602","511.2781954887218","67.66917293233082","37.59398496240601","52.63157894736842","7.518796992481203","7.518796992481203","7.518796992481203","428.57142857142856","105.26315789473684","172.93233082706766","150.37593984962405","439.09774436090225"
"WK168017  ","6","14","2.2","206","211","91","9","96","4","64","36","89","11","2990","1810","4100","31.4","25.7","40.6","19.4","56.5","4.5","1.2","0.8","0.8","0.7","486.1932938856016","513.8067061143984","150.88757396449705","94.67455621301775","176.5285996055227","303.7475345167653","271.20315581854044","381.6568047337278","454.6351084812623","75.93688362919133","85.79881656804734","38.46153846153846","23.668639053254438","5.9171597633136095","13.806706114398422","443.7869822485207","133.1360946745562","164.69428007889547","145.95660749506902","458.57988165680473"
"WK168018  ","7","8","2.4","72","196","97","3","95","5","78","22","92","8","3290","2010","1000","29.7","23.9","39.1","17.2","61.3","5.7","1.5","5","6.2","1.3","514.40329218107","485.59670781893004","152.2633744855967","106.99588477366255","209.87654320987653","333.3333333333333","189.30041152263374","423.86831275720164","448.559670781893","74.07407407407408","45.267489711934154","32.92181069958848","20.5761316872428","8.23045267489712","8.23045267489712","419.75308641975306","106.99588477366255","160.49382716049382","156.37860082304528","428.8065843621399"
"WK168019  ","5","14","2.2","132","234","83","17","95","5","67","29","88","12","3150","1810","3600","32.5","27.5","39.1","20.1","55.1","3.6","1.3","1.4","1","1.3","500.5393743257821","500.5393743257821","120.81984897518878","97.0873786407767","152.10355987055016","322.5458468176915","304.2071197411003","388.3495145631068","472.4919093851133","58.25242718446602","79.82740021574973","38.83495145631068","20.496224379719525","5.393743257820928","14.023732470334412","417.4757281553398","120.81984897518878","174.75728155339806","122.97734627831716","461.2729234088457"
"WK168020  ","8","6","2.3","23","268","97","3","77","23","71","28","95","5","3710","2250","900","32.7","27","38.7","20.7","62.1","7.9","1.3","6.8","5.7","2","504.2735042735043","495.7264957264957","136.75213675213675","111.11111111111111","217.94871794871796","333.3333333333333","188.03418803418805","423.0769230769231","474.35897435897436","55.55555555555556","42.73504273504273","38.46153846153846","8.547008547008547","8.547008547008547","4.273504273504273","423.0769230769231","119.65811965811966","162.39316239316238","145.2991452991453","494.017094017094"
"WK168021  ","4","12","2.5","25","304","97","3","96","4","87","13","89","11","3840","2450","400","33.2","27.4","39.7","22.4","60.5","3.7","1.4","5.4","5","1.1","525.2525252525253","484.8484848484849","141.41414141414143","111.11111111111111","151.5151515151515","363.6363636363636","222.22222222222223","414.14141414141415","505.050505050505","40.4040404040404","30.303030303030305","50.505050505050505","20.2020202020202","0","10.1010101010101","383.83838383838383","70.70707070707071","171.7171717171717","151.5151515151515","383.83838383838383"
"WK073800  ","9","8","2.7","505","244","82","18","95","5","70","30","79","21","3620","1590","4600","31.3","23.5","41.2","20.4","63.1","4.2","1.4","0.9","0.8","0.7","501.19904076738607","498.0015987210232","196.64268585131896","139.08872901678657","225.41966426858514","266.98641087130295","171.8625099920064","437.2501998401279","468.4252597921663","42.366107114308555","52.75779376498801","39.168665067945646","23.980815347721823","9.59232613908873","8.792965627498","367.7058353317346","94.32454036770584","108.71302957633893","165.46762589928056","374.90007993605116"
"WK073801  ","12","5","2.6","590","239","89","11","87","13","70","30","70","30","3450","1670","2000","31.2","23.3","43.4","19.9","65.9","6.5","1.4","0.7","0.9","0.7","514.6520146520146","485.34798534798534","208.7912087912088","142.85714285714286","260.0732600732601","249.08424908424908","137.36263736263737","454.2124542124542","459.7069597069597","49.45054945054945","38.46153846153846","40.29304029304029","21.978021978021978","12.820512820512821","5.4945054945054945","377.2893772893773","104.3956043956044","104.3956043956044","172.16117216117217","405.12820512820514"
"WK073802  ","6","5","2.6","266","242","93","7","98","2","73","27","86","14","3640","1660","1300","31.6","24.8","40.5","18.7","63.2","3.8","1.5","0.6","0.6","0.5","505.8139534883721","494.1860465116279","177.32558139534885","133.72093023255815","223.8372093023256","284.8837209302326","183.13953488372093","412.7906976744186","497.09302325581393","40.69767441860465","49.41860465116279","31.976744186046513","2.9069767441860463","5.813953488372093","5.813953488372093","383.72093023255815","90.11627906976744","127.90697674418605","168.6046511627907","386.04651162790697"
"WK073803  ","16","3","2.4","105","237","97","3","94","6","72","28","73","27","3710","1620","600","32.2","24.9","35.5","21.6","64.2","4","1.4","2.3","2.9","0.4","496.8944099378882","496.8944099378882","180.12422360248448","99.37888198757764","254.6583850931677","285.7142857142857","173.91304347826087","403.72670807453414","490.6832298136646","43.47826086956522","55.900621118012424","31.055900621118013","24.84472049689441","12.422360248447205","0","409.9378881987578","93.16770186335404","155.27950310559007","167.70186335403727","431.055900621118"
"WK073804  ","13","5","2.7","127","231","96","4","97","3","77","23","93","7","3430","1690","600","30.7","23.8","35.6","20.1","65.9","2.9","1.6","3.8","3.9","0.4","517.0068027210884","476.1904761904762","183.6734693877551","129.2517006802721","217.68707482993196","292.5170068027211","176.87074829931973","408.16326530612247","510.2040816326531","47.61904761904762","40.816326530612244","20.408163265306122","0","13.605442176870747","6.802721088435374","374.1496598639456","74.82993197278911","129.2517006802721","176.87074829931973","386.3945578231293"
"WK073805  ","5","2","2.5","74","292","100","0","97","3","81","18","89","11","4160","1890","300","31","24.9","39.6","20.8","64.6","3.2","1.4","4","4.5","1.9","518.9873417721519","481.0126582278481","164.55696202531647","88.60759493670886","164.55696202531647","379.746835443038","202.53164556962025","379.746835443038","531.6455696202531","37.9746835443038","37.9746835443038","63.29113924050633","0","0","0","392.40506329113924","88.60759493670886","164.55696202531647","151.8987341772152","405.0632911392405"
"WK073806  ","7","0","2.6","52","306","98","2","95","5","86","13","86","14","4150","2190","300","32.5","25.3","37.7","23.5","65.1","2.5","1.6","4.8","5","0.9","506.0240963855422","493.9759036144578","168.67469879518072","132.53012048192772","180.72289156626505","349.3975903614458","168.67469879518072","421.68674698795184","493.9759036144578","36.144578313253014","48.19277108433735","12.048192771084338","12.048192771084338","0","0","385.5421686746988","84.33734939759036","132.53012048192772","168.67469879518072","397.5903614457831"
"WK035800  ","8","15","2.2","1741","283","73","27","95","5","58","38","80","20","3080","1410","9800","35.3","29","37.5","21.8","62.9","4.3","1.2","0.9","0.6","0.7","485.90110339190846","513.6902329382918","148.34491213731098","107.88720882713527","211.68778095627297","279.5259501430323","253.78013894564774","439.72210870453614","411.52431548835307","75.60277891295463","73.55946056395587","119.3297915815284","69.47282386595832","8.173273395995096","15.529219452390683","446.669391091132","155.29219452390683","141.80629342051492","149.16223947691051","451.1646914589293"
