geo_code,geo_name,population_total,net_migration_per1000,live_births_per1000,deaths_per1000,natural_increase_per1000,divorces_per1000,old_age_dependency_ratio,urbanization_rate_pct,avg_wage_pct_of_national,unemployment_rate_dec_pct,infant_deaths_per1000_livebirths
011200000000,MAŁOPOLSKIE,3429084,1.65,7.75,9.57,-1.82,1.27,28.7,47.8,102.2,4.1,3.3
012400000000,ŚLĄSKIE,4291441,-0.68,5.9,11.95,-6.05,1.72,34.1,75.7,98.9,3.6,3.3
020800000000,LUBUSKIE,969819,-0.77,6.02,10.97,-4.95,1.5699999999999998,32.5,64.0,91.4,4.5,1.9
023000000000,WIELKOPOLSKIE,3479986,0.62,7.31,10.11,-2.8,1.28,29.5,52.9,89.9,2.9,3.2
023200000000,ZACHODNIOPOMORSKIE,1622760,-0.09,5.89,11.54,-5.65,1.7899999999999998,34.2,67.9,93.0,6.8,3.0
030200000000,DOLNOŚLĄSKIE,2868242,1.39,6.33,11.29,-4.96,1.6199999999999999,33.4,67.1,102.7,4.6,4.5
031600000000,OPOLSKIE,930296,-1.2,5.8,11.53,-5.73,1.35,33.0,52.8,92.2,5.9,3.3
040400000000,KUJAWSKO-POMORSKIE,1984479,-0.88,6.08,11.03,-4.94,1.7600000000000002,32.2,57.9,89.3,7.3,3.6
042200000000,POMORSKIE,2359493,2.31,7.47,9.94,-2.47,1.59,29.2,62.1,99.9,4.6,4.5
042800000000,WARMIŃSKO-MAZURSKIE,1349172,-1.79,5.97,10.67,-4.71,1.8399999999999999,31.1,58.7,87.2,8.4,3.6
051000000000,ŁÓDZKIE,2345924,-0.59,6.31,12.76,-6.45,1.56,36.2,61.9,93.8,5.4,3.4
052600000000,ŚWIĘTOKRZYSKIE,1157991,-2.25,5.56,12.25,-6.69,0.75,36.5,45.1,88.8,7.6,4.9
060600000000,LUBELSKIE,1996440,-2.41,6.27,11.18,-4.91,1.5699999999999998,33.7,46.2,90.0,7.4,5.5
061800000000,PODKARPACKIE,2062997,-1.23,6.7,9.82,-3.12,1.1199999999999999,29.9,41.0,87.1,8.7,3.4
062000000000,PODLASKIE,1132641,-1.12,6.66,10.58,-3.92,1.48,31.7,60.7,91.0,7.0,3.3
071400000000,MAZOWIECKIE,5508322,2.5,7.66,10.44,-2.78,1.55,30.2,64.8,116.1,4.0,3.0
