geo_code,geo_name,population_total,net_migration_per1000,live_births_per1000,deaths_per1000,natural_increase_per1000,divorces_per1000,old_age_dependency_ratio,urbanization_rate_pct,avg_wage_pct_of_national,unemployment_rate_dec_pct,infant_deaths_per1000_livebirths
011212001000,Powiat bocheński,106985,1.58,8.47,9.47,-0.99,1.1300000000000001,27.2,29.0,82.3,2.4,4.4
011212006000,Powiat krakowski,304278,8.13,7.13,8.8,-1.67,0.8099999999999999,26.5,14.5,94.0,4.2,2.8
011212008000,Powiat miechowski,46305,-1.25,6.17,13.26,-7.09,1.05,37.6,25.3,84.4,5.2,
011212009000,Powiat myślenicki,129984,2.19,8.88,9.2,-0.32,0.5599999999999999,24.7,23.3,84.1,3.1,0.9
011212014000,Powiat proszowicki,41929,1.5,7.11,11.13,-4.03,0.41,32.2,19.3,86.4,5.4,6.7
011212019000,Powiat wielicki,145276,11.25,8.94,8.72,0.23,0.86,23.6,31.3,92.7,3.4,0.8
011212161000,Powiat m. Kraków,809168,4.05,8.74,9.36,-0.62,2.4699999999999998,30.0,100.0,121.1,2.0,3.0
011212205000,Powiat gorlicki,104592,-2.96,5.99,10.61,-4.61,1.2,29.7,31.1,77.7,6.3,6.4
011212207000,Powiat limanowski,131626,-1.0,9.29,7.86,1.43,0.6599999999999999,23.0,16.8,80.2,7.0,5.7
011212210000,Powiat nowosądecki,214876,-1.42,8.8,7.99,0.81,0.73,22.8,15.7,79.1,7.7,7.9
011212262000,Powiat m. Nowy Sącz,79821,-3.66,7.25,10.24,-2.99,1.3800000000000001,33.1,100.0,84.4,3.5,
011212303000,Powiat chrzanowski,117756,-1.32,5.3,12.26,-6.96,1.3199999999999998,36.2,60.1,92.1,6.3,1.6
011212312000,Powiat olkuski,105000,-1.92,5.94,12.53,-6.59,0.9099999999999999,37.3,46.8,86.8,6.7,3.2
011212313000,Powiat oświęcimski,147678,0.1,6.21,10.97,-4.76,0.86,33.4,51.0,86.8,4.7,
011212318000,Powiat wadowicki,157099,0.06,7.43,10.07,-2.64,0.53,27.8,25.0,81.4,5.6,2.6
011212402000,Powiat brzeski,91340,-1.2,7.04,9.52,-2.48,1.05,27.0,19.8,80.6,5.0,4.7
011212404000,Powiat dąbrowski,57253,-2.09,6.73,9.98,-3.26,0.89,27.1,27.0,83.0,11.3,2.6
011212416000,Powiat tarnowski,197119,0.69,7.25,9.14,-1.9,0.99,26.0,11.5,77.5,6.8,3.5
011212463000,Powiat m. Tarnów,102123,-4.01,5.69,10.84,-5.15,1.69,39.4,100.0,97.9,4.2,1.7
011216911000,Powiat nowotarski,189984,-0.56,8.26,8.25,0.01,0.95,25.8,28.4,79.8,4.8,5.1
011216915000,Powiat suski,82546,-1.37,7.83,10.67,-2.84,0.16999999999999998,27.4,23.8,82.2,4.4,3.1
011216917000,Powiat tatrzański,66346,-0.99,7.64,8.74,-1.1,1.0699999999999998,29.8,37.8,86.0,8.0,2.0
012414402000,Powiat bielski,165708,2.71,6.35,9.55,-3.2,1.75,29.2,25.9,87.8,3.2,3.8
012414403000,Powiat cieszyński,173694,0.01,6.09,12.15,-6.06,1.75,32.3,43.5,87.2,4.8,3.8
012414417000,Powiat żywiecki,148090,-0.13,6.85,11.63,-4.78,1.4300000000000002,29.3,19.9,87.0,5.8,2.0
012414461000,Powiat m. Bielsko-Biała,164318,-2.33,5.94,11.46,-5.52,1.9300000000000002,38.9,100.0,94.9,2.1,1.0
012414507000,Powiat lubliniecki,74419,-0.44,6.42,11.45,-5.04,1.45,29.5,36.6,88.0,5.2,2.1
012414513000,Powiat tarnogórski,138856,3.54,5.63,10.9,-5.27,1.77,32.1,66.4,95.4,4.4,3.8
012414562000,Powiat m. Bytom,146290,-2.99,5.66,13.67,-8.01,1.8800000000000001,33.3,100.0,95.5,8.0,3.6
012414571000,Powiat m. Piekary Śląskie,51373,0.52,5.74,12.3,-6.55,2.23,35.5,100.0,98.2,7.9,6.8
012414604000,Powiat częstochowski,131042,2.42,5.43,12.14,-6.71,1.3699999999999999,32.6,13.6,85.3,6.5,2.8
012414606000,Powiat kłobucki,81495,-0.4,5.97,11.45,-5.48,1.25,31.8,19.9,80.6,7.7,
012414609000,Powiat myszkowski,67049,-0.21,5.6,13.49,-7.89,1.4300000000000002,36.7,53.2,83.1,5.6,2.7
012414664000,Powiat m. Częstochowa,203615,-3.32,5.15,13.5,-8.35,1.83,42.4,100.0,90.7,3.6,1.9
012414705000,Powiat gliwicki,112952,2.8,6.1,10.84,-4.74,1.77,29.8,51.3,92.2,3.2,1.4
012414766000,Powiat m. Gliwice,168248,-2.4,6.46,11.54,-5.08,1.97,37.4,100.0,108.9,2.2,0.9
012414778000,Powiat m. Zabrze,152461,-3.35,6.0,11.8,-5.79,1.8399999999999999,33.7,100.0,96.8,4.1,4.4
012414863000,Powiat m. Chorzów,99420,-3.25,6.09,14.15,-8.06,2.16,32.5,100.0,87.1,3.6,3.3
012414869000,Powiat m. Katowice,278885,0.12,6.34,13.33,-6.99,2.06,37.0,100.0,116.5,1.0,2.3
012414870000,Powiat m. Mysłowice,70741,-1.51,5.88,11.12,-5.23,2.04,30.8,100.0,84.9,4.2,2.4
012414872000,Powiat m. Ruda Śląska,128793,-4.41,5.91,12.58,-6.66,2.05,32.1,100.0,89.6,2.7,3.9
012414874000,Powiat m. Siemianowice Śląskie,62817,0.66,5.79,13.47,-7.68,2.09,36.2,100.0,90.0,3.9,5.5
012414876000,Powiat m. Świętochłowice,45021,-2.28,6.59,12.76,-6.17,1.7,33.8,100.0,85.2,4.8,10.1
012414911000,Powiat raciborski,98665,-1.65,6.05,11.46,-5.41,1.22,31.4,56.4,90.9,3.3,1.7
012414912000,Powiat rybnicki,76250,-1.07,5.94,9.42,-3.48,1.27,27.6,34.4,88.0,5.0,4.4
012414915000,Powiat wodzisławski,149463,-0.22,6.41,11.4,-4.99,1.6,30.9,63.0,83.3,4.2,4.2
012414967000,Powiat m. Jastrzębie-Zdrój,81338,-5.9,5.64,10.92,-5.28,1.8199999999999998,34.4,100.0,150.2,3.4,8.7
012414973000,Powiat m. Rybnik,129817,-2.52,6.21,10.86,-4.66,1.53,32.3,100.0,91.7,2.7,1.2
012414979000,Powiat m. Żory,61923,3.74,6.54,9.56,-3.03,1.75,33.2,100.0,86.8,3.4,7.4
012415001000,Powiat będziński,143640,0.92,4.97,13.02,-8.04,1.47,37.9,72.2,87.9,5.4,8.4
012415016000,Powiat zawierciański,110383,-0.99,4.71,14.48,-9.77,1.17,38.6,63.4,90.2,5.6,5.7
012415065000,Powiat m. Dąbrowa Górnicza,112408,-1.36,4.96,12.76,-7.8,1.53,41.2,100.0,101.7,4.1,3.6
012415068000,Powiat m. Jaworzno,86075,-1.01,5.6,13.09,-7.49,1.3800000000000001,33.7,100.0,106.2,3.8,2.1
012415075000,Powiat m. Sosnowiec,184988,-2.26,4.81,13.78,-8.98,1.48,43.0,100.0,92.7,5.7,5.6
012415108000,Powiat mikołowski,100019,5.29,6.09,10.15,-4.05,1.77,28.5,84.7,89.2,3.0,4.9
012415110000,Powiat pszczyński,110722,1.27,7.06,8.67,-1.62,1.53,25.5,22.3,88.8,2.9,
012415114000,Powiat bieruńsko-lędziński,59400,3.18,6.08,8.94,-2.86,1.7,26.7,74.8,83.6,1.4,5.5
012415177000,Powiat m. Tychy,121063,-2.86,5.98,11.22,-5.24,2.2800000000000002,37.9,100.0,94.4,1.8,2.8
020811301000,Powiat gorzowski,74079,8.04,6.15,9.9,-3.75,1.77,25.3,32.1,95.3,3.6,
020811303000,Powiat międzyrzecki,54439,-1.98,5.88,12.15,-6.27,1.52,33.3,51.1,89.3,7.3,
020811305000,Powiat słubicki,45679,0.85,5.71,9.95,-4.24,1.31,27.4,63.4,86.7,2.4,
020811306000,Powiat strzelecko-drezdenecki,46204,-3.34,5.96,11.41,-5.45,0.95,33.0,47.5,86.4,10.1,3.6
020811307000,Powiat sulęciński,33191,-0.72,5.64,12.71,-7.07,1.41,29.9,42.1,79.7,4.5,5.3
020811361000,Powiat m. Gorzów Wielkopolski,114700,-5.1,6.0,11.55,-5.55,1.81,37.7,100.0,88.6,2.4,4.4
020811402000,Powiat krośnieński,52187,-2.86,5.62,11.38,-5.76,1.35,31.7,49.2,87.9,5.7,
020811404000,Powiat nowosolski,81809,-0.41,6.35,11.42,-5.06,1.46,34.2,64.3,88.7,6.1,3.8
020811408000,Powiat świebodziński,53609,-2.32,7.22,10.1,-2.88,1.34,31.6,47.6,90.6,2.3,2.6
020811409000,Powiat zielonogórski,74754,0.99,6.31,10.44,-4.13,1.55,30.0,41.9,91.5,6.6,4.2
020811410000,Powiat żagański,72933,-4.12,4.94,11.27,-6.32,1.48,34.0,59.1,83.0,5.3,2.8
020811411000,Powiat żarski,90364,-2.81,5.67,11.86,-6.19,1.64,32.4,59.9,93.1,5.3,
020811412000,Powiat wschowski,37002,-2.91,5.74,10.61,-4.87,1.27,31.3,49.1,82.8,7.7,
020811462000,Powiat m. Zielona Góra,138869,2.76,6.42,9.92,-3.5,1.97,34.9,100.0,100.6,2.9,
023015706000,Powiat jarociński,69540,-0.03,8.01,11.19,-3.17,1.16,29.7,42.8,81.0,4.6,1.8
023015707000,Powiat kaliski,81950,0.01,7.32,10.05,-2.73,1.23,28.5,8.1,79.8,3.5,3.3
023015708000,Powiat kępiński,55762,-1.6,8.24,9.5,-1.25,0.95,27.6,26.4,72.2,1.5,2.2
023015712000,Powiat krotoszyński,74463,-2.56,6.91,10.08,-3.17,0.99,29.8,59.4,71.1,2.7,3.9
023015717000,Powiat ostrowski,157734,-0.95,7.13,10.17,-3.04,1.34,30.9,50.8,81.3,2.9,5.3
023015718000,Powiat ostrzeszowski,54319,-0.37,7.65,10.74,-3.08,1.25,29.1,31.3,83.0,3.6,2.4
023015720000,Powiat pleszewski,60871,-2.7,7.74,10.31,-2.57,1.1099999999999999,30.1,34.5,84.3,3.5,
023015761000,Powiat m. Kalisz,91963,-3.56,5.27,13.44,-8.17,1.52,40.5,100.0,88.8,3.7,
