geocod,geoname,population_2021,sex_ratio_males_per_1000_females,pct_female_per_1000,pop_growth_2015_2021_per_1000,age_0_4_per_1000,age_5_9_per_1000,age_10_14_per_1000,age_15_19_per_1000,age_20_24_per_1000,age_25_29_per_1000,age_30_34_per_1000,age_35_39_per_1000,age_40_44_per_1000,age_45_49_per_1000,age_50_54_per_1000,age_55_59_per_1000,age_60_64_per_1000,age_65_69_per_1000,age_70_74_per_1000,age_75_79_per_1000,age_80_84_per_1000,age_85_plus_per_1000,aging_index_65plus_per_1000_of_0to14,youth_dependency_ratio_per_1000,old_age_dependency_ratio_per_1000,total_dependency_ratio_per_1000
111,Alto Minho,230770,887.55,529.787,-19.744,34.138,38.229,43.32,46.991,50.717,49.625,50.006,58.305,67.613,74.1,69.333,69.467,70.984,67.912,64.501,55.128,43.489,46.141,2395.887,190.543,456.52,647.063
112,Cávado,417412,924.817,519.53,24.284,41.237,43.966,50.149,54.905,59.596,58.805,59.356,65.885,76.347,81.612,74.586,71.979,64.665,57.516,49.598,35.95,26.269,27.577,1454.795,202.704,294.893,497.598
119,Ave,419104,933.529,517.189,3.659,39.143,40.145,45.819,51.553,58.849,57.093,57.115,63.254,72.843,79.169,77.534,76.401,70.278,64.953,52.882,38.117,27.924,26.926,1684.969,188.389,317.43,505.819
11A,Área Metropolitana do Porto,1763077,908.379,524.005,15.51,38.766,41.197,46.945,50.049,55.185,55.438,58.026,63.512,72.088,78.832,74.427,74.302,68.807,63.16,57.321,42.916,30.146,28.882,1752.659,195.043,341.843,536.886
11B,Alto Tâmega,81869,906.946,524.399,-70.874,28.619,31.941,36.106,42.336,42.861,38.183,40.846,46.232,57.604,63.101,63.858,75.071,82.253,84.073,78.687,69.611,55.528,63.089,3630.907,175.011,635.449,810.46
11C,Tâmega e Sousa,404148,926.891,518.971,-31.262,38.407,40.992,49.989,56.645,63.892,59.637,56.662,61.198,69.71,79.199,78.983,78.254,70.719,58.973,48.101,35.348,27.29,26.0,1512.602,191.715,289.989,481.704
11D,Douro,180409,900.282,526.238,-61.494,31.251,35.37,40.896,46.744,50.363,44.798,43.945,51.721,63.301,69.553,70.911,78.472,80.373,74.492,66.904,56.677,44.837,49.393,2718.668,179.141,487.024,666.165
11E,Terras de Trás-os-Montes,106574,910.031,523.552,-45.01,29.904,31.349,35.984,41.183,56.965,47.498,43.059,49.027,59.133,62.811,64.143,69.266,76.585,79.785,72.794,65.204,54.572,60.737,3425.552,170.691,584.711,755.403
150,Algarve,507930,997.978,500.506,124.538,42.411,44.998,48.816,48.093,49.591,55.291,59.993,66.976,73.863,78.066,69.903,67.809,66.113,64.286,58.335,42.728,31.083,31.644,1674.259,214.293,358.782,573.074
16B,Oeste,372933,945.328,514.052,39.355,39.702,43.949,49.481,52.154,53.363,51.253,52.339,61.507,73.683,78.698,72.557,68.913,65.4,62.665,57.737,47.598,35.827,33.172,1780.197,211.363,376.268,587.631
16D,Região de Aveiro,372746,927.621,518.774,20.33,39.839,42.702,46.799,48.948,54.302,54.147,54.724,62.97,72.325,77.028,73.712,71.386,67.826,62.316,57.16,44.945,34.23,34.64,1803.696,202.928,366.02,568.948
16E,Região de Coimbra,442547,896.251,527.356,-9.326,34.527,37.928,42.181,45.878,51.739,48.079,48.323,56.975,69.24,74.776,71.26,72.844,71.446,67.679,64.554,53.667,43.467,45.439,2397.185,187.757,450.087,637.844
16F,Região de Leiria,293854,938.619,515.831,20.387,38.182,41.589,46.336,50.188,54.694,52.516,53.724,59.223,71.621,75.667,71.651,70.535,68.027,62.861,57.692,48.129,38.42,38.945,1951.102,200.856,391.891,592.748
16G,Viseu Dão Lafões,251826,903.447,525.363,-24.883,34.996,39.468,44.773,49.363,52.167,47.422,47.577,56.622,69.361,71.982,67.209,67.872,69.306,68.809,65.363,56.646,43.907,47.156,2364.039,199.1,470.679,669.779
16H,Beira Baixa,81046,913.448,522.617,-36.199,31.229,35.19,39.533,40.619,48.108,43.864,44.851,51.946,62.199,66.394,66.752,70.293,74.797,71.86,69.59,61.533,52.069,69.171,3060.091,185.938,568.988,754.926
16I,Médio Tejo,228572,908.998,523.835,-31.762,33.941,38.666,43.737,48.278,51.721,45.859,45.666,53.979,63.534,69.628,70.678,75.123,73.299,68.565,62.742,53.384,46.519,54.683,2457.301,194.632,478.27,672.902
16J,Beiras e Serra da Estrela,207765,900.434,526.195,-65.591,29.832,32.787,37.668,42.813,48.622,42.967,44.252,50.904,61.589,64.799,67.562,73.381,79.003,77.328,70.705,62.089,51.881,61.82,3228.979,174.141,562.298,736.44
170,Área Metropolitana de Lisboa,3015668,917.765,521.44,65.83,45.017,47.417,51.428,51.527,55.451,61.047,64.213,67.4,75.802,79.171,67.944,62.237,57.128,54.398,53.491,43.91,31.352,31.066,1489.052,224.111,333.713,557.825
181,Alentejo Litoral,104910,1140.103,467.267,100.424,35.183,37.432,41.483,41.14,52.054,68.287,70.432,74.092,76.894,71.395,59.108,62.415,67.687,60.947,56.744,44.686,39.072,40.949,2124.478,177.307,376.685,553.992
184,Baixo Alentejo,118514,1001.858,499.536,-15.321,40.62,42.594,45.176,47.395,51.319,50.247,53.209,57.757,67.131,68.701,68.659,71.916,70.641,65.798,60.086,49.302,42.889,46.56,2061.186,211.524,435.991,647.515
185,Lezíria do Tejo,241065,935.643,516.624,6.337,38.521,43.105,49.389,51.841,53.164,48.647,49.742,59.001,70.894,77.485,71.18,69.019,65.775,61.884,59.785,50.634,40.097,39.84,1925.276,212.428,408.983,621.412
186,Alto Alentejo,106510,913.514,522.599,-45.524,36.804,39.461,43.207,47.104,48.493,44.033,44.24,53.76,62.567,70.472,69.308,73.402,74.378,67.318,62.511,55.065,47.704,60.173,2450.53,203.268,498.115,701.383
187,Alentejo Central,155713,930.51,517.998,-21.184,37.993,40.35,44.267,47.446,50.766,46.098,49.052,57.779,69.179,74.843,71.028,72.146,70.071,64.709,59.218,49.366,44.075,51.614,2193.798,201.526,442.108,643.634
200,Região Autónoma dos Açores,241026,957.953,510.737,-2.595,44.85,47.634,55.214,56.811,60.558,61.076,65.823,72.158,81.103,79.083,71.391,70.851,64.694,52.803,42.605,31.341,21.483,20.521,1142.56,216.075,246.879,462.954
300,Região Autónoma da Madeira,253129,888.247,529.592,-5.469,38.846,40.872,49.591,56.781,57.263,52.262,52.412,63.023,74.089,82.946,77.905,81.298,70.727,59.898,50.393,38.388,27.456,25.848,1562.019,193.373,302.052,495.424
