geocod,geoname,population_2021,sex_ratio_males_per_1000_females,pct_female_per_1000,pop_growth_2015_2021_per_1000,age_0_4_per_1000,age_5_9_per_1000,age_10_14_per_1000,age_15_19_per_1000,age_20_24_per_1000,age_25_29_per_1000,age_30_34_per_1000,age_35_39_per_1000,age_40_44_per_1000,age_45_49_per_1000,age_50_54_per_1000,age_55_59_per_1000,age_60_64_per_1000,age_65_69_per_1000,age_70_74_per_1000,age_75_79_per_1000,age_80_84_per_1000,age_85_plus_per_1000,aging_index_65plus_per_1000_of_0to14,youth_dependency_ratio_per_1000,old_age_dependency_ratio_per_1000,total_dependency_ratio_per_1000
1111601,Arcos de Valdevez,19879,828.627,546.858,-66.889,28.673,32.949,37.98,43.262,46.632,42.356,44.117,52.216,59.611,65.144,57.548,63.132,73.696,74.652,78.324,71.684,61.824,66.201,3540.909,181.852,643.92,825.771
1111602,Caminha,16172,886.608,530.052,4.285,34.257,37.843,40.688,42.172,46.005,47.551,49.406,60.228,66.226,71.976,67.153,71.42,74.573,74.264,68.637,58.867,42.666,46.067,2575.658,189.016,486.839,675.855
1111603,Melgaço,7287,788.66,559.078,-140.38,21.682,26.211,34.308,33.896,37.19,36.503,33.347,41.581,53.52,57.362,59.146,66.969,82.338,81.927,89.886,85.906,75.065,83.162,5060.1,163.795,828.821,992.617
1111604,Monção,17324,855.017,539.079,-52.194,29.15,33.422,39.945,40.984,41.445,43.523,44.851,53.914,66.901,64.015,65.112,67.883,75.444,78.966,75.964,66.093,55.588,56.8,3252.252,181.744,591.077,772.82
1111605,Paredes de Coura,8531,915.357,522.096,-29.796,33.29,34.463,44.661,46.302,42.668,40.206,51.108,61.54,62.83,73.379,68.339,68.573,69.394,70.097,68.222,61.306,48.177,55.445,2697.602,192.377,518.957,711.334
1111606,Ponte da Barca,10892,862.836,536.816,-50.227,30.573,36.357,41.039,44.804,50.679,48.935,49.027,54.994,64.818,73.816,68.215,71.888,67.297,68.582,66.746,58.575,51.047,52.607,2755.952,181.622,500.541,682.162
1111607,Ponte de Lima,40906,893.796,528.04,-27.46,35.643,39.676,45.886,54.662,56.887,53.831,51.288,59.82,69.183,78.815,74.928,71.554,64.954,59.087,56.08,48.501,37.941,41.265,2003.832,190.597,381.924,572.521
1111608,Valença,13788,899.435,526.472,10.332,35.248,42.936,45.257,44.749,51.422,55.846,57.006,64.694,68.465,75.573,68.175,64.041,66.29,63.534,66.072,49.898,41.05,39.745,2108.696,200.306,422.384,622.69
1111609,Viana do Castelo,86869,905.356,524.836,5.871,36.745,40.797,44.619,48.245,53.379,50.789,51.583,59.837,70.75,77.162,71.89,71.441,72.673,67.228,59.285,49.166,36.204,38.207,2047.211,194.601,398.39,592.991
1111610,Vila Nova de Cerveira,9122,961.299,509.866,22.073,37.053,36.834,47.906,45.823,49.879,61.5,55.799,59.746,69.722,78.382,69.612,62.815,65.117,59.636,63.911,51.524,41.329,43.412,2133.213,196.951,420.138,617.089
1120301,Amares,18383,952.315,512.212,-1.358,40.581,40.744,50.373,56.574,60.382,56.628,56.139,65.876,72.567,80.292,71.37,67.998,66.529,59.457,51.406,40.962,31.061,31.061,1624.535,201.264,326.96,528.223
1120302,Barcelos,115765,926.431,519.095,-13.465,38.12,40.401,49.022,54.948,63.413,59.854,56.58,60.597,73.191,84.24,77.718,74.669,65.503,59.897,51.622,36.764,26.778,26.683,1581.781,190.16,300.792,490.952
1120303,Braga,195527,921.66,520.383,60.002,43.063,46.203,50.914,54.611,58.222,59.823,62.733,69.418,78.311,81.365,74.327,71.867,64.283,56.146,47.175,32.814,23.475,25.25,1318.727,207.686,273.882,481.568
1120306,Esposende,35625,923.908,519.775,40.571,42.442,46.625,51.425,53.109,56.561,55.719,57.488,68.042,81.488,81.46,72.898,71.579,63.775,56.982,51.649,37.193,25.853,25.712,1404.995,212.184,298.118,510.302
1120310,Terras de Bouro,6351,934.511,516.926,-53.784,29.287,32.436,38.577,52.118,50.228,47.394,45.347,50.071,61.093,69.91,73.059,78.098,82.507,69.28,67.234,51.33,48.339,53.692,2890.11,164.472,475.342,639.814
