geo,employment_rate_per1000,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
RS110,548.28,559.0,320.0,238.0,43.4,1117.0,153.0,206.0,42.0
RS121,398.53,618.0,405.0,213.0,48.3,1049.0,132.0,251.0,46.0
RS122,410.48,605.0,373.0,231.0,45.9,1038.0,144.0,233.0,41.0
RS123,469.69,547.0,305.0,242.0,42.5,1079.0,157.0,197.0,37.0
RS124,429.17,620.0,396.0,224.0,47.6,1056.0,138.0,244.0,46.0
RS125,430.64,603.0,370.0,233.0,46.0,1071.0,145.0,231.0,46.0
RS126,418.91,616.0,385.0,231.0,47.1,1040.0,143.0,238.0,42.0
RS127,483.78,604.0,373.0,231.0,46.2,1020.0,144.0,232.0,40.0
RS211,618.92,625.0,401.0,223.0,47.8,1015.0,137.0,247.0,47.0
RS212,558.71,614.0,395.0,219.0,47.4,1017.0,136.0,245.0,47.0
RS213,531.99,597.0,375.0,222.0,46.9,1024.0,139.0,235.0,37.0
RS214,597.06,634.0,408.0,226.0,47.4,1036.0,138.0,250.0,49.0
RS215,462.51,658.0,452.0,206.0,48.7,1055.0,124.0,273.0,54.0
RS216,516.47,653.0,442.0,211.0,48.5,1033.0,128.0,267.0,51.0
RS217,414.64,568.0,295.0,272.0,41.4,1010.0,174.0,188.0,35.0
RS218,471.2,618.0,389.0,228.0,45.8,1054.0,141.0,241.0,42.0
RS221,494.89,693.0,493.0,200.0,50.9,1042.0,118.0,291.0,57.0
RS222,515.91,672.0,466.0,206.0,49.2,1029.0,123.0,279.0,52.0
RS223,496.72,725.0,532.0,192.0,51.7,1047.0,111.0,309.0,69.0
RS224,518.76,575.0,362.0,213.0,46.5,1000.0,135.0,230.0,45.0
RS225,463.99,584.0,366.0,219.0,45.4,1044.0,138.0,231.0,50.0
RS226,451.44,660.0,462.0,198.0,50.2,982.0,119.0,278.0,60.0
RS227,431.34,606.0,379.0,227.0,46.0,1022.0,141.0,236.0,39.0
RS228,425.82,512.0,287.0,225.0,43.3,992.0,149.0,190.0,34.0
RS229,581.11,623.0,383.0,240.0,46.6,976.0,148.0,236.0,46.0
