geo_name,avg_net_income_per_person,avg_household_net_income,avg_income_per_consumption_unit,median_income_per_consumption_unit,avg_gross_income_per_person,avg_household_income
Andalucía,12522.0,32378.0,18675.0,16450.0,14920.0,38577.0
Aragón,15457.0,37669.0,22611.0,20650.0,18991.0,46283.0
"Asturias, Principado de",15784.0,35265.0,22436.0,20650.0,19146.0,42776.0
"Balears, Illes",16118.0,44812.0,24556.0,21350.0,20267.0,56349.0
Canarias,13595.0,36370.0,20427.0,17850.0,16260.0,43499.0
Cantabria,15043.0,36412.0,21915.0,19950.0,18314.0,44330.0
Castilla y León,15102.0,34252.0,21587.0,19250.0,18200.0,41278.0
Castilla - La Mancha,12896.0,32764.0,19123.0,17150.0,15388.0,39097.0
Cataluña,16461.0,42671.0,24507.0,21350.0,20758.0,53807.0
Comunitat Valenciana,13612.0,34468.0,20118.0,17850.0,16533.0,41865.0
Extremadura,12326.0,28993.0,17903.0,15750.0,14438.0,33963.0
Galicia,14643.0,35262.0,21399.0,19250.0,17652.0,42508.0
"Madrid, Comunidad de",18142.0,48806.0,27444.0,22050.0,23159.0,62303.0
"Murcia, Región de",12446.0,34951.0,18972.0,16450.0,14872.0,41763.0
"Navarra, Comunidad Foral de",16423.0,42714.0,24406.0,22387.0,20588.0,53547.0
País Vasco,18885.0,44728.0,27333.0,24850.0,22726.0,53824.0
"Rioja, La",14827.0,35555.0,21551.0,19250.0,18119.0,43448.0
Ceuta,14625.0,44907.0,22419.0,17150.0,16344.0,50185.0
Melilla,13995.0,45989.0,22055.0,17150.0,15585.0,51216.0
