geo_name,avg_net_income_per_person,avg_household_net_income,avg_income_per_consumption_unit,median_income_per_consumption_unit,avg_gross_income_per_person,avg_household_income
Abengibre,14105.0,34249.0,20666.0,18200.0,16478.0,40010.0
Alatoz,12222.0,25953.0,17008.0,15750.0,13765.0,29229.0
Albacete,14611.0,37457.0,21747.0,19250.0,17923.0,45949.0
Albatana,11108.0,24650.0,15832.0,14350.0,12452.0,27634.0
Alborea,11049.0,23178.0,15150.0,13650.0,12632.0,26500.0
Alcadozo,12015.0,26677.0,16595.0,14350.0,13695.0,30406.0
Alcalá del Júcar,12081.0,23178.0,16317.0,14350.0,13714.0,26309.0
Alcaraz,12494.0,27829.0,17709.0,15750.0,14400.0,32075.0
Almansa,12842.0,31858.0,18974.0,17150.0,15182.0,37661.0
Alpera,10932.0,27312.0,16062.0,14350.0,12357.0,30873.0
Ayna,14531.0,26819.0,19238.0,17150.0,16795.0,30999.0
Balazote,11993.0,30116.0,17728.0,16450.0,13916.0,34944.0
Balsa de Ves,16465.0,29350.0,21387.0,17850.0,19400.0,34583.0
"Ballestero, El",12726.0,27709.0,18030.0,17150.0,14511.0,31596.0
Barrax,11873.0,30275.0,17629.0,15750.0,13851.0,35318.0
Bienservida,12092.0,24096.0,16535.0,15750.0,13573.0,27046.0
Bogarra,11382.0,21033.0,15076.0,13650.0,12567.0,23222.0
Bonete,12805.0,30695.0,18341.0,15750.0,14837.0,35564.0
"Bonillo, El",12164.0,28406.0,17596.0,15750.0,13939.0,32549.0
Carcelén,11936.0,24840.0,16487.0,15050.0,13389.0,27865.0
Casas de Juan Núñez,11376.0,25905.0,16085.0,14350.0,13011.0,29629.0
Casas de Lázaro,15235.0,27162.0,19424.0,17150.0,17368.0,30964.0
Casas de Ves,12694.0,25957.0,17512.0,15050.0,14417.0,29479.0
Casas-Ibáñez,11708.0,29083.0,17191.0,15750.0,13630.0,33857.0
Caudete,11296.0,28614.0,16771.0,15750.0,13182.0,33391.0
Cenizate,10472.0,27868.0,15864.0,14350.0,11822.0,31461.0
Corral-Rubio,13946.0,31596.0,19694.0,17850.0,16104.0,36486.0
Cotillas,11857.0,21945.0,15519.0,12250.0,13340.0,24689.0
Chinchilla de Monte-Aragón,13052.0,31469.0,19139.0,17850.0,15504.0,37381.0
Elche de la Sierra,11528.0,26406.0,16567.0,15050.0,13205.0,30249.0
Férez,12097.0,23830.0,16596.0,14350.0,13671.0,26933.0
Fuensanta,12601.0,23958.0,17191.0,14350.0,14480.0,27530.0
Fuente-Álamo,11010.0,25900.0,15987.0,13650.0,12553.0,29528.0
Fuentealbilla,11482.0,27517.0,16674.0,14350.0,13294.0,31858.0
"Gineta, La",12517.0,31837.0,18751.0,17150.0,14744.0,37502.0
Golosalvo,,,,,,
Hellín,10960.0,28793.0,16342.0,14350.0,12696.0,33351.0
"Herrera, La",13069.0,28455.0,18262.0,15050.0,15557.0,33873.0
Higueruela,12974.0,31547.0,19053.0,17150.0,15167.0,36879.0
Hoya-Gonzalo,14137.0,37552.0,21344.0,19950.0,16623.0,44155.0
Jorquera,11840.0,22529.0,15529.0,14350.0,13756.0,26173.0
Letur,11867.0,24057.0,16547.0,14350.0,13493.0,27353.0
Lezuza,12076.0,27035.0,17142.0,15750.0,13912.0,31145.0
Liétor,12044.0,24654.0,16521.0,15750.0,13620.0,27880.0
Madrigueras,12359.0,31299.0,18534.0,16450.0,14653.0,37110.0
Mahora,11838.0,28647.0,17359.0,15050.0,13671.0,33082.0
Masegoso,18776.0,33976.0,24809.0,20650.0,22525.0,40760.0
Minaya,11143.0,25112.0,16018.0,15050.0,12612.0,28424.0
Molinicos,12877.0,22710.0,16883.0,14700.0,14498.0,25570.0
Montalvos,,,,,,
Montealegre del Castillo,11439.0,28161.0,16749.0,14350.0,13096.0,32239.0
Motilleja,12283.0,27144.0,17171.0,16450.0,14042.0,31031.0
Munera,10859.0,26484.0,15908.0,14350.0,12288.0,29968.0
Navas de Jorquera,11513.0,28221.0,17130.0,16450.0,13045.0,31976.0
Nerpio,11245.0,23888.0,15720.0,14350.0,12633.0,26836.0
Ontur,10790.0,24410.0,15306.0,13650.0,12316.0,27863.0
Ossa de Montiel,11917.0,26537.0,17262.0,15750.0,13881.0,30909.0
Paterna del Madera,12349.0,21290.0,15983.0,13650.0,14013.0,24158.0
Peñascosa,14095.0,26615.0,18648.0,17150.0,16117.0,30432.0
Peñas de San Pedro,15385.0,26382.0,20217.0,17850.0,18726.0,32112.0
Pétrola,13128.0,26418.0,17753.0,15750.0,15030.0,30245.0
Povedilla,11738.0,22537.0,15719.0,14350.0,13017.0,24993.0
Pozohondo,11588.0,25498.0,16355.0,14350.0,13223.0,29095.0
Pozo-Lorente,14160.0,29258.0,19782.0,16450.0,16438.0,33966.0
Pozuelo,14323.0,27009.0,19121.0,17150.0,16715.0,31520.0
"Recueja, La",12041.0,25588.0,16982.0,15050.0,13544.0,28781.0
Riópar,11013.0,25153.0,15828.0,14350.0,12678.0,28957.0
Robledo,13139.0,27714.0,18450.0,17150.0,15062.0,31770.0
"Roda, La",11889.0,31238.0,17721.0,15750.0,13991.0,36760.0
Salobre,12124.0,24082.0,16571.0,15050.0,13721.0,27255.0
San Pedro,13686.0,32442.0,19928.0,17850.0,16022.0,37979.0
Socovos,10325.0,21924.0,14319.0,12950.0,11393.0,24191.0
Tarazona de la Mancha,11188.0,26312.0,16345.0,14350.0,13036.0,30660.0
Tobarra,10638.0,26787.0,15728.0,13650.0,12263.0,30879.0
Valdeganga,12597.0,30336.0,18454.0,16450.0,14654.0,35291.0
Vianos,13003.0,25677.0,17592.0,14350.0,15170.0,29956.0
Villa de Ves,,,,,,
Villalgordo del Júcar,11020.0,26262.0,15880.0,14350.0,12488.0,29762.0
Villamalea,11188.0,28665.0,16694.0,15050.0,12854.0,32935.0
Villapalacios,12927.0,29126.0,18292.0,16450.0,14949.0,33682.0
Villarrobledo,11716.0,31856.0,17726.0,16450.0,13815.0,37562.0
Villatoya,13937.0,23160.0,17627.0,15750.0,16132.0,26808.0
Villavaliente,13041.0,24619.0,17296.0,14350.0,14717.0,27784.0
Villaverde de Guadalimar,10978.0,20989.0,14700.0,12950.0,12258.0,23437.0
Viveros,13283.0,26390.0,18013.0,16450.0,15167.0,30132.0
Yeste,11691.0,24197.0,16186.0,14350.0,13016.0,26937.0
Pozo Cañada,11572.0,30181.0,17440.0,15750.0,13460.0,35105.0
Adsubia,13664.0,30891.0,19182.0,18550.0,16256.0,36750.0
Agost,11888.0,30407.0,17725.0,16450.0,13918.0,35599.0
Agres,14252.0,31440.0,20358.0,18550.0,16764.0,36981.0
Aigües,13957.0,32937.0,20000.0,18550.0,16961.0,40027.0
Albatera,10399.0,29376.0,15904.0,14350.0,12054.0,34051.0
Alcalalí,12670.0,27781.0,17777.0,15750.0,14772.0,32389.0
Alcocer de Planes,15842.0,36765.0,22316.0,19250.0,19478.0,45205.0
Alcoleja,13474.0,30274.0,19862.0,19600.0,15256.0,34280.0
Alcoy/Alcoi,13256.0,31566.0,19276.0,17150.0,15864.0,37777.0
Alfafara,13737.0,32244.0,19939.0,17850.0,16171.0,37959.0
"Alfàs del Pi, l'",12274.0,32799.0,18160.0,16450.0,14761.0,39443.0
Algorfa,10933.0,25840.0,15794.0,14350.0,12631.0,29855.0
Algueña,11462.0,27429.0,16517.0,15750.0,13112.0,31378.0
Alicante/Alacant,13681.0,34936.0,20118.0,17150.0,16858.0,43048.0
Almoradí,10104.0,28217.0,15366.0,13650.0,11823.0,33018.0
Almudaina,15738.0,32049.0,21807.0,18550.0,17816.0,36280.0
"Alqueria d'Asnar, l'",13618.0,34870.0,20254.0,19250.0,16087.0,41192.0
Altea,12822.0,33220.0,18886.0,16450.0,15547.0,40279.0
Aspe,11274.0,29736.0,16962.0,15050.0,13181.0,34766.0
Balones,14789.0,30790.0,20071.0,16450.0,17594.0,36631.0
