geo,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
ES11,602.0,431.0,171.0,50.0,1077.0,107.0,269.0,90.0
ES12,617.0,459.0,158.0,51.6,1095.0,98.0,284.0,85.0
ES13,560.0,382.0,177.0,48.9,1065.0,114.0,245.0,71.0
ES21,570.0,380.0,191.0,48.3,1054.0,121.0,242.0,75.0
ES22,536.0,322.0,214.0,45.6,1018.0,139.0,210.0,64.0
ES23,551.0,349.0,202.0,47.0,1028.0,130.0,225.0,70.0
ES24,547.0,350.0,198.0,46.9,1016.0,128.0,226.0,72.0
ES30,474.0,278.0,196.0,44.2,1088.0,133.0,189.0,58.0
ES41,617.0,441.0,176.0,50.6,1030.0,109.0,273.0,93.0
ES42,508.0,303.0,206.0,45.4,992.0,136.0,201.0,63.0
ES43,543.0,354.0,189.0,47.7,1024.0,123.0,229.0,72.0
ES51,493.0,294.0,198.0,44.6,1028.0,133.0,197.0,59.0
ES52,505.0,307.0,198.0,45.6,1031.0,132.0,204.0,57.0
ES53,432.0,241.0,191.0,43.1,1007.0,133.0,168.0,45.0
ES61,489.0,285.0,204.0,44.9,1032.0,137.0,191.0,52.0
ES62,479.0,252.0,227.0,42.8,996.0,153.0,170.0,47.0
ES63,442.0,197.0,244.0,39.2,983.0,170.0,137.0,31.0
ES64,476.0,187.0,289.0,36.7,989.0,196.0,127.0,28.0
ES70,416.0,258.0,158.0,45.7,1026.0,112.0,182.0,47.0
