"region_code","region_name","population","young_0_17_rate","working_18_64_rate","elderly_65_plus_rate","male_rate","female_rate","single_rate","married_rate","widowed_rate","divorced_rate","growth_per1000"
"0114","Upplands Väsby","50323","225.920553226159","610.098761997496","163.980684776345","504.640025435685","495.359974564315","527.532142360352","331.478647934344","31.8542217276394","109.134987977664","4.23265703555034"
"0115","Vallentuna","35119","237.222016572226","596.514707138586","166.263276289188","506.221703351462","493.778296648538","532.332925197187","341.581480110481","31.4359748284404","94.6496198638913","1.22440843987585"
"0117","Österåker","49787","228.875007532087","584.690782734449","186.434209733465","505.754514230622","494.245485769378","515.536184144455","355.494406170285","33.1210958683994","95.8483138168598","10.1432100749192"
"0120","Värmdö","46635","224.123512383403","583.596011579286","192.280476037311","502.669668703763","497.330331296237","529.044708909617","341.932025302884","32.250455666345","96.7728101211536","-0.0428862442371609"
"0123","Järfälla","88950","219.550309162451","621.697582911748","158.752107925801","507.937043282743","492.062956717257","531.736930860034","333.479482855537","31.2759977515458","103.507588532884","29.4547498594716"
"0125","Ekerö","28910","254.479418886199","556.727775856105","188.792805257696","504.66966447596","495.33033552404","513.593912141128","374.991352473193","33.2065029401591","78.2082324455206","3.52819093739191"
"0126","Huddinge","114304","234.934910414334","619.077197648376","145.98789193729","506.211506159015","493.788493840985","542.771906494961","333.785344344905","26.0183370660694","97.4244120940649","3.35946248600224"
"0127","Botkyrka","95905","228.872321568219","621.177206610708","149.950471821073","512.569730462437","487.430269537563","511.036963661957","346.301027058026","28.1632865856837","114.498722694333","3.26364631666754"
"0128","Salem","17507","248.300679728109","576.969212315074","174.730107956817","500.771120123379","499.228879876621","518.135602901696","360.54149768664","35.5857656937225","85.7371337179414","3.19872051179528"
"0136","Haninge","100895","229.079736359582","622.815798602508","148.104465037911","510.758709549532","489.241290450468","554.754943257842","311.056048367114","28.9013330690322","105.287675306011","11.3385202438178"
"0138","Tyresö","49179","229.935541592956","593.078346448687","176.986111958356","498.668130706196","501.331869293804","536.631489050204","326.602818276093","34.384595050733","102.381097622969","0.12200329408894"
"0139","Upplands-Bro","32868","244.614822928076","604.60021905805","150.784958013874","512.169891687964","487.830108312036","536.874771814531","339.114031885116","27.5648046732384","96.4463916271145","12.6262626262626"
"0140","Nykvarn","12342","242.343218279047","588.802463134014","168.854318586939","510.046994004213","489.953005995787","540.75514503322","347.755631178091","29.1686922702965","82.3205315183925","19.040674120888"
"0160","Täby","77744","226.216814159292","584.019345544351","189.763840296357","498.096316114427","501.903683885573","507.190265486726","365.134286890307","34.6521918090142","93.0232558139535","12.9399053303149"
"0162","Danderyd","32425","227.108712413261","563.392444101773","209.498843484965","492.243639167309","507.756360832691","487.833461835004","388.157286044719","40.2467232074017","83.7625289128759","0.185042405551272"
"0163","Sollentuna","77624","230.341131608781","608.16242399258","161.49644439864","505.938884880965","494.061115119035","515.678140781202","357.41523240235","28.7797588374729","98.1268679789756","10.7440997629599"
"0180","Stockholm","995574","189.151183136562","647.245709510292","163.603107353145","494.516731051635","505.483268948365","593.860426246567","273.01837934699","25.3823422467843","107.738852159659","6.66047928129903"
"0181","Södertälje","102911","213.854689974833","620.584777137527","165.560532887641","513.336766720759","486.663233279241","522.83040685641","342.305487265696","35.4772570473516","99.3868488305429","3.80911661532781"
"0182","Nacka","112112","235.799914371343","591.934850863422","172.265234765235","498.332025117739","501.667974882261","540.022477522478","335.03996003996","29.7470386756101","95.1905237619523","13.1921649778793"
"0183","Sundbyberg","56274","194.939048228311","671.802253260831","133.258698510858","502.239044674272","497.760955325728","598.873369584533","268.951913850091","20.8977502932082","111.276966272168","6.432810889576"
"0184","Solna","85789","171.199104780333","672.755248341862","156.045646877805","500.285584398932","499.714415601068","595.915560269965","282.565363857837","25.0964575878026","96.4226182843954","4.23131170662905"
"0186","Lidingö","48377","222.233706100006","560.90704260289","216.859251297104","490.191619984703","509.808380015297","509.394960415073","349.856336688922","38.5513777208177","102.197325175187","1.0955619405916"
"0187","Vaxholm","11822","206.564033158518","547.20013534089","246.235831500592","491.033666046354","508.966333953646","470.563356454069","393.165285061749","40.01015056674","96.2612079174421","0.422940280832346"
"0188","Norrtälje","66585","177.983029210783","536.231884057971","285.785086731246","504.633175640159","495.366824359841","501.929864083502","331.801456784561","52.2039498385522","114.064729293384","12.239993992641"
"0191","Sigtuna","52767","236.587260977505","615.801542630811","147.611196391684","511.683438512707","488.316561487293","528.133113498967","335.266359656604","30.7389087876893","105.86161805674","4.51039475429719"
"0192","Nynäshamn","30579","205.958337421106","567.219333529546","226.822329049348","508.617024755551","491.382975244449","509.042153111613","336.178423100821","41.4663658065993","113.313057980967","8.76418457111089"
"0305","Håbo","22973","228.355025464676","591.172245679711","180.472728855613","509.772341444304","490.227658555696","532.146432768903","339.050189352718","33.4740782657903","95.3292996125887","-0.0435293605536935"
"0319","Älvkarleby","9552","205.192629815745","539.782244556114","255.025125628141","508.898659966499","491.101340033501","512.353433835846","325.690954773869","50.6700167504188","111.285594639866","-2.09380234505863"
"0330","Knivsta","21193","260.935214457604","600.386920209503","138.677865332893","506.063322795263","493.936677204737","558.5334780352","337.8002170528","22.7905440475629","80.8757608644364","22.6018024819516"
"0331","Heby","14345","201.394214011851","539.63053328686","258.97525270129","511.537120948066","488.462879051934","531.40467061694","326.734053677239","47.9609620076682","93.9003136981527","0.139421401185082"
"0360","Tierp","21104","200.388551933283","547.242228961334","252.369219105383","507.67626990144","492.32373009856","524.355572403336","316.195981804397","49.4219105382866","110.02653525398","-4.2172100075815"
"0380","Uppsala","248016","195.426907941423","632.592252112767","171.98083994581","490.387716921489","509.612283078511","588.131410876718","294.206825366105","29.397296948584","88.264466808593","10.833978453003"
"0381","Enköping","48591","218.764791833879","570.476014076681","210.75919408944","506.431232121175","493.568767878825","535.86055030767","327.550369409973","39.1842110678932","97.4048692144636","6.15340289353996"
"0382","Östhammar","22138","190.125575932785","519.60430029813","290.270123769085","514.093414039209","485.906585960791","511.473484506279","329.117354774596","52.9858162435631","106.423344475562","-1.53582076068299"
"0428","Vingåker","8750","191.771428571429","526.514285714286","281.714285714286","513.257142857143","486.742857142857","508.8","343.085714285714","50.5142857142857","97.6","-12.1142857142857"
"0461","Gnesta","11458","214.958980624891","536.568336533426","248.472682841683","501.570954791412","498.429045208588","517.455053237912","324.227613894222","47.9141211380695","110.403211729796","-5.41106650375284"
"0480","Nyköping","58344","207.407788290141","548.745372274784","243.846839435075","495.577951460304","504.422048539696","513.300425065131","328.979843685726","48.8482106129165","108.871520636227","2.46812011517894"
"0481","Oxelösund","12031","195.910564375364","522.317346853961","281.772088770676","510.348266976976","489.651733023024","480.093092843488","340.204471781232","58.5155016208129","121.186933754468","-6.23389576926274"
"0482","Flen","15362","189.363364145294","506.639760447858","303.996875406848","511.001171722432","488.998828277568","473.375862517901","348.327040749902","59.5625569587293","118.734539773467","-19.9192813435751"
"0483","Katrineholm","34154","205.832406160333","549.686713122914","244.480880716754","501.90314458043","498.09685541957","514.873806874744","324.26655735785","49.0718510276981","111.787784739708","-4.97745505650875"
"0484","Eskilstuna","107203","213.977220786732","579.517364252866","206.505414960402","501.581112468868","498.418887531132","535.320839901868","310.56966689365","42.5174668619348","111.592026342546","-2.47194574778691"
"0486","Strängnäs","39313","212.041818228067","553.938900618116","234.019281153817","503.141454480706","496.858545519294","498.817185155038","345.17843970188","43.191819499911","112.812555643171","10.0730038409686"
"0488","Trosa","14927","212.902793595498","530.113217659275","256.983988745227","498.693642392979","501.306357607021","476.586052120319","374.355195283714","45.6220271990353","103.436725396932","2.81369330742949"
"0509","Ödeshög","5237","185.793393164025","520.145121252626","294.061485583349","512.31621157151","487.68378842849","499.713576475081","348.291006301318","55.7571128508688","96.2383043727325","-8.01985869772771"
