geo_code,geo_name,pct_married,pct_single,pct_widowed,pct_divorced,women_per1000,mean_income_ksek,median_income_ksek,unemployment_rate,labour_force_participation_rate,employment_rate,pct_tertiary_edu,pct_basic_edu
01,Stockholm county,31.040060938654197,55.68560635618627,2.9230095576489292,10.3513231475106,499.30315969671375,453.9,371.4,5.2,81.4,77.2,49.70358738255049,13.44280414373476
03,Uppsala county,30.788258251779794,56.59848202553492,3.391662907685972,9.221596814999314,502.43680009413794,357.7,331.3,4.7,79,75.3,45.74839420826302,13.688013717271788
04,Södermanland county,32.7921151945666,51.42699856073117,4.667011560578626,11.113874684123605,498.31532589158394,345.6,326.4,7.3,81.2,75.2,32.645356516727105,18.530704387713442
05,Östergötland county,32.38507681301143,54.27985420556,4.18947350596682,9.145595475461747,493.8130495337033,353.8,326.6,5.7,80.8,76.2,39.742966473498825,15.858652438060528
06,Jönköping county,35.49616360683118,51.760632849471236,4.420162752797905,8.32304079089968,492.2393779610766,355.1,327,4.8,82.9,79,34.4115412052976,17.752628640550853
07,Kronoberg county,33.62461950027293,53.35503636569282,4.339295110424832,8.681049023609425,489.96562593741857,348.2,323.1,5.9,81.6,76.8,36.06179402930351,16.59991820963716
08,Kalmar county,33.36201857504709,51.53520166266156,5.267259855816068,9.835519906475287,495.83522764174836,339.8,321.4,5,81.8,77.8,33.264616145790384,17.01044893920296
09,Gotland county,31.2870052976005,53.73210214692231,4.897410244214463,10.083482311262731,502.9276213281724,337.5,316.2,3.5,81.2,78.4,34.67686874632137,15.385520894643909
10,Blekinge county,33.36916354477398,51.428226150117986,5.146829662326759,10.055780642781272,490.4562309585748,350.1,328.6,6.2,81.6,76.5,36.53705330990041,15.733011130638547
12,Skåne county,32.9230323401646,52.717716183241805,3.9075307323260247,10.451720744267568,501.43284526531085,366.6,329.5,7.3,79.7,73.9,42.454142860239934,15.682974274277628
13,Halland county,35.210998220671506,51.036879046233565,4.350371224722814,9.401751508372119,499.2175591322441,390.7,346.4,4.3,83.5,79.9,38.041214214168065,15.446319680478778
14,Västra Götaland county,32.30467148121553,53.99580668324665,3.8804820114382674,9.819039824099557,495.630974587959,372.8,340,5,81.7,77.6,41.75028612703331,15.376344678903637
17,Värmland county,30.327753154729976,54.71409818479519,4.801964825113627,10.156183835361206,496.54532365976905,346.1,324,4.7,81.1,77.3,35.281801349094636,14.756290141115096
18,Örebro county,30.939927036886907,54.578354276449126,4.235751925415484,10.24596676124848,499.1617349006891,340.5,320.5,5.4,80.9,76.5,36.069789560190955,16.3037757278595
19,Västmanland county,32.29998790715541,52.61098741632818,4.4259811209355595,10.663043555580847,495.7461640785608,356.7,332,6.8,81.6,76.1,35.78210537593812,16.89923113421733
20,Dalarna county,30.477829039665533,54.37695867330202,4.664870561794616,10.480341725237832,493.6275502013638,344,326.5,4.2,82.5,79,31.597791957864885,16.86873290793072
21,Gävleborg county,29.69166215674836,54.88828288081867,4.755796709282467,10.6642582531505,496.4857779433367,338.3,320.6,6.7,82.5,76.9,31.292348955392434,17.413487133984027
22,Västernorrland county,30.661233009467487,54.215639987078504,5.029446114852273,10.093680888601744,494.6988710251887,347.3,329.2,4.6,82.7,78.9,34.065562288922784,15.634997418106492
23,Jämtland county,27.05907150761448,59.403488433366704,4.278863887864256,9.258576171154557,493.35661966741696,349.2,321.3,3.3,83.5,80.7,35.70882710667657,13.931135436511779
24,Västerbotten county,30.912576741671348,56.99691966222994,4.246313198500381,7.844190397598333,490.53489745249664,353.2,329.5,2.9,81.4,79.1,42.05676574207314,11.96050215848757
25,Norrbotten county,31.05663261201834,54.57002654653689,4.9006515968144155,9.47268924463036,486.0912235540182,368.3,348.2,2.8,83.4,81,34.35975678925517,13.10150418585657
