geo_code,geo_name,population,born_switzerland_per1000,born_abroad_per1000,born_switzerland_male_per1000,born_switzerland_female_per1000,born_abroad_male_per1000,born_abroad_female_per1000
ZH,- Zürich,1620020,630.2576511401094,369.7423488598906,316.9886791521092,313.26897198800015,182.2860211602326,187.45632769965803
BE,- Bern / Berne,1071216,778.3920329793431,221.6079670206569,383.37646189003897,395.0155710893041,108.09677973443264,113.51118728622426
LU,- Luzern,437944,750.9498931370221,249.0501068629779,374.56387117987686,376.3860219571452,125.13700381783974,123.9131030451382
UR,- Uri,38275,828.9745264532985,171.0254735467015,420.4572175048988,408.5173089483997,89.84977139124756,81.17570215545396
SZ,- Schwyz,168931,738.2422409149298,261.7577590850703,379.953945693804,358.28829522112574,133.2437504069709,128.51400867809934
OW,- Obwalden,39662,806.9184609954112,193.08153900458876,406.9890575361808,399.9294034592305,98.4821743734557,94.59936463113307
NW,- Nidwalden,45345,786.1065167052597,213.89348329474032,403.04333443599074,383.06318226926896,108.6558606241041,105.23762267063623
GL,- Glarus,42371,728.44634301763,271.55365698237,365.792641193269,362.653701824361,139.5529961530292,132.0006608293408
ZG,- Zug,133739,646.0045312137821,353.99546878621794,328.75227121482885,317.2522599989532,177.90622032466223,176.0892484615557
FR,- Fribourg / Freiburg,346674,726.870200822675,273.1297991773251,363.3413523944686,363.52884842820635,137.43170817540397,135.6980910019211
SO,- Solothurn,289792,738.633226590106,261.366773409894,370.0033127208481,368.62991386925796,130.89043175795052,130.47634165194347
BS,- Basel-Stadt,201384,548.052476860128,451.9475231398721,269.658959996822,278.39351686330593,218.33412783537918,233.6133953044929
BL,- Basel-Landschaft,301323,708.4225233387427,291.57747666125715,352.48885747188234,355.9336658668605,138.25363480384837,153.32384185740884
SH,- Schaffhausen,88667,659.523836376555,340.476163623445,331.12657471212515,328.39726166442983,166.31892361306913,174.15724001037592
AR,- Appenzell Ausserrhoden,56705,785.010140199277,214.98985980072305,397.63689269023894,387.37324750903804,105.96949122652323,109.02036857419981
AI,- Appenzell Innerrhoden,16733,852.7460706388573,147.25392936114264,439.1322536305504,413.61381700830697,74.1050618538218,73.14886750732086
SG,- St. Gallen,540036,709.7286106852135,290.2713893147864,357.192853809746,352.53575687546754,146.01804324156168,144.25334607322475
GR,- Graubünden / Grigioni / Grischun,206138,750.7786046240867,249.22139537591323,376.1363746616345,374.64222996245235,127.41464455849966,121.80675081741357
AG,- Aargau,735808,697.2416717404541,302.758328259546,352.01710228755326,345.22456945290077,152.22585239627728,150.53247586326867
TG,- Thurgau,299509,703.7785175069864,296.2214824930136,356.00265768307463,347.7758598239118,148.94043250787124,147.28104998514235
TI,- Ticino,358903,621.3015773064031,378.69842269359685,302.4549808722691,318.84659643413397,185.1753816490807,193.5230410445162
VD,- Vaud,855106,584.9064326527939,415.0935673472061,288.9583279733741,295.9481046794198,203.2356222503409,211.85794509686517
VS,- Valais / Wallis,371288,702.7428842300317,297.2571157699683,349.20600719656983,353.53687703346185,150.3630604813514,146.89405528861693
NE,- Neuchâtel,179518,671.2307400929155,328.7692599070845,330.44597199166657,340.7847681012489,160.97550106396017,167.79375884312435
GE,- Genève,531102,477.57304623217385,522.4269537678261,237.8601473916498,239.71289884052405,245.91133153330244,276.5156222345237
JU,- Jura,74840,796.1384286477819,203.86157135221805,398.36985569214323,397.7685729556387,97.2474612506681,106.61411010154997
