geo_code,geo_name,population,born_switzerland_per1000,born_abroad_per1000,born_switzerland_male_per1000,born_switzerland_female_per1000,born_abroad_male_per1000,born_abroad_female_per1000
0001,......0001 Aeugst am Albis,1995,754.8872180451128,245.11278195488723,384.4611528822055,370.42606516290726,117.29323308270676,127.81954887218045
0002,......0002 Affoltern am Albis,12882,637.5562800807328,362.4437199192672,319.670858562335,317.8854215183978,182.6579723645397,179.78574755472755
0003,......0003 Bonstetten,5712,734.0686274509803,265.9313725490196,363.6204481792717,370.4481792717087,129.55182072829132,136.37955182072827
0004,......0004 Hausen am Albis,3951,771.4502657555049,228.54973424449506,377.8790179701341,393.57124778537076,106.04910149329284,122.50063275120222
0005,......0005 Hedingen,4002,735.1324337831085,264.86756621689153,372.56371814092955,362.5687156421789,133.93303348325838,130.93453273363318
0006,......0006 Kappel am Albis,1382,763.3863965267727,236.61360347322722,393.63241678726484,369.75397973950794,115.77424023154848,120.83936324167873
0007,......0007 Knonau,2466,746.9586374695864,253.04136253041364,379.1565287915653,367.8021086780211,121.24898621248987,131.79237631792375
0008,......0008 Maschwanden,677,778.4342688330872,221.56573116691285,410.63515509601183,367.79911373707534,98.96602658788774,122.59970457902511
0009,......0009 Mettmenstetten,5763,774.5965642894325,225.40343571056744,384.86899184452545,389.7275724449072,110.01214645150095,115.39128925906645
0010,......0010 Obfelden,5961,724.7106190236537,275.28938097634625,361.51652407314214,363.1940949505116,140.077168260359,135.21221271598725
0011,......0011 Ottenbach,2973,777.665657584931,222.33434241506893,395.5600403632694,382.10561722166165,103.59905819038008,118.73528422468885
0012,......0012 Rifferswil,1180,836.4406779661017,163.5593220338983,409.32203389830505,427.1186440677966,71.1864406779661,92.37288135593221
0013,......0013 Stallikon,3909,669.2248656945511,330.77513430544894,340.2404707086211,328.9843949859299,154.77104118700436,176.00409311844462
0014,......0014 Wettswil am Albis,5337,729.2486415589282,270.7513584410718,368.18437324339516,361.06426831553307,123.85235150833802,146.89900693273376
0022,......0022 Benken (ZH),883,806.3420158550396,193.65798414496035,416.76104190260475,389.58097395243493,93.99773499433749,99.66024915062289
0023,......0023 Berg am Irchel,589,826.8251273344653,173.1748726655348,431.2393887945671,395.58573853989816,78.09847198641766,95.07640067911714
