geo_code,geo_name,population,0_14_per1000,15_64_per1000,65plus_per1000,0_4_per1000,5_9_per1000,10_14_per1000,15_19_per1000,20_29_per1000,30_44_per1000,45_64_per1000,65_74_per1000,75_84_per1000,85plus_per1000,male_per1000,female_per1000,sex_ratio_males_per1000_females,single_per1000,married_per1000,widowed_per1000,divorced_per1000,youth_dependency_ratio_per_1000,old_age_dependency_ratio_per_1000,total_dependency_ratio_per_1000,aging_index_65plus_per_1000_of_0to14
0001,......0001 Aeugst am Albis,1995,141.35338345864662,636.5914786967418,222.05513784461152,36.59147869674185,43.60902255639098,61.152882205513784,48.62155388471178,83.20802005012531,163.40852130325814,341.35338345864665,130.82706766917292,74.18546365914787,17.04260651629073,501.7543859649123,498.2456140350877,1007.0422535211268,425.062656641604,446.61654135338347,32.581453634085214,94.73684210526316,222.0472440944882,348.81889763779526,570.8661417322835,1570.921985815603
0002,......0002 Affoltern am Albis,12882,152.9265641981059,650.0543393882937,197.01909641360038,53.252600527868346,52.47632355224344,47.1976401179941,50.45800341561869,111.78388448998602,229.7003570874088,258.1120943952802,97.42276044092532,70.17543859649122,29.42089737618382,502.32883092687473,497.6711690731253,1009.3589143659336,448.222325725819,416.00683123738554,47.042384722869116,88.26269212855146,235.25197038452353,303.08096489133027,538.3329352758537,1288.3248730964467
0003,......0003 Bonstetten,5712,164.91596638655463,654.0616246498599,181.02240896358543,47.61904761904761,54.4467787114846,62.85014005602241,67.22689075630252,86.65966386554622,207.2829131652661,292.89215686274514,93.4873949579832,68.62745098039217,18.907563025210084,493.172268907563,506.827731092437,973.0569948186528,441.3515406162465,447.30392156862746,32.913165266106446,78.25630252100841,252.14132762312636,276.7665952890792,528.9079229122055,1097.664543524416
0004,......0004 Hausen am Albis,3951,156.9222981523665,640.5973171349025,202.48038471273094,44.2925841559099,54.16350291065553,58.46621108580106,60.49101493292837,89.59757023538344,169.57732219691218,320.93140976967857,106.04910149329284,74.91774234371046,21.513540875727664,483.928119463427,516.0718805365731,937.7145659637077,425.96810933940776,445.70994684889905,37.205770690964314,91.11617312072893,244.9624654286843,316.0806005531411,561.0430659818254,1290.3225806451612
0005,......0005 Hedingen,4002,152.17391304347828,669.1654172913544,178.6606696651674,39.980009995002504,52.47376311844078,59.72013993003498,53.72313843078461,113.19340329835083,193.65317341329336,308.5957021489255,97.95102448775613,64.46776611694153,16.241879060469767,506.49675162418794,493.5032483758121,1026.3291139240507,439.5302348825587,440.279860069965,29.23538230884558,90.95452273863069,227.4085138162808,266.99029126213594,494.39880507841673,1174.055829228243
0006,......0006 Kappel am Albis,1382,197.5397973950796,659.1895803183792,143.27062228654125,46.30969609261939,75.25325615050652,75.97684515195368,56.43994211287988,81.04196816208393,198.98697539797394,322.72069464544137,79.59479015918957,49.204052098408106,14.47178002894356,509.4066570188133,490.59334298118665,1038.3480825958702,489.8697539797395,410.27496382054994,26.772793053545588,73.08248914616499,299.6706915477497,217.34357848518113,517.0142700329309,725.2747252747253
0007,......0007 Knonau,2466,190.59205190592053,649.6350364963504,159.7729115977291,46.228710462287104,75.02027575020276,69.34306569343066,62.4493106244931,90.8353609083536,208.02919708029196,288.3211678832117,85.1581508515815,59.205190592051906,15.409570154095702,500.4055150040552,499.5944849959448,1001.6233766233767,457.8264395782644,441.6058394160584,35.685320356853204,64.882400648824,293.3832709113608,245.9425717852684,539.3258426966293,838.2978723404256
0008,......0008 Maschwanden,677,168.38995568685377,654.357459379616,177.25258493353027,38.40472673559823,62.0384047267356,67.94682422451994,50.22156573116691,78.28655834564253,175.7754800590842,350.07385524372233,91.5805022156573,66.46971935007386,19.202363367799116,509.60118168389954,490.39881831610046,1039.1566265060242,463.8109305760709,407.68094534711963,38.40472673559823,90.10339734121123,257.3363431151242,270.88036117381495,528.2167042889391,1052.6315789473683
0009,......0009 Mettmenstetten,5763,188.26999826479266,625.021690091966,186.70831164324136,53.61790733992712,74.61391636300537,60.03817456186014,52.22974145410377,91.44542772861357,203.7133437445775,277.63317716467117,97.1716120076349,70.79646017699115,18.740239458615303,494.8811382960264,505.11886170397355,979.7320508416352,459.6564289432587,423.0435537046677,34.704147145583896,82.59587020648968,301.2215435868962,298.7229317046086,599.9444752915048,991.7050691244239
0010,......0010 Obfelden,5961,170.1056869652743,649.0521724542862,180.84214058043952,46.804227478610976,65.08975004193927,58.21170944472404,55.359838953195776,109.54537829223285,211.87720181177656,272.26975339708105,91.42761281664151,70.29021976178494,19.124308002013084,501.59369233350105,498.4063076664989,1006.3951531470885,446.56936755577925,438.1815131689314,37.7453447408153,77.16826035900017,262.0832256397002,278.62496769191006,540.7081933316102,1063.1163708086785
0011,......0011 Ottenbach,2973,162.12579885637405,615.2034981500168,222.67070299360913,50.11772620248907,54.49041372351161,57.51765893037336,47.763202152707706,96.1991254624958,181.29835183316516,289.94281870164815,129.8351833165153,75.0084090144635,17.82711066263034,499.1590985536495,500.84090144635053,996.6420416386836,410.6962663975782,461.1503531786075,41.70871173898419,86.10830810628994,263.53198469108804,361.94641880809183,625.4784034991799,1373.4439834024897
0012,......0012 Rifferswil,1180,170.33898305084747,639.8305084745763,189.83050847457628,39.83050847457627,58.47457627118644,72.03389830508475,83.05084745762711,72.03389830508475,167.79661016949152,316.9491525423729,105.9322033898305,69.49152542372882,14.40677966101695,480.50847457627117,519.4915254237288,924.9592169657423,433.89830508474574,444.06779661016947,33.898305084745765,88.13559322033898,266.2251655629139,296.68874172185434,562.9139072847682,1114.4278606965174
0013,......0013 Stallikon,3909,176.51573292402148,643.1312356101304,180.35303146584806,49.8848810437452,66.76899462778205,59.86185725249425,42.46610386288053,77.25761064210795,209.00486057815297,314.402660526989,99.7697620874904,62.675876183167055,17.907393195190586,495.01151189562546,504.9884881043745,980.2431610942249,432.59145561524684,451.26630851880276,35.81478639038117,79.81580966999233,274.4630071599045,280.4295942720764,554.8926014319809,1021.7391304347827
0014,......0014 Wettswil am Albis,5337,175.75416900880646,619.6364999063144,204.60933108487913,44.03222784335769,61.083005433764285,70.63893573168447,55.461869964399476,76.44744238336145,197.67659733932922,290.0505902192243,91.62450815064643,84.12966085816001,28.855162076072702,492.0367247517332,507.96327524826677,968.6462559940982,412.21660108675286,463.55630504028477,40.28480419711448,83.94228967584786,283.6407620199577,330.20864832174175,613.8494103416994,1164.1791044776119
0022,......0022 Benken (ZH),883,163.08040770101925,655.7191392978482,181.2004530011325,46.4326160815402,61.15515288788222,55.49263873159683,46.4326160815402,89.46772366930918,190.26047565118913,329.55832389580974,105.32276330690826,55.49263873159683,20.385050962627407,510.75877689694227,489.24122310305773,1043.9814814814813,437.14609286523216,424.6885617214043,46.4326160815402,91.73272933182334,248.70466321243524,276.33851468048357,525.0431778929188,1111.111111111111
0023,......0023 Berg am Irchel,589,118.84550084889644,602.7164685908319,278.43803056027167,39.04923599320883,35.65365025466893,44.14261460101868,42.444821731748725,73.00509337860781,166.383701188455,320.88285229202035,149.4057724957555,106.96095076400678,22.07130730050934,509.3378607809847,490.66213921901533,1038.0622837370242,387.09677419354836,490.66213921901533,35.65365025466893,84.88964346349745,197.18309859154928,461.97183098591546,659.1549295774648,2342.857142857143
0024,......0024 Buch am Irchel,1066,175.422138836773,655.7223264540337,168.85553470919322,51.594746716697934,58.16135084427768,65.66604127579738,59.09943714821764,79.73733583489681,235.4596622889306,281.42589118198873,104.12757973733584,55.347091932457786,9.380863039399626,484.9906191369606,515.0093808630394,941.7122040072859,427.7673545966229,451.219512195122,25.328330206378986,95.68480300187618,267.52503576537913,257.5107296137339,525.0357653791131,962.566844919786
0025,......0025 Dachsen,1926,129.2834890965732,644.8598130841121,225.85669781931463,33.74870197300104,44.13291796469367,51.401869158878505,57.113187954309446,90.8618899273105,172.89719626168224,323.98753894080994,112.14953271028037,86.18899273104881,27.51817237798546,497.9231568016615,502.07684319833857,991.7269906928645,399.2731048805815,469.88577362409137,42.57528556593977,88.26583592938734,200.4830917874396,350.24154589371983,550.7246376811594,1746.987951807229
0026,......0026 Dorf,728,140.1098901098901,695.054945054945,164.83516483516485,48.07692307692308,49.450549450549445,42.582417582417584,45.32967032967033,107.14285714285714,196.42857142857142,346.15384615384613,89.28571428571429,60.43956043956044,15.10989010989011,498.6263736263736,501.3736263736264,994.5205479452055,412.08791208791206,473.90109890109886,48.07692307692308,65.93406593406594,201.5810276679842,237.15415019762844,438.7351778656127,1176.4705882352941
0027,......0027 Feuerthalen,3848,157.22453222453223,651.2474012474012,191.52806652806652,46.51767151767152,57.95218295218296,52.75467775467776,48.33679833679834,96.41372141372142,224.7920997920998,281.7047817047817,96.41372141372142,61.850311850311854,33.264033264033266,490.12474012474013,509.8752598752598,961.2640163098879,441.5280665280665,419.95841995842,46.77754677754678,91.73596673596674,241.42059058260176,294.09417398244216,535.5147645650438,1218.1818181818182
