geo,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
TR10,383.0,115.0,268.0,34.5,1008.0,194.0,83.0,15.0
TR21,441.0,185.0,256.0,37.7,970.0,178.0,128.0,22.0
TR22,488.0,259.0,230.0,42.1,1015.0,154.0,174.0,33.0
TR31,433.0,191.0,242.0,39.0,1020.0,169.0,133.0,24.0
TR32,463.0,208.0,255.0,39.5,1000.0,174.0,142.0,27.0
TR33,470.0,198.0,271.0,37.9,1005.0,184.0,135.0,24.0
TR41,440.0,165.0,275.0,36.7,1004.0,191.0,114.0,20.0
TR42,442.0,151.0,291.0,35.1,992.0,202.0,105.0,18.0
TR51,406.0,146.0,260.0,35.9,1030.0,185.0,104.0,19.0
TR52,484.0,163.0,322.0,33.6,1013.0,217.0,110.0,20.0
TR61,428.0,161.0,267.0,36.9,993.0,187.0,113.0,20.0
TR62,478.0,154.0,324.0,34.7,997.0,219.0,104.0,17.0
TR63,513.0,141.0,372.0,31.9,972.0,246.0,93.0,16.0
TR71,475.0,183.0,293.0,35.4,1007.0,198.0,124.0,22.0
TR72,478.0,182.0,296.0,35.4,1001.0,200.0,123.0,22.0
TR81,445.0,229.0,216.0,41.0,1008.0,150.0,158.0,27.0
TR82,537.0,304.0,233.0,42.4,1010.0,152.0,198.0,40.0
TR83,486.0,225.0,261.0,39.2,1014.0,176.0,151.0,28.0
TR90,494.0,244.0,251.0,40.3,1005.0,168.0,163.0,34.0
TRA1,483.0,164.0,319.0,32.0,992.0,215.0,111.0,22.0
TRA2,544.0,123.0,421.0,27.3,932.0,273.0,80.0,15.0
TRB1,473.0,170.0,303.0,34.7,999.0,206.0,115.0,23.0
TRB2,538.0,82.0,456.0,25.6,949.0,296.0,54.0,9.0
TRC1,549.0,105.0,444.0,27.6,981.0,286.0,68.0,12.0
TRC2,641.0,80.0,562.0,23.6,980.0,342.0,49.0,9.0
TRC3,580.0,82.0,499.0,24.7,965.0,316.0,52.0,11.0
