"geo","n_transactions","median_price","detached_share_pct","semi_share_pct","terraced_share_pct","flat_share_pct","newbuild_share_pct"
"AMBER VALLEY","2426","226000","36.56224237427865","29.30750206100577","26.58697444352844","1.9373454245671888","18.920032976092333"
"NORTH TYNESIDE","3761","185000","13.693166710981123","28.848710449348577","31.53416644509439","20.606221749534697","9.093326243020472"
"ROTHER","1798","360000","37.152391546162406","18.74304783092325","12.847608453837598","23.526140155728587","4.171301446051168"
"GEDLING","2255","246200","40.04434589800444","32.63858093126386","16.496674057649667","7.982261640798226","14.634146341463415"
"EPPING FOREST","1997","505000","19.629444166249375","26.339509263895845","23.685528292438658","23.43515272909364","6.0590886329494245"
"HAVERING","3730","429000","9.115281501340483","35.951742627345844","30.3485254691689","20.857908847184987","1.769436997319035"
"WARWICK","2803","352500","26.864074206207636","27.827327863003923","22.226186229040312","18.301819479129502","15.804495183731715"
"BLACKPOOL","2814","125000","7.782515991471215","36.7093105899076","40.36958066808813","8.173418621179815","0.7107320540156361"
"CARDIFF","5345","260000","13.751169317118803","24.059869036482695","35.397567820392894","22.15154349859682","6.304957904583723"
"KINGSTON UPON THAMES","2291","525000","8.598865124399826","25.665648188563946","21.868179834133567","38.716717590571804","2.007856831078132"
"LICHFIELD","1974","300000","34.4984802431611","30.851063829787233","19.300911854103344","10.233029381965553","16.31205673758865"
"CRAWLEY","1401","340000","12.919343326195575","20.69950035688794","39.0435403283369","24.197002141327623","6.423982869379015"
"MERTHYR TYDFIL","746","130000","18.096514745308312","19.839142091152816","54.55764075067024","1.742627345844504","3.0831099195710454"
"ISLES OF SCILLY","26","351000","19.23076923076923","3.8461538461538463","19.23076923076923","30.76923076923077","0"
"MIDDLESBROUGH","2543","130000","18.993314982304366","35.23397561934723","37.12151002752654","4.758159653952025","12.033031852143138"
"TRAFFORD","3596","342745","13.459399332591769","37.37486095661846","23.692992213570633","20.745272525027808","5.923248053392658"
"STOCKPORT","4985","282000","18.67602808425276","37.512537612838514","24.834503510531594","13.70110330992979","5.857572718154463"
"CITY OF NOTTINGHAM","3825","185100","13.38562091503268","29.281045751633986","36.31372549019608","14.457516339869281","3.0326797385620914"
"ISLE OF ANGLESEY","968","224950","39.87603305785124","19.421487603305785","25.723140495867767","3.71900826446281","2.6859504132231407"
"CAMDEN","2824","792500","1.4164305949008498","2.868271954674221","10.871104815864022","74.6813031161473","8.427762039660056"
"CHESTERFIELD","1837","185000","25.748502994011975","42.133913990201414","18.94393032117583","7.621121393576483","13.282525857376157"
"WALTHAM FOREST","3316","500000","1.0253317249698433","7.720144752714114","43.12424607961399","42.882991556091675","4.734620024125452"
"ARUN","3145","340000","32.24165341812401","23.434022257551668","20.031796502384736","19.87281399046105","11.796502384737678"
"CITY OF LONDON","340","922500","0","0","1.1764705882352942","75","27.647058823529413"
"ENFIELD","3196","446750","4.9123904881101375","17.146433041301627","39.48685857321652","32.66583229036296","4.005006257822278"
"NORTHUMBERLAND","6571","195000","29.812813879166033","26.875665804291586","28.74752701263126","7.852686044742049","14.472683001065286"
"RICHMOND UPON THAMES","2987","688620","6.160026782725143","17.408771342484098","30.766655507197857","39.671911617007034","0.5691329092735186"
"KING'S LYNN AND WEST NORFOLK","2576","260000","43.32298136645963","25.65993788819876","17.46894409937888","5.318322981366459","5.046583850931677"
"SWANSEA","3609","188000","21.640343585480743","31.532280410085896","32.05874203380438","8.534220005541702","4.183984483236354"
"WOKINGHAM","2889","480000","36.033229491173415","26.65282104534441","17.583939079266184","16.683973693319487","14.57251644167532"
"KENSINGTON AND CHELSEA","2356","1200000","0.8488964346349746","1.061120543293718","15.365025466893039","72.02886247877758","2.67402376910017"
