"name","B01002_001E","B19013_001E","B19301_001E","B25064_001E","B25077_001E","B01001_002E","B01001_026E","B17001_002E","B15003_017E","B15003_022E","B15003_002E","B23025_002E","B23025_005E","B23025_004E","B25002_002E","B25002_003E","B25003_002E","B25003_003E","B08301_010E","B08301_021E","B11003_010E","B18101_004E","B27010_017E","B16001_002E","B02001_002E","B02001_003E","B02001_005E","B25024_002E","B25024_010E"
"Alabama","39.3","59609","33344","925","179400","486.46584032273074","513.5341596772693","152.92023296312001","172.0288729800489","113.8109644771814","9.038219666625034","466.39679624000513","23.871878239300315","439.4641148173104","384.4698943456086","72.34752267858265","268.0523745388907","116.41751980671793","1.3885982993151278","28.918723046435904","7.135310968852599","0.15393513086077185","7.8528793824774885","891.1845686196673","662.0825553709041","263.78614392894957","13.883596401975144","315.3239837298124","57.427151293174425"
"Alaska","35.3","86370","42828","1345","318000","526.1812060352113","473.8187939647887","102.37459190741691","155.2582193486577","127.57392616705293","5.273393112064026","521.3215191182614","31.34777040939222","461.5573044319637","359.7828586825907","84.1184451723617","238.4226906961015","121.36016798648923","5.178131817136419","38.48692402639554","10.870674626881922","0.22182272961714486","22.33060840667319","787.195793261216","613.036372123279","31.83768564044849","64.59260146348566","280.79083205297616","18.052015388781758"
"Arizona","38.4","72581","38334","1308","321400","500.3302993384811","499.6697006615189","127.8360220638285","132.97985215862957","133.63208529725964","11.169806206727511","486.5996624226432","25.941255516723967","457.4818725755624","381.90578674960074","50.002495718935755","253.10661237246387","128.79917437713686","5.592780651959864","64.51558932010761","10.783876038337588","0.26351445746277125","20.59163317895197","694.4319813415033","666.691856232089","45.60291968441843","33.5516645887599","276.13512686757156","42.006993032343125"
"Arkansas","38.4","56335","31868","868","162400","494.1323477333885","505.8676522666115","157.59561581610967","190.1089519917553","105.1579355007124","9.066578680868952","462.8115901412179","23.719394209832213","437.10754640538596","388.1492141072771","66.2593348260442","257.05236314415396","131.09685096312316","1.2402817268140363","29.148939482931052","8.770752937801396","0.27628070517171643","13.203832550041094","866.9443387135191","726.5944030299446","151.2895252841567","15.706591216194953","318.2236939525334","51.307380835725944"
"California","37.3","91905","45591","1856","659300","500.78501164647804","499.21498835352196","119.04816594650731","122.91971278457848","150.8099480578667","22.38359264423125","512.465918882621","32.57576003966246","475.90579595988464","338.3419761264987","28.168946804287334","188.21377746130563","150.12819866519308","16.840386436624925","63.54394225607291","8.56787043758193","0.2242345939526941","7.943951972481829","528.7533288355982","481.3398196122258","55.96557525104619","151.16171051890706","210.07386808409694","13.127086969787456"
"Colorado","37.3","87598","47346","1594","465900","507.31147728473917","492.68852271526083","93.59290495755347","114.53076615160143","187.77637030631854","8.828080730714513","555.4547990829678","24.863666846307005","523.6270943839578","394.75427107900305","38.47844056013128","261.2375428667479","133.51672821225517","11.082191519705274","85.93433481377767","8.99287619199451","0.19321444724205872","11.552837653076962","792.3622242361964","761.3184676621398","40.499134433933655","32.13268893860286","268.3409030652649","16.115644478485613"
"Connecticut","40.9","90213","52034","1374","323700","489.903267976752","510.096732023248","98.49370742031232","158.03320506064685","158.92180055087937","10.50835470826848","541.4481752778834","31.858183593409276","507.4395296785079","390.3858343092008","33.6511582893443","258.2404147849663","132.1454195242345","17.56229098691696","62.76546755657285","7.954715689594683","0.1866355127506115","6.172540377928606","734.9692646754633","698.4061493355471","106.72200751138712","47.3359165091295","248.90946986930254","3.1171453516819487"
"Delaware","41.4","79325","42180","1286","305200","486.00240530979687","513.9975946902032","108.4804782440232","185.99586367227403","140.1047668409426","6.788206937154992","508.96757863803106","27.489973682489044","477.49425090702323","391.49184559722636","62.95671951974317","281.7161231236822","109.7757224735441","7.9797913720833105","54.90446693202232","9.807424255385529","0.16505054672993605","8.46689176609117","814.4640637658698","638.3068229279363","219.66416239363548","40.8298822002043","267.29030277717675","33.33417200481062"
"District of Columbia","34.8","101722","71297","1817","705000","478.38237245875627","521.6176275412437","146.1987780854684","91.36622093777541","186.1950798330418","9.109929062150027","597.8791715318072","42.14814781676352","550.8576814045008","470.9083236030522","51.57720027378998","195.14992089020515","275.7584027128471","134.99217849436388","136.94718209568632","5.533957562553405","0.5085097086582352","5.009044314906194","773.4820388704225","396.12011565986217","443.04616701486907","40.36314452859957","60.050373777004324","0.5413167866361859"
"Florida","42.4","67917","38850","1444","292200","492.12007342521764","507.87992657478236","125.9853172675957","169.69659935744383","145.79656437170414","12.306392249167985","491.3299938260731","24.58551327833391","463.3212491013786","386.11614794109914","72.22325015719085","258.1948513877977","127.92129655330143","5.932091241736763","54.60377713792614","8.434017676095468","0.1945501101503065","15.556890561379912","664.9022495474711","638.2117216418254","155.10890022149314","28.195205913657745","250.51379671819987","38.071085346947"
"Georgia","37.2","71355","37836","1221","245900","489.11742555835605","510.88257444164395","132.02108684450434","150.3243932635879","136.5924834399256","10.827688957385641","504.22608902453527","26.17445376818927","472.790929206119","368.0628968064296","44.79345664303218","239.3022968432686","128.76059996316098","6.935809164523553","57.3010051458056","7.821624507744356","0.2444432527460229","18.019132977222757","804.4729104928268","542.7944965294374","314.66570916289146","43.41287920297137","275.14750765342404","33.39853996218171"
"Hawaii","39.9","94814","42683","1868","764800","504.66396753318827","495.33603246681173","93.71434637929833","168.54257132792264","156.6556757289625","8.59926553972214","524.1918972224386","24.757529527660832","465.37716748162296","333.5927681789949","53.05913666793282","205.9963228729847","127.59644530601018","21.022495000306773","38.81526745342754","6.904781437057637","0.17716941187338384","6.28158630735515","699.3676361808892","229.76597782004413","19.760938487745324","371.55252107936843","206.7291286504999","1.069220847531589"
"Idaho","36.9","70214","34919","1061","331600","503.599302953602","496.400697046398","107.21484011997137","140.02898427222996","131.8002339668272","7.229348436364853","492.35347004949546","18.420707736168694","471.0958201486536","364.2304740444062","45.06423300895471","262.2709883830994","101.95948566130686","2.9356418635581836","50.37406107192188","9.216286636869786","0.21465836150949055","15.911146539928342","838.5370007912156","849.3885742423989","6.893337986062308","13.476553967431256","301.12199444584974","31.210139209722836"
"Illinois","38.7","78433","43198","1179","239100","494.842460600453","505.157539399547","115.05997115139061","148.88967656541956","150.8382353655858","10.964493886562352","524.9925652358423","31.17717595598055","492.2893226126412","389.47354971932884","35.946790760731965","259.67267911902786","129.80087060030095","34.03671872072831","58.52009863270885","8.043262567338113","0.1829492835427008","7.9151823919701725","722.623254437304","657.5403401602523","139.1014195892436","57.85328219950502","248.4158112703343","9.844380235394745"
"Indiana","38","67173","35578","967","183600","496.2556027405801","503.7443972594199","119.49496514284307","185.46775596909558","120.25420659710221","8.260417313063508","507.95994872356493","22.787856204886413","484.4514690533567","391.1318357709588","40.993142653819355","274.24166872162516","116.8901670493336","3.5014134626141753","38.96083413676929","10.079884700245549","0.23878298503199177","15.293165809873027","852.9263370704836","799.8090620501171","94.44486125013505","24.89518974624591","314.88503852144396","19.37149075607684"
"Iowa","38.4","70571","37949","914","181600","501.2973385900059","498.7026614099941","107.60697633870164","178.2010739969067","135.9053899291152","6.398886615680455","531.6127891180355","20.28796714537844","510.35362119594737","404.5799156808315","39.802924954434786","289.34821358012766","115.23170210070383","3.8597155827392817","46.54425627407618","10.024974630241255","0.23644991463969925","7.134578259904241","858.2730501035487","868.536042618686","37.82540086727571","24.755114405381775","322.2965997624211","15.080110736331376"
"Kansas","37.1","69747","38108","986","189300","502.37983161678","497.62016838322","112.35652718294287","141.45982079905392","142.1233261646597","8.663717905312199","522.3943279147062","20.65313724274691","494.8598770675788","391.2348488822251","44.2494725677317","261.54475493558755","129.69009394663755","2.15741426373044","46.898384902596185","9.160665712508711","0.32051260217403593","13.097418800635712","827.7399740183834","797.5256154625362","55.717079677184884","30.14828050608974","314.2075981582617","17.963351887413904"
"Kentucky","39.1","60183","33515","902","177000","496.1299685649471","503.8700314350529","156.5108090612012","179.0552162089837","106.18274525392883","8.114485330123575","476.9196090993985","24.108276046622926","449.7946339443052","392.87753431928286","51.10000477466364","267.61812018161487","125.25941413766799","3.2438842665950096","35.20903588437319","9.841803179481827","0.259830532752527","9.800052632338685","885.2108680227452","847.6686872006813","79.98871846917622","15.364867580811183","300.8901971714004","48.52768250041362"
"Louisiana","37.6","57852","32981","996","198300","490.3192426063657","509.6807573936343","181.45235495995513","184.07165880911427","111.94393935541206","9.398894009454922","469.81001804529035","30.630878349228734","435.1209965379074","380.4000649923522","67.90300106927073","255.49428881860024","124.90577617375197","4.32858547248535","26.796415766592983","9.632702703518078","0.22044819725954662","10.29598672225208","866.24030879125","594.4804770817917","315.6055343487598","17.317574268200335","294.7133807099423","56.021425065067774"
"Maine","44.8","68251","39718","1009","244800","493.23712881753454","506.76287118246546","106.43484138764504","191.6274857364832","157.0892549758623","4.712684964837752","522.5747266357414","21.04101908703251","499.9235523783257","424.42841686119965","118.24215826632889","311.8177781321761","112.61063872902353","2.1939370086228527","60.483602533818015","8.792573826821629","0.18435215944413436","9.483162868548863","897.1885564128581","922.7001153664108","15.929635999587402","11.025283313422813","379.8488458603796","44.936570420696015"
"Maryland","39.1","98461","49865","1598","380500","487.34806767020893","512.6519323297911","90.65134061064572","143.72299753948053","154.65130036205875","11.039635607470462","540.7524246122057","27.421784255564244","508.2054372270541","376.2145782004889","34.560390489193985","253.83485452975935","122.37972367072956","27.879449639523592","73.81298721279671","8.240411301608466","0.10776234572659817","8.89088040051239","755.450883983935","511.9112284956101","298.9311241186898","64.87423046892687","211.48100680541936","5.271753428067904"
"Massachusetts","39.8","96505","53513","1588","483900","489.58170614980514","510.41829385019486","96.26879508834577","141.8234430404033","176.7302076614303","12.401411470596868","555.9553306353407","29.518606627382788","525.6840255977595","392.45626381241675","36.98617093856781","245.03017881061623","147.4260850018005","38.9339946350372","75.36720356862378","7.555763325961938","0.19715916127891436","3.0670634667796834","716.6304540029968","726.7147799928553","71.41614543101183","69.81467468380438","221.17291803433605","3.358578392243641"
"Michigan","39.9","68505","37929","1037","201100","496.49385792550964","503.50614207449036","128.5716998572568","168.4409730400547","130.4054784283949","8.33432674605418","498.9689221062683","30.04268973677562","468.4311996485158","398.61647352370335","56.79046395373358","288.9732381075572","109.64323541614614","5.0347382923369555","46.87678497375352","9.249724669740397","0.1817473014552411","6.77625127499013","851.2221362645422","757.3220151560148","135.568672690907","32.5664717390403","328.06521347701977","23.381770447391663"
"Minnesota","38.5","84313","44947","1178","286800","501.811671815949","498.188328184051","90.65101490845421","140.58401219814542","169.54231670650074","9.64919796912959","547.2507818738706","21.684050615841997","524.8461360716886","396.138775676471","41.75905291598745","286.49997225778765","109.63880341868337","12.65571633552766","70.30894991863455","9.531556942119913","0.23668672299857496","7.739550491879959","827.1972710091072","796.6613476534653","67.08734161479342","50.24255121598682","291.4398418904597","13.084491541434575"
"Mississippi","38.1","52985","29209","896","151000","485.9962296111389","514.0037703888611","185.47906852874397","158.41682872309002","96.70391767601288","9.632471578446461","454.34503857247046","28.902822248944354","421.0763250267165","378.9548357704321","68.85218088403384","262.08359610469756","116.87123966573455","1.0906279002016326","18.79516541246148","7.314000120317178","0.2805147682576248","13.970649368030644","902.2284363566066","569.4868877934167","372.3870725276003","9.814975162614074","309.96476328947165","64.99391992689041"
"Missouri","38.8","65920","36754","957","199400","493.82704013471937","506.17295986528063","124.55791949268347","176.73162483820576","130.73477899305573","6.553011801920635","504.9237767575899","21.554745514688463","480.1198227875827","399.4402723765124","54.70960554866078","270.0260073163654","129.414265060147","4.626917036238334","47.09865524333561","9.432242377919486","0.20456835751594546","14.683425998412199","882.2240333860759","793.602551141277","112.74689970885974","20.642718357629686","319.29838415370284","25.229339164587675"
"Montana","40.1","66341","37837","974","305700","507.14024032825324","492.85975967174676","121.19816090269637","160.4209407971864","156.20328985932005","3.08012162954279","512.3726919695193","19.815174384525204","489.1806491793669","406.57697098475967","67.3294621922626","280.6565064478312","125.92046453692849","3.228495017584994","51.28590269636577","10.002381301289565","0.28117672919109027","14.629432883939039","906.9616427315358","864.437097010551","5.51912368112544","8.43621776084408","328.3951861078546","46.11389947245018"
"Nebraska","36.9","71722","38585","987","205600","502.60370537316373","497.39629462683627","101.31300668372012","143.31329357371516","142.98607562563203","11.028418955363081","538.191847729817","16.41551880890625","518.4724996541495","396.3262766221919","36.57285908341199","263.7402185570863","132.58605806510565","2.7366855221117143","45.58181750427144","10.113638045901379","0.2562611699496513","13.613491793261556","824.2528225738524","818.4221152368706","47.75799552717058","24.949219960396928","310.58190173354046","13.50373850334288"
