state_name,state_fips,pop25plus,bachelor_or_higher_pct
Alabama,01,3428520,27.2084
Alaska,02,485871,30.7483
Arizona,04,4878959,31.7989
Arkansas,05,2031847,24.7056
California,06,26842698,35.8644
Colorado,08,3982760,43.7307
Connecticut,09,2520790,41.3849
Delaware,10,700364,34.4617
District of Columbia,11,484596,62.6361
Florida,12,15579847,32.3332
Georgia,13,7158620,33.6337
Hawaii,15,1022529,34.7162
Idaho,16,1212296,30.209
Illinois,17,8746416,36.6716
Indiana,18,4532091,28.2353
Iowa,19,2131202,30.28
Kansas,20,1926520,34.6877
Kentucky,21,3067109,26.4725
Louisiana,22,3121146,26.1304
Maine,23,1005961,34.1228
Maryland,24,4260095,42.2231
Massachusetts,25,4920101,45.9099
Michigan,26,6938439,31.136
Minnesota,27,3874392,38.1954
Mississippi,28,1968322,23.8818
Missouri,29,4199109,31.1932
Montana,30,758200,33.9788
Nebraska,31,1283285,33.4633
Nevada,32,2154487,26.5494
New Hampshire,33,997353,39.0482
New Jersey,34,6427003,42.2525
New Mexico,35,1433908,29.0747
New York,36,14021808,38.7925
North Carolina,37,7172112,33.8658
North Dakota,38,506256,31.4256
Ohio,39,8097704,30.3706
Oklahoma,40,2621275,27.2668
Oregon,41,2999096,35.4827
Pennsylvania,42,9128083,33.7565
Rhode Island,44,771284,36.2804
South Carolina,45,3553321,30.6409
South Dakota,46,588987,30.3676
Tennessee,47,4758712,29.707
Texas,48,18910948,32.2659
Utah,49,1959919,36.1309
Vermont,50,459033,41.7247
Virginia,51,5919142,40.9658
Washington,53,5347314,37.9526
West Virginia,54,1271529,22.7112
Wisconsin,55,4047831,32.0239
Wyoming,56,391802,28.9894
