county_name,state_fips,county_fips,pop25plus,bachelor_or_higher_pct
"Autauga County, Alabama",01,001,40188,29.5586
"Baldwin County, Alabama",01,003,167022,32.5616
"Barbour County, Alabama",01,005,17675,11.8812
"Bibb County, Alabama",01,007,15925,10.9199
"Blount County, Alabama",01,009,40817,14.7414
"Bullock County, Alabama",01,011,7156,9.3767
"Butler County, Alabama",01,013,13266,13.0484
"Calhoun County, Alabama",01,015,78931,19.1534
"Chambers County, Alabama",01,017,24706,12.7337
"Cherokee County, Alabama",01,019,18523,14.5927
"Chilton County, Alabama",01,021,30609,13.973
"Choctaw County, Alabama",01,023,9052,13.0468
"Clarke County, Alabama",01,025,16015,13.7683
"Clay County, Alabama",01,027,10053,12.7624
"Cleburne County, Alabama",01,029,10630,16.4911
"Coffee County, Alabama",01,031,36556,21.6079
"Colbert County, Alabama",01,033,40835,18.0433
"Conecuh County, Alabama",01,035,8382,13.3142
"Coosa County, Alabama",01,037,8049,10.6349
"Covington County, Alabama",01,039,26447,16.3081
"Crenshaw County, Alabama",01,041,9148,17.195
"Cullman County, Alabama",01,043,61520,18.2965
"Dale County, Alabama",01,045,33687,19.1617
"Dallas County, Alabama",01,047,25984,15.6943
"DeKalb County, Alabama",01,049,48385,14.149
"Elmore County, Alabama",01,051,61046,24.1605
"Escambia County, Alabama",01,053,25461,12.5565
"Etowah County, Alabama",01,055,72715,17.7199
"Fayette County, Alabama",01,057,11428,13.0032
"Franklin County, Alabama",01,059,21351,14.8283
"Geneva County, Alabama",01,061,18982,13.9132
"Greene County, Alabama",01,063,5449,16.7187
"Hale County, Alabama",01,065,9980,16.3727
"Henry County, Alabama",01,067,12561,20.9617
"Houston County, Alabama",01,069,73993,22.4602
"Jackson County, Alabama",01,071,37823,16.1886
"Jefferson County, Alabama",01,073,457310,35.5715
"Lamar County, Alabama",01,075,9894,10.2385
"Lauderdale County, Alabama",01,077,64564,25.8255
"Lawrence County, Alabama",01,079,23478,15.7807
"Lee County, Alabama",01,081,107084,40.1629
"Limestone County, Alabama",01,083,73067,29.5304
"Lowndes County, Alabama",01,085,7035,16.3184
"Macon County, Alabama",01,087,11880,20.5556
