"name","B01002_001E","B19013_001E","B19301_001E","B25064_001E","B25077_001E","B01001_002E","B01001_026E","B17001_002E","B15003_017E","B15003_022E","B15003_002E","B23025_002E","B23025_005E","B23025_004E","B25002_002E","B25002_003E","B25003_002E","B25003_003E","B08301_010E","B08301_021E","B11003_010E","B18101_004E","B27010_017E","B16001_002E","B02001_002E","B02001_003E","B02001_005E","B25024_002E","B25024_010E"
"Autauga County, Alabama","39","68315","35332","1199","191800","487.7895202600364","512.2104797399636","112.82993822433247","170.1979203893739","114.46367488640425","4.220486377018771","478.3104440019741","12.797603852895628","449.4647810622692","379.6395568489304","36.57187590408604","286.4484947499192","93.19106209901125","2.5867497149469885","24.557104201766478","6.875308452885418","0","4.67997481322646","NaN","744.4903932880652","195.63996528309593","11.197903371283674","312.6223175235275","64.75383332482429"
"Baldwin County, Alabama","43.7","71039","38907","1160","266000","488.7199040356439","511.2800959643561","100.44126467312141","163.04943877988177","143.4067346414189","5.385142661297232","478.8192956901722","16.38677062805244","459.4893325336304","389.0069402793248","146.99254562591037","302.9217719132894","86.08516836603548","0.4198440579213435","41.273241367492076","7.184474338102991","0","12.363979093479564","NaN","839.679547596607","83.30477251306658","8.765315739868049","345.74158169822636","54.63113700625482"
"Barbour County, Alabama","40.6","39712","23378","627","102700","521.485709691683","478.5142903083169","212.24424166901153","206.45576235076578","46.91080114161675","11.536760863448166","360.49362865297263","20.74205089038067","339.751577762592","362.42312175905454","106.80548297624311","235.47855448808136","126.9445672709732","0.4421755034771074","13.426056196486714","6.230654821722877","0","5.748281545202396","NaN","454.5966153475097","469.0276158700808","5.064919403465048","263.57679784539937","137.0342083048599"
"Bibb County, Alabama","40.3","50669","24966","765","120100","534.6725989843153","465.3274010156847","193.1149161835423","236.43881173879825","47.05406498584333","16.313873533773762","405.73457372702353","35.32425508965889","370.41031863736464","324.30003145926025","82.24349467439666","245.6069390139769","78.69309244528336","0","13.976899914610579","7.954698665228529","0","3.9099366320614806","NaN","758.258055817716","206.8671070963103","3.100984225428071","243.85420879960452","124.26407801896544"
"Blount County, Alabama","40.8","57440","29053","734","159800","505.50975845083536","494.49024154916464","140.10528632124178","190.39558542241483","64.99991536469354","16.690082434788497","447.8731147485485","26.71090272017875","420.7390354960475","366.06462752001624","51.64446400460416","290.197538805288","75.86708871472824","0","16.893207170303164","7.177073988184911","0.10156236775733365","5.941398513804018","NaN","913.0626131997224","12.339827682516038","1.692706129288894","289.7912893342587","99.88658868933764"
"Bullock County, Alabama","39.2","36136","22115","619","87700","536.5995352439969","463.4004647560031","260.1665375677769","243.5127807900852","47.63749031758327","19.364833462432223","376.4523625096824","13.9426800929512","362.5096824167312","334.04337722695584","105.63516653756778","216.01471727343144","118.0286599535244","0","2.517428350116189","14.136328427575522","2.7110766847405112","4.260263361735089","NaN","232.0875290472502","689.0975987606506","4.163439194422928","199.26413632842758","186.58017041053446"
"Butler County, Alabama","41.6","44429","26334","720","94800","470.3651019440493","529.6348980559507","207.41794426004952","290.8698171856067","54.21210684368579","17.649228175543964","423.9502660555292","28.870976239397294","394.8685527632896","375.69148095463885","142.45824772140563","265.8974764237922","109.79400453084664","0.895632474579843","14.540856646119805","2.581528897318371","0","11.327116590274485","NaN","515.0940414098309","445.8142352879195","12.802275960170697","349.61277066540225","111.47990095358516"
"Calhoun County, Alabama","39.2","54339","28227","806","140500","483.6779669771526","516.3220330228474","174.47185826690313","185.9386029854858","78.32165424149034","8.290146519515849","460.74447753998726","31.783199325080492","425.74163667980923","384.7471634441556","72.94984590485701","272.84309843150083","111.90406501265474","2.4620788209569393","13.515607513644737","9.366229920283741","0.4993026979563024","9.262925913810024","NaN","717.1536302749608","220.64874916065494","6.585630412699506","328.4120452471548","66.97543086379366"
"Chambers County, Alabama","42.2","48805","27006","842","116900","476.27990292384146","523.7200970761586","175.66162024731307","230.87368542701952","65.67086559574714","16.497168612042067","453.3398821218075","16.150468045764473","435.45591124465506","379.72379521553216","94.88038830463424","274.06679764243614","105.65699757309604","1.9646365422396856","12.047844678146308","9.476482144920837","0","8.494163873800995","NaN","567.4910435687045","407.77764937016065","1.733502831387958","333.7281867560384","64.63076389691436"
"Cherokee County, Alabama","46.8","46621","28422","700","158700","489.0901112928318","510.9098887071682","140.25290199050622","214.84702221867644","61.031552913957476","12.365870198252821","427.34054010929833","16.953209142765967","410.3873309665324","398.77936894172086","187.0836491284056","318.00231361442417","80.77705532729667","2.8720730783038815","13.083888467828793","7.299852407355698","0","2.5928437512465594","NaN","912.8405600542503","40.20902309625434","1.0770274043639554","401.69133192389006","157.3656707487335"
