county_name,state_fips,county_fips,median_home_value_usd
"Autauga County, Alabama",01,001,191800
"Baldwin County, Alabama",01,003,266000
"Barbour County, Alabama",01,005,102700
"Bibb County, Alabama",01,007,120100
"Blount County, Alabama",01,009,159800
"Bullock County, Alabama",01,011,87700
"Butler County, Alabama",01,013,94800
"Calhoun County, Alabama",01,015,140500
"Chambers County, Alabama",01,017,116900
"Cherokee County, Alabama",01,019,158700
"Chilton County, Alabama",01,021,136000
"Choctaw County, Alabama",01,023,101600
"Clarke County, Alabama",01,025,126200
"Clay County, Alabama",01,027,144100
"Cleburne County, Alabama",01,029,131900
"Coffee County, Alabama",01,031,162200
"Colbert County, Alabama",01,033,148500
"Conecuh County, Alabama",01,035,98800
"Coosa County, Alabama",01,037,109500
"Covington County, Alabama",01,039,124300
"Crenshaw County, Alabama",01,041,100400
"Cullman County, Alabama",01,043,166000
"Dale County, Alabama",01,045,123800
"Dallas County, Alabama",01,047,91600
"DeKalb County, Alabama",01,049,129000
"Elmore County, Alabama",01,051,200400
"Escambia County, Alabama",01,053,122000
"Etowah County, Alabama",01,055,148400
"Fayette County, Alabama",01,057,112700
"Franklin County, Alabama",01,059,121600
"Geneva County, Alabama",01,061,120700
"Greene County, Alabama",01,063,88800
"Hale County, Alabama",01,065,109400
"Henry County, Alabama",01,067,132400
"Houston County, Alabama",01,069,164900
"Jackson County, Alabama",01,071,126900
"Jefferson County, Alabama",01,073,208900
"Lamar County, Alabama",01,075,108200
"Lauderdale County, Alabama",01,077,174800
"Lawrence County, Alabama",01,079,134200
"Lee County, Alabama",01,081,224400
"Limestone County, Alabama",01,083,229400
"Lowndes County, Alabama",01,085,83400
"Macon County, Alabama",01,087,93900
"Madison County, Alabama",01,089,242900
"Marengo County, Alabama",01,091,98600
"Marion County, Alabama",01,093,104300
"Marshall County, Alabama",01,095,165600
"Mobile County, Alabama",01,097,164600
"Monroe County, Alabama",01,099,109300
"Montgomery County, Alabama",01,101,151300
"Morgan County, Alabama",01,103,174800
"Perry County, Alabama",01,105,81700
"Pickens County, Alabama",01,107,119800
"Pike County, Alabama",01,109,144500
"Randolph County, Alabama",01,111,155000
"Russell County, Alabama",01,113,141900
"St. Clair County, Alabama",01,115,202000
"Shelby County, Alabama",01,117,276500
"Sumter County, Alabama",01,119,88000
"Talladega County, Alabama",01,121,131900
"Tallapoosa County, Alabama",01,123,127100
"Tuscaloosa County, Alabama",01,125,218800
"Walker County, Alabama",01,127,124100
"Washington County, Alabama",01,129,138100
"Wilcox County, Alabama",01,131,83200
"Winston County, Alabama",01,133,111600
"Aleutians East Borough, Alaska",02,013,164100
"Aleutians West Census Area, Alaska",02,016,377100
"Anchorage Municipality, Alaska",02,020,363800
"Bethel Census Area, Alaska",02,050,120600
"Bristol Bay Borough, Alaska",02,060,253400
"Chugach Census Area, Alaska",02,063,287900
"Copper River Census Area, Alaska",02,066,235100
"Denali Borough, Alaska",02,068,227000
"Dillingham Census Area, Alaska",02,070,167700
"Fairbanks North Star Borough, Alaska",02,090,276800
"Haines Borough, Alaska",02,100,289200
"Hoonah-Angoon Census Area, Alaska",02,105,243800
"Juneau City and Borough, Alaska",02,110,404600
"Kenai Peninsula Borough, Alaska",02,122,280900
"Ketchikan Gateway Borough, Alaska",02,130,361000
"Kodiak Island Borough, Alaska",02,150,355000
"Kusilvak Census Area, Alaska",02,158,82200
"Lake and Peninsula Borough, Alaska",02,164,167000
"Matanuska-Susitna Borough, Alaska",02,170,296900
"Nome Census Area, Alaska",02,180,181300
"North Slope Borough, Alaska",02,185,193800
"Northwest Arctic Borough, Alaska",02,188,147200
"Petersburg Borough, Alaska",02,195,279800
"Prince of Wales-Hyder Census Area, Alaska",02,198,220800
"Sitka City and Borough, Alaska",02,220,424700
"Skagway Municipality, Alaska",02,230,434300
"Southeast Fairbanks Census Area, Alaska",02,240,222200
"Wrangell City and Borough, Alaska",02,275,273800
"Yakutat City and Borough, Alaska",02,282,152100
"Yukon-Koyukuk Census Area, Alaska",02,290,86600
"Apache County, Arizona",04,001,62400
"Cochise County, Arizona",04,003,183000
"Coconino County, Arizona",04,005,379400
"Gila County, Arizona",04,007,222500
"Graham County, Arizona",04,009,178300
"Greenlee County, Arizona",04,011,93900
"La Paz County, Arizona",04,012,117500
"Maricopa County, Arizona",04,013,371400
"Mohave County, Arizona",04,015,233700
"Navajo County, Arizona",04,017,165600
"Pima County, Arizona",04,019,258300
"Pinal County, Arizona",04,021,268900
"Santa Cruz County, Arizona",04,023,196700
"Yavapai County, Arizona",04,025,354300
"Yuma County, Arizona",04,027,173500
"Arkansas County, Arkansas",05,001,125900
"Ashley County, Arkansas",05,003,86600
"Baxter County, Arkansas",05,005,155600
"Benton County, Arkansas",05,007,254000
"Boone County, Arkansas",05,009,158100
"Bradley County, Arkansas",05,011,87900
"Calhoun County, Arkansas",05,013,82700
"Carroll County, Arkansas",05,015,169700
"Chicot County, Arkansas",05,017,88100
"Clark County, Arkansas",05,019,143300
"Clay County, Arkansas",05,021,85800
"Cleburne County, Arkansas",05,023,162200
"Cleveland County, Arkansas",05,025,109200
"Columbia County, Arkansas",05,027,123200
"Conway County, Arkansas",05,029,129600
"Craighead County, Arkansas",05,031,182600
"Crawford County, Arkansas",05,033,154900
"Crittenden County, Arkansas",05,035,147300
"Cross County, Arkansas",05,037,97500
"Dallas County, Arkansas",05,039,94300
"Desha County, Arkansas",05,041,88300
"Drew County, Arkansas",05,043,123900
"Faulkner County, Arkansas",05,045,195800
"Franklin County, Arkansas",05,047,117500
"Fulton County, Arkansas",05,049,100000
"Garland County, Arkansas",05,051,166600
"Grant County, Arkansas",05,053,141400
"Greene County, Arkansas",05,055,157400
"Hempstead County, Arkansas",05,057,104700
"Hot Spring County, Arkansas",05,059,119600
"Howard County, Arkansas",05,061,125300
"Independence County, Arkansas",05,063,111300
"Izard County, Arkansas",05,065,110600
"Jackson County, Arkansas",05,067,85700
"Jefferson County, Arkansas",05,069,105300
"Johnson County, Arkansas",05,071,119800
"Lafayette County, Arkansas",05,073,70900
"Lawrence County, Arkansas",05,075,84300
"Lee County, Arkansas",05,077,80600
"Lincoln County, Arkansas",05,079,112500
"Little River County, Arkansas",05,081,108200
"Logan County, Arkansas",05,083,121600
"Lonoke County, Arkansas",05,085,169600
"Madison County, Arkansas",05,087,148300
"Marion County, Arkansas",05,089,147100
"Miller County, Arkansas",05,091,137700
"Mississippi County, Arkansas",05,093,110000
"Monroe County, Arkansas",05,095,84600
"Montgomery County, Arkansas",05,097,126200
"Nevada County, Arkansas",05,099,85100
"Newton County, Arkansas",05,101,160500
"Ouachita County, Arkansas",05,103,96000
"Perry County, Arkansas",05,105,123400
"Phillips County, Arkansas",05,107,74100
"Pike County, Arkansas",05,109,99200
"Poinsett County, Arkansas",05,111,93900
"Polk County, Arkansas",05,113,120800
"Pope County, Arkansas",05,115,152000
"Prairie County, Arkansas",05,117,87200
"Pulaski County, Arkansas",05,119,187600
"Randolph County, Arkansas",05,121,110700
"St. Francis County, Arkansas",05,123,82400
"Saline County, Arkansas",05,125,194400
"Scott County, Arkansas",05,127,97600
"Searcy County, Arkansas",05,129,107100
"Sebastian County, Arkansas",05,131,154900
"Sevier County, Arkansas",05,133,99200
"Sharp County, Arkansas",05,135,89900
"Stone County, Arkansas",05,137,153700
"Union County, Arkansas",05,139,110900
"Van Buren County, Arkansas",05,141,117900
"Washington County, Arkansas",05,143,235500
"White County, Arkansas",05,145,150700
"Woodruff County, Arkansas",05,147,96100
"Yell County, Arkansas",05,149,128400
"Alameda County, California",06,001,999200
"Alpine County, California",06,003,463900
"Amador County, California",06,005,409600
"Butte County, California",06,007,371600
"Calaveras County, California",06,009,404200
"Colusa County, California",06,011,360100
"Contra Costa County, California",06,013,787300
"Del Norte County, California",06,015,282500
"El Dorado County, California",06,017,597600
"Fresno County, California",06,019,338200
"Glenn County, California",06,021,295400
"Humboldt County, California",06,023,386000
"Imperial County, California",06,025,256000
"Inyo County, California",06,027,325900
"Kern County, California",06,029,282800
"Kings County, California",06,031,281400
"Lake County, California",06,033,291300
"Lassen County, California",06,035,233100
"Los Angeles County, California",06,037,732200
"Madera County, California",06,039,340300
"Marin County, California",06,041,1291800
"Mariposa County, California",06,043,335900
"Mendocino County, California",06,045,463700
"Merced County, California",06,047,342300
"Modoc County, California",06,049,184900
"Mono County, California",06,051,496800
"Monterey County, California",06,053,683700
"Napa County, California",06,055,794500
"Nevada County, California",06,057,559700
"Orange County, California",06,059,862900
"Placer County, California",06,061,627100
"Plumas County, California",06,063,310100
"Riverside County, California",06,065,462900
"Sacramento County, California",06,067,465900
"San Benito County, California",06,069,703200
"San Bernardino County, California",06,071,438000
"San Diego County, California",06,073,725200
"San Francisco County, California",06,075,1348700
