"area","annual_avg_wkly_wage","avg_annual_pay","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_pct_chg","estabs_per_1000_emp"
"01000","1193","62044","2.8","1.4","5.3","-0.5","-20.7","3.7","3.8","76.40641428825165"
"02000","1382","71861","0.4","2.0","6.5","6.2","-10.1","4.5","4.5","76.2750483041888"
"04000","1354","70406","2.2","1.8","6.7","-1.0","-0.3","4.8","4.8","69.97408803860417"
"05000","1123","58398","1.2","1.3","6.3","0.2","-12.6","4.9","4.9","80.08400890105335"
"06000","1772","92145","5.6","1.0","6.4","-0.5","4.0","5.4","5.3","101.7422970555601"
"08000","1544","80287","-3.3","0.5","4.7","12.9","37.6","4.1","4.1","86.22378749308551"
"09000","1683","87516","1.0","0.9","5.4","49.6","27.2","4.5","4.5","88.4709197815345"
"10000","1392","72408","5.2","1.7","6.2","0.1","-35.5","4.3","4.4","95.93242495851979"
"11000","2365","122989","1.4","0.3","4.6","-1.7","-2.6","4.3","4.3","68.76706341997668"
"12000","1336","69470","0.3","1.6","6.3","1.2","1.1","4.5","4.6","89.6580904714903"
"13000","1358","70607","1.3","1.1","5.7","-0.9","0.7","4.5","4.5","80.60097067030632"
"15000","1295","67366","5.1","0.9","5.9","5.0","-43.0","4.9","4.9","93.05549694358089"
"16000","1146","59572","9.6","1.9","7.8","7.4","39.4","5.8","5.8","119.67562177928117"
"17000","1486","77257","-0.6","0.5","4.0","1.3","1.6","3.6","3.5","65.64430994230524"
"18000","1206","62727","1.4","0.7","5.9","-0.4","-0.8","5.1","5.1","60.341395081429965"
"19000","1180","61347","0.7","0.4","3.7","4.4","5.5","3.3","3.3","71.54984669398506"
"20000","1169","60778","3.6","0.9","5.0","2.4","-9.3","4.1","4.1","69.96147920954722"
"21000","1162","60431","4.1","1.0","4.9","2.0","95.2","3.8","3.8","79.69182441495373"
"22000","1179","61284","0.8","1.4","5.2","1.9","3.0","3.8","3.8","80.7421945584133"
"23000","1216","63220","2.1","1.4","6.3","0.5","3.0","4.8","4.8","100.8485468673425"
"24000","1518","78941","3.1","2.3","6.2","1.4","-38.4","3.8","3.8","70.81334389964985"
"25000","1848","96109","-2.8","0.2","5.3","2.1","48.1","5.0","5.0","77.85107845275674"
"26000","1313","68281","-7.1","0.6","4.2","0.0","-3.4","3.6","3.6","68.21879696023818"
"27000","1427","74221","2.1","1.0","4.8","4.4","3.2","3.8","3.8","72.54644727495565"
"28000","980","50966","3.1","0.6","4.4","0.2","-2.0","3.7","3.7","76.49205800040421"
"29000","1230","63937","-1.5","0.8","4.4","-4.2","-12.0","3.6","3.6","83.89060855109364"
"30000","1155","60038","-3.0","1.2","6.1","6.7","6.0","4.9","4.9","124.60655181424956"
"31000","1174","61050","-0.1","1.0","4.3","-0.8","6.5","3.2","3.2","75.41921102046706"
"32000","1290","67092","-0.7","1.9","7.2","2.6","0.6","5.1","5.2","69.56889983795553"
"33000","1489","77418","2.6","0.8","4.9","0.7","-36.1","4.0","4.0","97.21652931001904"
"34000","1603","83334","2.1","1.0","4.5","3.2","7.7","3.5","3.4","76.65062253232364"
"35000","1171","60910","1.8","1.6","6.5","5.4","7.2","4.7","4.8","78.80117748885903"
"36000","1829","95082","1.4","2.5","6.6","4.9","8.6","4.0","4.0","72.90882450850886"
"37000","1322","68721","0.5","1.5","6.3","5.5","10.5","4.8","4.7","76.90221865575671"
"38000","1263","65694","2.7","1.7","5.5","6.9","11.3","3.7","3.7","85.28967183898929"
"39000","1267","65897","2.0","0.7","5.2","-0.2","3.5","4.5","4.5","62.17956706594289"
"40000","1129","58691","-0.4","1.2","5.5","5.0","1.2","4.2","4.2","76.3076839448926"
"41000","1371","71313","-2.9","0.3","4.7","3.4","16.7","4.4","4.4","93.57368838323485"
"42000","1379","71724","0.6","0.9","4.6","-0.1","-2.7","3.5","3.6","64.52185740608216"
"44000","1313","68289","1.7","1.4","4.7","4.2","3.4","3.2","3.3","98.98036871515149"
"45000","1173","61011","7.2","1.8","7.3","1.9","-5.3","5.3","5.3","83.38618697012315"
"46000","1121","58306","1.6","1.3","5.3","0.6","-50.3","4.0","4.0","87.89727798882583"
"47000","1297","67431","3.3","1.2","5.4","-0.7","2.7","4.2","4.2","69.44356544680139"
"48000","1450","75394","1.7","1.7","6.0","0.6","-11.0","4.2","4.3","60.70923520654311"
"49000","1286","66894","2.9","1.4","6.2","4.9","3.1","4.7","4.8","81.39611543202997"
"50000","1240","64466","2.8","0.7","5.0","4.5","2.5","4.3","4.3","104.30616747213219"
"51000","1494","77671","-1.0","1.4","6.1","0.4","-15.0","4.6","4.6","77.33128371932855"
"53000","1827","94985","3.6","0.5","7.8","2.7","0.8","7.3","7.3","66.11574156634735"
"54000","1121","58280","4.1","1.3","5.5","3.8","-0.2","4.2","4.1","88.69300719606473"
"55000","1220","63460","2.1","0.8","4.7","-0.3","-4.7","3.9","3.9","69.0737199114099"
"56000","1185","61635","1.3","1.2","5.6","5.8","-1.8","4.3","4.3","108.33681793376188"
"72000","679","35285","-2.6","1.1","5.9","2.2","3.7","4.8","4.8","54.84076513754499"
"78000","1009","52465","-9.1","-0.6","1.2","-3.8","60.3","1.8","1.8","97.30912764106738"
