"area","annual_avg_wkly_wage","avg_annual_pay","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_pct_chg","estabs_per_1000_emp"
"01001","977","50826","4.4","4.3","6.4","3.1","-24.9","2.0","2.0","90.44657998869418"
"01003","984","51157","5.5","2.8","7.7","2.5","-12.5","4.8","4.8","102.88070678352405"
"01005","877","45590","0.7","0.1","4.4","-3.2","-14.0","4.3","4.3","77.16249513681754"
"01007","1020","53062","2.8","0.3","3.8","-0.7","-19.1","3.4","3.5","92.17067108533554"
"01009","879","45687","2.6","2.7","7.4","3.0","-5.4","4.6","4.6","105.1242577523642"
"01011","975","50696","-1.4","1.8","7.2","-5.3","-42.7","5.3","5.3","74.60545193687231"
"01013","883","45927","-3.5","-2.3","2.7","-3.6","-40.0","5.1","5.1","77.47827367800855"
"01015","988","51354","1.0","0.3","3.2","-2.1","-23.3","2.9","2.9","64.59865685960985"
"01017","1003","52152","1.4","4.4","10.9","1.8","-19.2","6.2","6.2","85.72686255089688"
"01019","859","44658","2.3","0.9","4.3","-3.7","-30.4","3.4","3.3","93.04932735426009"
"01021","915","47595","1.0","-0.9","1.1","-0.6","-16.2","2.0","2.0","100.84217434102592"
"01023","1189","61814","-3.0","-0.7","4.9","-1.4","-58.9","5.7","5.7","107.30524401333737"
"01025","986","51247","-4.3","0.0","2.9","0.5","-14.3","3.0","2.9","89.57055214723927"
"01027","857","44540","2.8","0.2","5.1","-0.3","-28.4","5.0","5.0","59.891535015326575"
"01029","1054","54823","1.0","6.0","5.3","3.9","-21.1","-0.7","-0.6","106.21095185593532"
"01031","893","46411","3.1","2.8","7.3","1.1","-9.0","4.4","4.4","79.00950187158077"
"01033","1116","58010","5.1","1.3","3.7","-1.7","-14.5","2.5","2.4","66.1767707695448"
"01035","919","47783","1.1","1.3","6.8","2.2","-29.7","5.4","5.4","86.82452944748027"
"01037","988","51388","0.0","-4.8","1.7","1.9","-35.7","6.8","6.9","108.81542699724518"
"01039","919","47800","4.1","1.6","7.4","0.6","-15.8","5.6","5.7","93.14933464760966"
"01041","928","48253","0.7","0.3","4.5","-1.4","-30.2","4.3","4.2","84.3644544431946"
"01043","996","51811","3.1","1.2","5.4","-2.1","-31.0","4.2","4.2","74.28865713917858"
"01045","1237","64321","2.6","1.5","3.5","1.0","-19.9","2.0","2.0","61.88389923329682"
"01047","957","49753","0.4","-1.0","4.2","-3.0","-25.8","5.3","5.3","86.44818423383525"
"01049","969","50391","3.4","2.6","5.4","-1.2","-24.6","2.6","2.7","63.42277570933368"
"01051","923","48014","4.6","5.2","12.3","2.7","-20.4","6.8","6.8","82.96578299828218"
"01053","988","51384","0.3","0.5","3.1","-1.6","-30.9","2.5","2.5","72.26864747756113"
"01055","895","46564","2.7","1.1","4.7","1.5","-18.5","3.5","3.5","73.88670099969706"
"01057","863","44897","-1.3","0.4","5.1","-2.6","-25.7","4.5","4.6","94.24350483953133"
"01059","928","48266","3.1","2.8","7.3","-0.4","-15.6","4.4","4.4","63.07046367287331"
"01061","819","42591","-1.5","0.2","4.3","-1.8","-29.6","4.1","4.1","110.58307439225004"
"01063","828","43043","-1.1","-2.8","0.5","-9.2","-34.7","3.5","3.4","99.94256174612292"
"01065","945","49126","3.8","-0.3","4.8","2.7","-12.6","5.1","5.1","126.96586114307634"
"01067","1085","56425","-0.5","-0.1","7.4","-6.0","-4.9","7.5","7.5","107.17019647869354"
"01069","1029","53521","3.9","0.6","3.9","-1.6","-23.8","3.3","3.3","73.11751872162274"
"01071","950","49421","1.2","-0.1","3.3","-0.8","-15.7","3.3","3.4","77.17208338728473"
"01073","1376","71562","2.2","1.2","4.6","-1.3","-20.7","3.4","3.4","62.44670794729229"
"01075","978","50837","-3.2","-1.2","3.3","-1.2","-8.2","4.6","4.6","88.15750808110491"
"01077","899","46767","3.4","0.5","4.3","-1.8","-16.3","3.7","3.8","82.93078294699303"
"01079","992","51594","0.2","12.2","21.4","27.0","90.1","8.2","8.2","94.4829864552362"
"01081","1027","53394","3.6","2.0","7.5","0.6","-15.6","5.4","5.4","65.45323589874405"
"01083","1206","62717","9.5","4.9","11.4","5.9","-27.6","6.2","6.2","60.152582159624416"
"01085","1283","66726","-2.4","-10.0","-9.5","-7.2","-37.4","0.5","0.5","77.38317757009345"
"01087","1095","56933","2.3","3.7","10.8","6.7","0.2","6.8","6.8","64.22208411021339"
"01089","1482","77051","5.6","2.2","5.7","0.9","-11.5","3.5","3.5","59.95465760398943"
"01091","1027","53415","2.3","0.2","3.8","-0.9","-18.8","3.6","3.6","78.11855315637465"
"01093","927","48179","2.2","-6.3","-1.2","-10.6","-40.2","5.5","5.5","69.65368812365486"
"01095","927","48206","4.0","1.6","5.7","-0.5","-18.0","3.9","4.0","63.265706164853476"
"01097","1187","61700","1.7","2.3","6.5","0.8","-21.9","4.2","4.2","69.67552059865281"
"01099","1026","53376","-1.6","-1.0","3.9","1.5","-11.3","4.9","4.9","81.97547455064674"
"01101","1185","61610","1.8","1.4","5.7","-0.3","-17.6","4.2","4.2","54.67897639631912"
"01103","1153","59944","3.7","1.7","4.5","1.1","-21.7","2.8","2.7","63.8956991086531"
"01105","809","42082","5.1","3.0","7.9","1.0","-17.7","4.7","4.7","100.76670317634174"
"01107","977","50820","3.6","-0.4","3.7","4.1","-8.8","4.0","4.1","107.04679935449167"
"01109","993","51656","0.9","0.4","6.3","-0.4","-17.6","5.9","5.9","52.23541626111219"
"01111","830","43183","1.7","0.0","2.4","-0.4","0.3","2.3","2.4","96.2523039115298"
"01113","913","47497","2.0","-0.1","1.8","-3.6","-19.4","1.9","1.9","85.50899907519386"
"01115","989","51425","6.3","4.1","7.5","3.0","-21.7","3.3","3.3","88.3985441310282"
"01117","1284","66772","3.9","-0.5","2.5","-2.4","-26.4","3.0","3.0","85.13661073864904"
"01119","910","47332","-5.2","-3.3","-0.3","-3.4","-23.1","3.1","3.1","103.19410319410319"
"01121","1121","58301","1.8","0.2","7.9","-4.7","-29.6","7.8","7.8","49.7948879772799"
"01123","906","47093","1.3","2.7","6.5","0.4","-18.0","3.8","3.7","80.63774336961521"
"01125","1145","59535","3.1","1.6","4.9","-2.2","-23.0","3.2","3.2","54.44766739182983"
"01127","936","48692","-0.8","1.3","5.1","-3.1","-39.5","3.7","3.7","82.09952429312096"
"01129","1670","86857","1.6","-14.5","-16.8","-20.4","-15.6","-2.7","-2.7","61.18914758514528"
"01131","1078","56070","8.4","3.1","6.6","7.5","-13.9","3.4","3.4","120.80536912751678"
"01133","995","51725","2.7","1.6","9.3","-2.4","-23.8","7.7","7.7","67.26681670417604"
"01999","1715","89155","1.7","1.3","5.3","-1.9","-25.4","3.9","3.9","247.35126324368377"
"02013","1373","71381","-4.0","-24.3","-25.3","-28.0","-48.6","-1.4","-1.4","55.87557603686636"
"02016","1600","83204","-2.5","2.9","2.4","4.0","-18.8","-0.5","-0.5","48.362411998775634"
"02020","1436","74666","1.4","1.7","6.6","6.4","-7.8","4.9","4.8","59.956809909273645"
"02050","1054","54820","-6.8","0.7","3.1","2.7","-9.5","2.3","2.3","47.15219421101774"
"02060","1361","70779","-6.2","-6.8","-4.3","-8.9","-35.0","2.6","2.6","99.3485342019544"
"02063","1442","74978","-2.2","-4.0","-2.5","-7.8","-26.5","1.5","1.6","111.04926245477317"
"02066","1093","56861","-4.0","1.0","3.8","3.2","-14.2","2.7","2.8","130.08130081300814"
"02068","1289","67009","-2.0","-0.7","5.3","1.7","-25.8","6.1","6.0","74.80916030534351"
"02070","1299","67566","-3.2","0.5","7.1","3.2","-15.4","6.6","6.6","72.69249163079866"
"02090","1340","69700","0.8","2.4","7.5","6.8","-11.0","4.9","5.0","65.94623801161691"
"02100","995","51748","3.8","3.4","14.6","15.5","-9.6","10.9","10.9","159.92292870905587"
"02105","984","51184","3.5","4.2","11.3","10.3","-18.4","6.8","6.9","142.3001949317739"
"02110","1318","68540","1.7","1.7","5.1","4.8","-10.0","3.4","3.4","66.27867555656006"
"02122","1200","62398","0.4","1.9","6.2","5.3","-12.7","4.3","4.2","110.27288814380181"
"02130","1204","62614","2.1","1.8","6.1","6.2","-11.6","4.2","4.2","85.61220283083688"
"02150","1170","60845","-1.2","-2.4","-3.3","-4.1","-24.3","-0.9","-0.9","85.75555154359992"
"02158","748","38914","-8.3","-0.3","0.4","0.8","-7.5","0.7","0.7","61.766207248596224"
"02164","985","51234","-3.5","-2.8","-1.3","1.8","-21.8","1.5","1.6","128.02768166089965"
"02170","1122","58329","2.7","3.3","9.1","9.5","-4.8","5.6","5.6","95.6801626291716"
"02180","1447","75229","-2.4","2.4","10.5","12.0","-0.8","7.9","7.9","74.49267916773697"
"02185","2472","128567","-0.9","12.0","13.5","19.9","4.5","1.3","1.3","19.07749703238935"
"02188","1724","89651","-5.1","6.3","12.3","12.6","5.9","5.6","5.6","49.349783261087026"
"02195","1069","55599","1.2","-3.8","-3.7","-12.3","-33.4","0.0","0.0","138.43648208469057"
"02198","1052","54711","-5.3","0.9","5.3","7.8","-12.8","4.4","4.4","109.42681193747039"
"02220","1184","61555","3.2","4.8","4.3","1.4","-22.6","-0.5","-0.5","92.2080821611967"
"02230","1116","58010","-5.8","11.0","12.9","15.8","-15.2","1.7","1.7","123.49726775956285"
"02240","1733","90122","0.4","6.7","12.0","9.8","-5.4","5.0","5.0","80.64010040790713"
"02275","1095","56956","1.0","3.5","6.6","5.1","-16.2","3.0","3.0","133.67609254498714"
"02282","1200","62398","-8.3","-2.1","-3.6","-1.9","-14.4","-1.7","-1.8","133.33333333333334"
"02290","1002","52125","-4.8","3.5","8.5","6.8","-16.4","4.8","4.8","103.40314136125654"
"02999","1765","91768","-2.3","-1.8","0.7","-5.4","-24.4","2.5","2.5","674.6753246753246"
"04001","1092","56805","-0.6","-1.7","4.0","-1.1","-25.5","5.7","5.8","37.92667509481669"
"04003","1151","59877","0.4","0.8","5.8","-0.2","6.9","4.9","5.0","74.4979115408823"
"04005","1048","54494","1.3","3.4","8.1","4.2","6.8","4.6","4.6","62.46305418719212"
"04007","1090","56684","0.7","6.7","13.3","6.7","23.4","6.2","6.2","71.24522631941402"
"04009","1100","57182","0.5","3.3","9.1","2.9","27.7","5.7","5.6","58.041112454655384"
