state_fips,county_fips,postal,name,poverty_percent_all_ages,median_household_income
01,001,AL,Autauga County,11.7,68857.0
01,003,AL,Baldwin County,10.0,74248.0
01,005,AL,Barbour County,25.5,45298.0
01,007,AL,Bibb County,19.4,56025.0
01,009,AL,Blount County,12.8,64962.0
01,011,AL,Bullock County,33.6,36204.0
01,013,AL,Butler County,23.6,44729.0
01,015,AL,Calhoun County,20.1,51841.0
01,017,AL,Chambers County,17.1,50390.0
01,019,AL,Cherokee County,15.6,56400.0
01,021,AL,Chilton County,15.3,59165.0
01,023,AL,Choctaw County,24.8,47432.0
01,025,AL,Clarke County,19.0,50868.0
01,027,AL,Clay County,16.9,52077.0
01,029,AL,Cleburne County,15.8,59526.0
01,031,AL,Coffee County,16.5,64737.0
01,033,AL,Colbert County,15.4,57770.0
01,035,AL,Conecuh County,26.5,46702.0
01,037,AL,Coosa County,18.2,59736.0
01,039,AL,Covington County,16.7,50119.0
01,041,AL,Crenshaw County,19.5,49128.0
01,043,AL,Cullman County,15.5,61231.0
01,045,AL,Dale County,16.6,54697.0
01,047,AL,Dallas County,31.4,39013.0
01,049,AL,DeKalb County,21.6,50614.0
01,051,AL,Elmore County,12.5,73125.0
01,053,AL,Escambia County,21.3,50333.0
01,055,AL,Etowah County,19.6,52504.0
01,057,AL,Fayette County,16.2,49235.0
01,059,AL,Franklin County,22.5,49682.0
01,061,AL,Geneva County,19.2,50006.0
01,063,AL,Greene County,31.0,34619.0
01,065,AL,Hale County,23.0,42380.0
01,067,AL,Henry County,16.4,55598.0
01,069,AL,Houston County,16.5,59412.0
01,071,AL,Jackson County,16.0,51479.0
01,073,AL,Jefferson County,16.0,64726.0
01,075,AL,Lamar County,16.4,50929.0
01,077,AL,Lauderdale County,13.6,63895.0
01,079,AL,Lawrence County,14.2,61064.0
01,081,AL,Lee County,17.9,62301.0
01,083,AL,Limestone County,8.6,81811.0
01,085,AL,Lowndes County,29.4,42011.0
01,087,AL,Macon County,28.8,40710.0
01,089,AL,Madison County,10.5,86172.0
01,091,AL,Marengo County,23.5,47228.0
01,093,AL,Marion County,19.0,48829.0
01,095,AL,Marshall County,16.5,59882.0
01,097,AL,Mobile County,16.3,55538.0
01,099,AL,Monroe County,19.1,49314.0
01,101,AL,Montgomery County,18.3,60063.0
01,103,AL,Morgan County,12.0,70387.0
01,105,AL,Perry County,33.8,34176.0
01,107,AL,Pickens County,21.5,47372.0
01,109,AL,Pike County,23.8,50675.0
01,111,AL,Randolph County,15.9,57148.0
01,113,AL,Russell County,18.9,52312.0
01,115,AL,St. Clair County,10.8,78349.0
01,117,AL,Shelby County,8.4,90280.0
01,119,AL,Sumter County,33.5,37021.0
01,121,AL,Talladega County,17.0,59491.0
01,123,AL,Tallapoosa County,15.1,60583.0
01,125,AL,Tuscaloosa County,19.2,61117.0
01,127,AL,Walker County,17.5,57950.0
01,129,AL,Washington County,18.7,57311.0
01,131,AL,Wilcox County,32.7,34426.0
01,133,AL,Winston County,16.6,52280.0
02,013,AK,Aleutians East Borough,18.0,83000.0
02,016,AK,Aleutians West Census Area,10.0,104159.0
02,020,AK,Anchorage Borough,8.9,93881.0
02,050,AK,Bethel Census Area,29.3,62140.0
02,060,AK,Bristol Bay Borough,11.7,99790.0
02,063,AK,Chugach Census Area,8.7,95180.0
02,066,AK,Copper River Census Area,14.2,69092.0
02,068,AK,Denali Borough,7.8,86118.0
