area_code,area_name,births_2024,births_2015,births_growth_2015_2024_pct,taxable_income_2024_thousand_yen,taxable_income_2015_thousand_yen,taxable_income_growth_2015_2024_pct
01100,北海道 札幌市,,,,3177648379.0,2535322425.0,25.335079580657283
01101,中央区,1168.0,1874.0,-37.67342582710779,,,
01102,北区,1372.0,2041.0,-32.778049975502206,,,
01103,東区,1350.0,2128.0,-36.56015037593985,,,
01104,白石区,1174.0,1891.0,-37.916446324695926,,,
01105,豊平区,1239.0,1888.0,-34.375,,,
01106,南区,542.0,769.0,-29.518855656697006,,,
01107,西区,1228.0,1657.0,-25.890162945081475,,,
01108,厚別区,452.0,746.0,-39.41018766756032,,,
01109,手稲区,633.0,950.0,-33.36842105263158,,,
01110,清田区,428.0,645.0,-33.64341085271318,,,
01202,函館市,901.0,1622.0,-44.45129469790382,322884075.0,295671670.0,9.203588899809034
01203,小樽市,304.0,598.0,-49.163879598662206,123903643.0,119533070.0,3.65637141253044
01204,旭川市,1405.0,2333.0,-39.777111015859404,428627854.0,380049303.0,12.782170791140748
01205,室蘭市,343.0,575.0,-40.34782608695652,104592408.0,102184822.0,2.356109207686441
01206,釧路市,598.0,1124.0,-46.79715302491103,211056941.0,194546841.0,8.486439520238727
01207,帯広市,881.0,1330.0,-33.7593984962406,255337755.0,211286467.0,20.849081640425176
01208,北見市,478.0,819.0,-41.63614163614164,167696878.0,140845591.0,19.064343306280705
01209,夕張市,6.0,20.0,-70.0,6413364.0,7377411.0,-13.067551746811992
01210,岩見沢市,272.0,497.0,-45.271629778672036,96688892.0,88659463.0,9.056482780636738
01211,網走市,159.0,278.0,-42.805755395683455,57159113.0,49028049.0,16.584514713200193
01212,留萌市,67.0,148.0,-54.729729729729726,26739567.0,26011985.0,2.7971029508128655
01213,苫小牧市,781.0,1442.0,-45.83911234396672,244426306.0,207737625.0,17.66106693479335
01214,稚内市,109.0,261.0,-58.23754789272031,52283419.0,48370984.0,8.088392413104517
01215,美唄市,42.0,81.0,-48.148148148148145,21658214.0,21223629.0,2.0476469881753023
01216,芦別市,33.0,55.0,-40.0,11686149.0,12220693.0,-4.374089096256652
01217,江別市,527.0,611.0,-13.747954173486088,152066023.0,131552749.0,15.593192963227246
01218,赤平市,20.0,32.0,-37.5,8809475.0,9187761.0,-4.117281675045748
