"area_code","A1101","A110101","A110102","A1102","A110201","A110202","A1301","A130101","A130102","A1302","A130201","A130202","A1303","A130301","A130302","A4101","A4200","A5101","A5102","A9101","A9201","E1101","E1501","E2101","E2401","E2501","E3101","E3401","E3501","E4101","E4501","I510120","I5102","I5103"
"R38000","1291000","613000","678000","1277000","606000","671000","143000","73000","70000","707000","354000","354000","441000","187000","255000","6950","20265","16080","20205","4158","1953","114","8481","279","4718","63576","131","2717","32779","65","30435","121","1175","636"
"R21000","1931000","938000","993000","1868000","906000","961000","224000","115000","109000","1104000","559000","545000","603000","264000","339000","10469","26089","24559","29781","6076","2602","145","16164","351","7157","96495","181","4205","52631","82","48480","82","1598","938"
"R22000","3555000","1754000","1801000","3449000","1702000","1748000","404000","208000","196000","2050000","1059000","991000","1101000","488000","614000","18969","47926","48516","55276","12387","5028","328","24401","493","11358","175775","290","6915","95770","136","88766","139","2724","1714"
"R33000","1847000","889000","958000","1814000","872000","942000","220000","113000","107000","1054000","529000","525000","573000","247000","326000","11575","25281","25298","29568","6781","2750","199","9934","375","7496","94614","163","4089","49563","86","47875","143","1550","951"
"R35000","1298000","618000","680000","1279000","608000","671000","143000","73000","70000","696000","352000","345000","459000","193000","266000","7189","21253","20183","24397","4145","1873","155","11583","296","4930","61935","160","2901","33333","75","29697","112","1194","622"
"R31000","537000","257000","280000","532000","255000","277000","65000","33000","31000","294000","148000","146000","179000","76000","103000","3263","8290","7578","9466","1810","781","18","1514","114","2333","27232","56","1348","13904","32","13868","39","474","256"
"R42000","1267000","598000","670000","1254000","591000","663000","153000","79000","75000","679000","335000","344000","435000","184000","251000","7656","19723","20012","26369","4074","1788","96","6613","318","5395","66615","184","3273","35119","79","33330","118","1317","688"
"R36000","695000","332000","363000","688000","330000","359000","74000","38000","36000","376000","188000","187000","246000","106000","139000","3903","11263","8397","10744","2277","956","85","3906","184","2980","33085","89","1679","17116","36","15854","90","688","411"
"R39000","666000","316000","351000","660000","312000","348000","70000","36000","34000","355000","178000","176000","242000","101000","140000","3380","11438","8278","10309","1985","1065","36","2137","222","2864","30103","122","1926","16288","43","16462","107","514","338"
"R43000","1709000","811000","898000","1685000","800000","885000","219000","112000","107000","938000","463000","474000","552000","236000","317000","11189","24265","26844","28286","5772","2663","97","7057","330","6991","94258","170","4108","48877","73","43286","163","1470","829"
"R18000","744000","364000","380000","729000","357000","372000","89000","46000","43000","421000","216000","205000","235000","102000","133000","4563","10426","8135","10742","2620","942","60","857","191","3117","37597","80","1835","20549","32","20350","57","571","287"
"R12000","6257000","3099000","3158000","6081000","3013000","3068000","703000","361000","342000","3798000","1956000","1843000","1756000","783000","973000","35658","73002","140104","123729","23251","9151","451","56945","756","18642","299819","388","10888","155991","181","136735","256","3942","3202"
"R11000","7331000","3640000","3691000","7113000","3527000","3586000","831000","426000","405000","4489000","2314000","2175000","2012000","901000","1111000","42108","83597","160736","142886","27531","10697","491","69597","803","21431","355456","446","12627","185034","191","160362","296","4530","3510"
"R04000","2264000","1105000","1160000","2239000","1092000","1147000","250000","128000","122000","1352000","686000","666000","662000","290000","372000","12328","28640","42940","43957","7899","3138","208","19248","361","7940","108637","200","4837","57116","96","53555","108","1724","1038"
