"area_code","area_name","A1101","A110101","A110102","A1102","A110201","A110202","A1301","A130101","A130102","A1302","A130201","A130202","A1303","A130301","A130302","A4101","A4200","A5101","A5102","A9101","A9201","E1101","E1501","E2101","E2401","E2501","E3101","E3401","E3501","E4101","E4501","I510120","I5102","I5103"
"R01100","札幌市","1973395","918682","1054713","1933094","897727","1035367","215366","110196","105170","1185724","566874","618850","541242","224966","316276","10352","23843","110212","99469","7908","3558","86","10594","201","5341","87431","106","3114","45295","51","40838","172","1433","1183"
"R01202","函館市","251084","113965","137119","248208","112718","135490","23560","11984","11576","134953","64971","69982","89257","35342","53915","947","4466","7225","7774","734","376","11","774","40","726","8835","22","433","5234","14","5974","26","197","121"
"R01203","小樽市","111299","50136","61163","109971","49441","60530","9169","4678","4491","55643","26790","28853","45426","18009","27417","348","2122","2664","3135","245","132","11","452","17","330","3550","13","227","2077","7","2665","11","76","74"
"R01204","旭川市","329306","152108","177198","325287","150318","174969","34691","17797","16894","178060","85575","92485","112411","46768","65643","1565","5165","8717","9477","1068","557","26","1719","52","1199","13572","27","640","7436","13","8093","33","225","170"
"R01205","室蘭市","82383","40390","41993","81658","39960","41698","7769","3916","3853","43398","23259","20139","30330","12565","17765","343","1441","2460","3137","237","121","8","620","9","226","2859","8","144","1558","6","2415","6","50","39"
"R01206","釧路市","165077","77506","87571","163026","76789","86237","16634","8495","8139","90595","44886","45709","56355","23465","32890","644","2628","4589","5883","464","322","24","1459","25","576","5708","15","316","3275","8","3679","15","78","82"
"R01207","帯広市","166536","79623","86913","165759","79211","86548","19073","9762","9311","96804","48097","48707","49000","20616","28384","902","2171","6208","6773","668","296","11","1065","25","607","6975","13","328","3768","8","4817","17","111","93"
"R01208","北見市","115480","54729","60751","114601","54346","60255","12014","6170","5844","63217","31713","31504","38841","16230","22611","549","1789","3378","3854","355","214","7","432","22","471","4683","13","277","2551","8","2663","12","65","49"
"R01209","夕張市","7334","3381","3953","7247","3373","3874","411","199","212","3093","1609","1484","3828","1571","2257","10","177","129","232","19","8","0","0","1","19","129","1","18","85","1","59","0","5","4"
"R01210","岩見沢市","79306","37105","42201","79031","36970","42061","7859","3961","3898","42391","21004","21387","28880","12062","16818","312","1317","2208","2535","203","82","5","484","14","286","3041","9","179","1762","4","1889","5","60","46"
