"id","country","variable","coarse_level","coarse_stat","fine_level","fine_stat","diff_type","notes","coarse_significant_p05","fine_significant_p05"
"","US","annual_avg_wkly_wage vs avg_annual_pay","state(n=53)","corr=1","county(n=3275)","corr=1","similar","BLS QCEW 2024 annual, industry_code=10(total all industries), own_code=0(all ownerships). Wage/pay levels and year-over-year pct-change fields used as-is(already rates); estabs_per_1000_emp is a derived ratio. No registration required.","yes","yes"
"","US","annual_avg_wkly_wage vs oty_annual_avg_estabs_pct_chg","state(n=53)","corr=0.059","county(n=3275)","corr=0.132","magnitude_change","BLS QCEW 2024 annual, industry_code=10(total all industries), own_code=0(all ownerships). Wage/pay levels and year-over-year pct-change fields used as-is(already rates); estabs_per_1000_emp is a derived ratio. No registration required.","no","yes"
"","US","annual_avg_wkly_wage vs oty_annual_avg_emplvl_pct_chg","state(n=53)","corr=-0.073","county(n=3275)","corr=0.157","reversed","BLS QCEW 2024 annual, industry_code=10(total all industries), own_code=0(all ownerships). Wage/pay levels and year-over-year pct-change fields used as-is(already rates); estabs_per_1000_emp is a derived ratio. No registration required.","no","yes"
"","US","annual_avg_wkly_wage vs oty_total_annual_wages_pct_chg","state(n=53)","corr=0.11","county(n=3275)","corr=0.142","similar","BLS QCEW 2024 annual, industry_code=10(total all industries), own_code=0(all ownerships). Wage/pay levels and year-over-year pct-change fields used as-is(already rates); estabs_per_1000_emp is a derived ratio. No registration required.","no","yes"
"","US","annual_avg_wkly_wage vs oty_taxable_annual_wages_pct_chg","state(n=53)","corr=0.159","county(n=3275)","corr=0.118","similar","BLS QCEW 2024 annual, industry_code=10(total all industries), own_code=0(all ownerships). Wage/pay levels and year-over-year pct-change fields used as-is(already rates); estabs_per_1000_emp is a derived ratio. No registration required.","no","yes"
"","US","annual_avg_wkly_wage vs oty_annual_contributions_pct_chg","state(n=53)","corr=0.002","county(n=3275)","corr=0.015","magnitude_change","BLS QCEW 2024 annual, industry_code=10(total all industries), own_code=0(all ownerships). Wage/pay levels and year-over-year pct-change fields used as-is(already rates); estabs_per_1000_emp is a derived ratio. No registration required.","no","no"
"","US","annual_avg_wkly_wage vs oty_annual_avg_wkly_wage_pct_chg","state(n=53)","corr=0.215","county(n=3275)","corr=0.058","magnitude_change","BLS QCEW 2024 annual, industry_code=10(total all industries), own_code=0(all ownerships). Wage/pay levels and year-over-year pct-change fields used as-is(already rates); estabs_per_1000_emp is a derived ratio. No registration required.","no","yes"
"","US","annual_avg_wkly_wage vs oty_avg_annual_pay_pct_chg","state(n=53)","corr=0.207","county(n=3275)","corr=0.058","magnitude_change","BLS QCEW 2024 annual, industry_code=10(total all industries), own_code=0(all ownerships). Wage/pay levels and year-over-year pct-change fields used as-is(already rates); estabs_per_1000_emp is a derived ratio. No registration required.","no","yes"
"","US","annual_avg_wkly_wage vs estabs_per_1000_emp","state(n=53)","corr=-0.106","county(n=3275)","corr=0.045","magnitude_change","BLS QCEW 2024 annual, industry_code=10(total all industries), own_code=0(all ownerships). Wage/pay levels and year-over-year pct-change fields used as-is(already rates); estabs_per_1000_emp is a derived ratio. No registration required.","no","yes"
"","US","avg_annual_pay vs oty_annual_avg_estabs_pct_chg","state(n=53)","corr=0.059","county(n=3275)","corr=0.132","magnitude_change","BLS QCEW 2024 annual, industry_code=10(total all industries), own_code=0(all ownerships). Wage/pay levels and year-over-year pct-change fields used as-is(already rates); estabs_per_1000_emp is a derived ratio. No registration required.","no","yes"
