"id","country","variable","coarse_level","coarse_stat","fine_level","fine_stat","diff_type","notes","coarse_significant_p05","fine_significant_p05"
"","Netherlands","GeboorteRelatief_25 vs SterfteRelatief_27","gemeente(n=213)","corr=-0.495","wijk(n=1806)","corr=-0.124","magnitude_change","CBS Kerncijfers wijken en buurten 2024(table 83765NED), OData API, no registration required. gemeente=municipality, wijk=district (finer than gemeente, coarser than buurt/neighbourhood). Counts converted to per-1000-population rate; percentages/medians/averages kept as published.","yes","yes"
"","Netherlands","GeboorteRelatief_25 vs GemiddeldeHuishoudensgrootte_32","gemeente(n=213)","corr=0.165","wijk(n=1805)","corr=-0.002","magnitude_change","CBS Kerncijfers wijken en buurten 2024(table 83765NED), OData API, no registration required. gemeente=municipality, wijk=district (finer than gemeente, coarser than buurt/neighbourhood). Counts converted to per-1000-population rate; percentages/medians/averages kept as published.","yes","no"
"","Netherlands","GeboorteRelatief_25 vs Bevolkingsdichtheid_33","gemeente(n=213)","corr=0.33","wijk(n=1801)","corr=0.171","magnitude_change","CBS Kerncijfers wijken en buurten 2024(table 83765NED), OData API, no registration required. gemeente=municipality, wijk=district (finer than gemeente, coarser than buurt/neighbourhood). Counts converted to per-1000-population rate; percentages/medians/averages kept as published.","yes","yes"
"","Netherlands","GeboorteRelatief_25 vs GemiddeldeWOZWaardeVanWoningen_35","gemeente(n=209)","corr=-0.038","wijk(n=1669)","corr=-0.159","magnitude_change","CBS Kerncijfers wijken en buurten 2024(table 83765NED), OData API, no registration required. gemeente=municipality, wijk=district (finer than gemeente, coarser than buurt/neighbourhood). Counts converted to per-1000-population rate; percentages/medians/averages kept as published.","no","yes"
"","Netherlands","GeboorteRelatief_25 vs PercentageEengezinswoning_36","gemeente(n=213)","corr=-0.312","wijk(n=1771)","corr=-0.189","magnitude_change","CBS Kerncijfers wijken en buurten 2024(table 83765NED), OData API, no registration required. gemeente=municipality, wijk=district (finer than gemeente, coarser than buurt/neighbourhood). Counts converted to per-1000-population rate; percentages/medians/averages kept as published.","yes","yes"
"","Netherlands","GeboorteRelatief_25 vs PercentageMeergezinswoning_37","gemeente(n=213)","corr=0.312","wijk(n=1771)","corr=0.189","magnitude_change","CBS Kerncijfers wijken en buurten 2024(table 83765NED), OData API, no registration required. gemeente=municipality, wijk=district (finer than gemeente, coarser than buurt/neighbourhood). Counts converted to per-1000-population rate; percentages/medians/averages kept as published.","yes","yes"
"","Netherlands","GeboorteRelatief_25 vs PercentageBewoond_38","gemeente(n=213)","corr=0.167","wijk(n=1771)","corr=0.074","magnitude_change","CBS Kerncijfers wijken en buurten 2024(table 83765NED), OData API, no registration required. gemeente=municipality, wijk=district (finer than gemeente, coarser than buurt/neighbourhood). Counts converted to per-1000-population rate; percentages/medians/averages kept as published.","yes","yes"
"","Netherlands","GeboorteRelatief_25 vs PercentageOnbewoond_39","gemeente(n=213)","corr=-0.167","wijk(n=1771)","corr=-0.074","magnitude_change","CBS Kerncijfers wijken en buurten 2024(table 83765NED), OData API, no registration required. gemeente=municipality, wijk=district (finer than gemeente, coarser than buurt/neighbourhood). Counts converted to per-1000-population rate; percentages/medians/averages kept as published.","yes","yes"
"","Netherlands","GeboorteRelatief_25 vs Koopwoningen_40","gemeente(n=213)","corr=-0.198","wijk(n=1770)","corr=-0.18","similar","CBS Kerncijfers wijken en buurten 2024(table 83765NED), OData API, no registration required. gemeente=municipality, wijk=district (finer than gemeente, coarser than buurt/neighbourhood). Counts converted to per-1000-population rate; percentages/medians/averages kept as published.","yes","yes"
"","Netherlands","GeboorteRelatief_25 vs HuurwoningenTotaal_41","gemeente(n=213)","corr=0.214","wijk(n=1770)","corr=0.193","similar","CBS Kerncijfers wijken en buurten 2024(table 83765NED), OData API, no registration required. gemeente=municipality, wijk=district (finer than gemeente, coarser than buurt/neighbourhood). Counts converted to per-1000-population rate; percentages/medians/averages kept as published.","yes","yes"
