"id","country","variable","coarse_level","coarse_stat","fine_level","fine_stat","diff_type","notes","coarse_significant_p05","fine_significant_p05"
"","US","ACCESS2_CrudePrev vs ARTHRITIS_CrudePrev","county(n=2956)","corr=-0.204","place/city(n=27529)","corr=-0.171","similar","CDC PLACES 2025 release (model-based small-area estimates from BRFSS). CrudePrev = crude prevalence percent. County and place/city releases are independently modeled, not row-matched. Exhaustive pairwise scan across ~38 health variables -- multiple-testing caution applies, same as SSDSE full scan.","yes","yes"
"","US","ACCESS2_CrudePrev vs BINGE_CrudePrev","county(n=2956)","corr=-0.252","place/city(n=27529)","corr=-0.232","similar","CDC PLACES 2025 release (model-based small-area estimates from BRFSS). CrudePrev = crude prevalence percent. County and place/city releases are independently modeled, not row-matched. Exhaustive pairwise scan across ~38 health variables -- multiple-testing caution applies, same as SSDSE full scan.","yes","yes"
"","US","ACCESS2_CrudePrev vs BPHIGH_CrudePrev","county(n=2956)","corr=0.145","place/city(n=27529)","corr=0.134","similar","CDC PLACES 2025 release (model-based small-area estimates from BRFSS). CrudePrev = crude prevalence percent. County and place/city releases are independently modeled, not row-matched. Exhaustive pairwise scan across ~38 health variables -- multiple-testing caution applies, same as SSDSE full scan.","yes","yes"
"","US","ACCESS2_CrudePrev vs BPMED_CrudePrev","county(n=2956)","corr=-0.196","place/city(n=27529)","corr=-0.187","similar","CDC PLACES 2025 release (model-based small-area estimates from BRFSS). CrudePrev = crude prevalence percent. County and place/city releases are independently modeled, not row-matched. Exhaustive pairwise scan across ~38 health variables -- multiple-testing caution applies, same as SSDSE full scan.","yes","yes"
"","US","ACCESS2_CrudePrev vs CANCER_CrudePrev","county(n=2956)","corr=-0.509","place/city(n=27529)","corr=-0.505","similar","CDC PLACES 2025 release (model-based small-area estimates from BRFSS). CrudePrev = crude prevalence percent. County and place/city releases are independently modeled, not row-matched. Exhaustive pairwise scan across ~38 health variables -- multiple-testing caution applies, same as SSDSE full scan.","yes","yes"
"","US","ACCESS2_CrudePrev vs CASTHMA_CrudePrev","county(n=2956)","corr=-0.183","place/city(n=27529)","corr=-0.017","magnitude_change","CDC PLACES 2025 release (model-based small-area estimates from BRFSS). CrudePrev = crude prevalence percent. County and place/city releases are independently modeled, not row-matched. Exhaustive pairwise scan across ~38 health variables -- multiple-testing caution applies, same as SSDSE full scan.","yes","yes"
"","US","ACCESS2_CrudePrev vs CHD_CrudePrev","county(n=2956)","corr=0.104","place/city(n=27529)","corr=0.138","magnitude_change","CDC PLACES 2025 release (model-based small-area estimates from BRFSS). CrudePrev = crude prevalence percent. County and place/city releases are independently modeled, not row-matched. Exhaustive pairwise scan across ~38 health variables -- multiple-testing caution applies, same as SSDSE full scan.","yes","yes"
"","US","ACCESS2_CrudePrev vs CHECKUP_CrudePrev","county(n=2956)","corr=-0.348","place/city(n=27529)","corr=-0.388","similar","CDC PLACES 2025 release (model-based small-area estimates from BRFSS). CrudePrev = crude prevalence percent. County and place/city releases are independently modeled, not row-matched. Exhaustive pairwise scan across ~38 health variables -- multiple-testing caution applies, same as SSDSE full scan.","yes","yes"
"","US","ACCESS2_CrudePrev vs CHOLSCREEN_CrudePrev","county(n=2956)","corr=-0.419","place/city(n=27529)","corr=-0.509","similar","CDC PLACES 2025 release (model-based small-area estimates from BRFSS). CrudePrev = crude prevalence percent. County and place/city releases are independently modeled, not row-matched. Exhaustive pairwise scan across ~38 health variables -- multiple-testing caution applies, same as SSDSE full scan.","yes","yes"
"","US","ACCESS2_CrudePrev vs COLON_SCREEN_CrudePrev","county(n=2956)","corr=-0.696","place/city(n=27528)","corr=-0.68","similar","CDC PLACES 2025 release (model-based small-area estimates from BRFSS). CrudePrev = crude prevalence percent. County and place/city releases are independently modeled, not row-matched. Exhaustive pairwise scan across ~38 health variables -- multiple-testing caution applies, same as SSDSE full scan.","yes","yes"
"","US","ACCESS2_CrudePrev vs COPD_CrudePrev","county(n=2956)","corr=0.11","place/city(n=27529)","corr=0.179","magnitude_change","CDC PLACES 2025 release (model-based small-area estimates from BRFSS). CrudePrev = crude prevalence percent. County and place/city releases are independently modeled, not row-matched. Exhaustive pairwise scan across ~38 health variables -- multiple-testing caution applies, same as SSDSE full scan.","yes","yes"
