"id","country","variable","coarse_level","coarse_stat","fine_level","fine_stat","diff_type","notes","coarse_significant_p05","fine_significant_p05"
"","US","EP_POV150 vs EP_UNEMP","county(n=3144)","corr=0.02","tract(n=84120)","corr=0.913","magnitude_change","CDC/ATSDR Social Vulnerability Index 2022. EP_* fields are published percentages (ACS-based), used as-is. No registration required. County vs census tract.","no","yes"
"","US","EP_POV150 vs EP_HBURD","county(n=3144)","corr=0.011","tract(n=84120)","corr=0.948","magnitude_change","CDC/ATSDR Social Vulnerability Index 2022. EP_* fields are published percentages (ACS-based), used as-is. No registration required. County vs census tract.","no","yes"
"","US","EP_POV150 vs EP_NOHSDP","county(n=3144)","corr=0.016","tract(n=84120)","corr=0.848","magnitude_change","CDC/ATSDR Social Vulnerability Index 2022. EP_* fields are published percentages (ACS-based), used as-is. No registration required. County vs census tract.","no","yes"
"","US","EP_POV150 vs EP_UNINSUR","county(n=3144)","corr=0.019","tract(n=84120)","corr=0.95","magnitude_change","CDC/ATSDR Social Vulnerability Index 2022. EP_* fields are published percentages (ACS-based), used as-is. No registration required. County vs census tract.","no","yes"
"","US","EP_POV150 vs EP_AGE65","county(n=3144)","corr=0.019","tract(n=84120)","corr=0.831","magnitude_change","CDC/ATSDR Social Vulnerability Index 2022. EP_* fields are published percentages (ACS-based), used as-is. No registration required. County vs census tract.","no","yes"
"","US","EP_POV150 vs EP_AGE17","county(n=3144)","corr=0.006","tract(n=84120)","corr=0.84","magnitude_change","CDC/ATSDR Social Vulnerability Index 2022. EP_* fields are published percentages (ACS-based), used as-is. No registration required. County vs census tract.","no","yes"
"","US","EP_POV150 vs EP_DISABL","county(n=3144)","corr=0.005","tract(n=84120)","corr=0.95","magnitude_change","CDC/ATSDR Social Vulnerability Index 2022. EP_* fields are published percentages (ACS-based), used as-is. No registration required. County vs census tract.","no","yes"
"","US","EP_POV150 vs EP_SNGPNT","county(n=3144)","corr=0.019","tract(n=84120)","corr=0.945","magnitude_change","CDC/ATSDR Social Vulnerability Index 2022. EP_* fields are published percentages (ACS-based), used as-is. No registration required. County vs census tract.","no","yes"
"","US","EP_POV150 vs EP_LIMENG","county(n=3144)","corr=0.011","tract(n=84120)","corr=0.837","magnitude_change","CDC/ATSDR Social Vulnerability Index 2022. EP_* fields are published percentages (ACS-based), used as-is. No registration required. County vs census tract.","no","yes"
"","US","EP_POV150 vs EP_MINRTY","county(n=3144)","corr=0.004","tract(n=84120)","corr=0.802","magnitude_change","CDC/ATSDR Social Vulnerability Index 2022. EP_* fields are published percentages (ACS-based), used as-is. No registration required. County vs census tract.","no","yes"
"","US","EP_POV150 vs EP_MUNIT","county(n=3144)","corr=0.005","tract(n=84120)","corr=0.914","magnitude_change","CDC/ATSDR Social Vulnerability Index 2022. EP_* fields are published percentages (ACS-based), used as-is. No registration required. County vs census tract.","no","yes"
"","US","EP_POV150 vs EP_MOBILE","county(n=3144)","corr=0.006","tract(n=84120)","corr=0.925","magnitude_change","CDC/ATSDR Social Vulnerability Index 2022. EP_* fields are published percentages (ACS-based), used as-is. No registration required. County vs census tract.","no","yes"
"","US","EP_POV150 vs EP_CROWD","county(n=3144)","corr=0.022","tract(n=84120)","corr=0.944","magnitude_change","CDC/ATSDR Social Vulnerability Index 2022. EP_* fields are published percentages (ACS-based), used as-is. No registration required. County vs census tract.","no","yes"
"","US","EP_POV150 vs EP_NOVEH","county(n=3144)","corr=0.007","tract(n=84120)","corr=0.944","magnitude_change","CDC/ATSDR Social Vulnerability Index 2022. EP_* fields are published percentages (ACS-based), used as-is. No registration required. County vs census tract.","no","yes"
"","US","EP_POV150 vs EP_GROUPQ","county(n=3144)","corr=0.009","tract(n=84120)","corr=0.8","magnitude_change","CDC/ATSDR Social Vulnerability Index 2022. EP_* fields are published percentages (ACS-based), used as-is. No registration required. County vs census tract.","no","yes"
"","US","EP_POV150 vs EP_NOINT","county(n=3144)","corr=-0.039","tract(n=84120)","corr=0.947","magnitude_change","CDC/ATSDR Social Vulnerability Index 2022. EP_* fields are published percentages (ACS-based), used as-is. No registration required. County vs census tract.","yes","yes"
"","US","EP_POV150 vs EP_AFAM","county(n=3144)","corr=0.019","tract(n=84120)","corr=0.819","magnitude_change","CDC/ATSDR Social Vulnerability Index 2022. EP_* fields are published percentages (ACS-based), used as-is. No registration required. County vs census tract.","no","yes"
"","US","EP_POV150 vs EP_HISP","county(n=3144)","corr=0.005","tract(n=84120)","corr=0.814","magnitude_change","CDC/ATSDR Social Vulnerability Index 2022. EP_* fields are published percentages (ACS-based), used as-is. No registration required. County vs census tract.","no","yes"
"","US","EP_POV150 vs EP_ASIAN","county(n=3144)","corr=0.004","tract(n=84120)","corr=0.826","magnitude_change","CDC/ATSDR Social Vulnerability Index 2022. EP_* fields are published percentages (ACS-based), used as-is. No registration required. County vs census tract.","no","yes"
"","US","EP_POV150 vs EP_AIAN","county(n=3144)","corr=0.007","tract(n=84120)","corr=0.835","magnitude_change","CDC/ATSDR Social Vulnerability Index 2022. EP_* fields are published percentages (ACS-based), used as-is. No registration required. County vs census tract.","no","yes"
"","US","EP_POV150 vs EP_NHPI","county(n=3144)","corr=0.005","tract(n=84120)","corr=0.835","magnitude_change","CDC/ATSDR Social Vulnerability Index 2022. EP_* fields are published percentages (ACS-based), used as-is. No registration required. County vs census tract.","no","yes"
"","US","EP_POV150 vs EP_TWOMORE","county(n=3144)","corr=0.004","tract(n=84120)","corr=0.834","magnitude_change","CDC/ATSDR Social Vulnerability Index 2022. EP_* fields are published percentages (ACS-based), used as-is. No registration required. County vs census tract.","no","yes"
"","US","EP_POV150 vs EP_OTHERRACE","county(n=3144)","corr=0.009","tract(n=84120)","corr=0.835","magnitude_change","CDC/ATSDR Social Vulnerability Index 2022. EP_* fields are published percentages (ACS-based), used as-is. No registration required. County vs census tract.","no","yes"
"","US","EP_UNEMP vs EP_HBURD","county(n=3144)","corr=0.588","tract(n=84120)","corr=0.898","magnitude_change","CDC/ATSDR Social Vulnerability Index 2022. EP_* fields are published percentages (ACS-based), used as-is. No registration required. County vs census tract.","yes","yes"
"","US","EP_UNEMP vs EP_NOHSDP","county(n=3144)","corr=0.724","tract(n=84120)","corr=0.854","similar","CDC/ATSDR Social Vulnerability Index 2022. EP_* fields are published percentages (ACS-based), used as-is. No registration required. County vs census tract.","yes","yes"
"","US","EP_UNEMP vs EP_UNINSUR","county(n=3144)","corr=0.874","tract(n=84120)","corr=0.96","similar","CDC/ATSDR Social Vulnerability Index 2022. EP_* fields are published percentages (ACS-based), used as-is. No registration required. County vs census tract.","yes","yes"
"","US","EP_UNEMP vs EP_AGE65","county(n=3144)","corr=0.745","tract(n=84120)","corr=0.871","similar","CDC/ATSDR Social Vulnerability Index 2022. EP_* fields are published percentages (ACS-based), used as-is. No registration required. County vs census tract.","yes","yes"
"","US","EP_UNEMP vs EP_AGE17","county(n=3144)","corr=0.654","tract(n=84120)","corr=0.877","magnitude_change","CDC/ATSDR Social Vulnerability Index 2022. EP_* fields are published percentages (ACS-based), used as-is. No registration required. County vs census tract.","yes","yes"
