"id","country","variable","coarse_level","coarse_stat","fine_level","fine_stat","diff_type","notes","coarse_significant_p05","fine_significant_p05"
"","France","median_price_per_sqm vs median_valeur_fonciere","departement(n=97)","corr=0.882","commune(n=17982)","corr=0.804","similar","France DVF(demandes de valeurs foncieres) 2024, Vente only, Maison/Appartement only, deduped by id_mutation. Median per area(min 3 transactions). No registration required. Direct department-level aggregation of raw transactions(not population-weighted).","yes","yes"
"","France","median_price_per_sqm vs median_surface_bati","departement(n=97)","corr=-0.779","commune(n=17982)","corr=-0.148","magnitude_change","France DVF(demandes de valeurs foncieres) 2024, Vente only, Maison/Appartement only, deduped by id_mutation. Median per area(min 3 transactions). No registration required. Direct department-level aggregation of raw transactions(not population-weighted).","yes","yes"
"","France","median_price_per_sqm vs median_pieces","departement(n=97)","corr=-0.608","commune(n=17982)","corr=-0.071","magnitude_change","France DVF(demandes de valeurs foncieres) 2024, Vente only, Maison/Appartement only, deduped by id_mutation. Median per area(min 3 transactions). No registration required. Direct department-level aggregation of raw transactions(not population-weighted).","yes","yes"
"","France","median_price_per_sqm vs appartement_share_pct","departement(n=97)","corr=0.834","commune(n=17982)","corr=0.487","magnitude_change","France DVF(demandes de valeurs foncieres) 2024, Vente only, Maison/Appartement only, deduped by id_mutation. Median per area(min 3 transactions). No registration required. Direct department-level aggregation of raw transactions(not population-weighted).","yes","yes"
"","France","median_valeur_fonciere vs median_surface_bati","departement(n=97)","corr=-0.493","commune(n=17982)","corr=0.292","reversed","France DVF(demandes de valeurs foncieres) 2024, Vente only, Maison/Appartement only, deduped by id_mutation. Median per area(min 3 transactions). No registration required. Direct department-level aggregation of raw transactions(not population-weighted).","yes","yes"
"","France","median_valeur_fonciere vs median_pieces","departement(n=97)","corr=-0.357","commune(n=17982)","corr=0.278","reversed","France DVF(demandes de valeurs foncieres) 2024, Vente only, Maison/Appartement only, deduped by id_mutation. Median per area(min 3 transactions). No registration required. Direct department-level aggregation of raw transactions(not population-weighted).","yes","yes"
"","France","median_valeur_fonciere vs appartement_share_pct","departement(n=97)","corr=0.675","commune(n=17982)","corr=0.157","magnitude_change","France DVF(demandes de valeurs foncieres) 2024, Vente only, Maison/Appartement only, deduped by id_mutation. Median per area(min 3 transactions). No registration required. Direct department-level aggregation of raw transactions(not population-weighted).","yes","yes"
"","France","median_surface_bati vs median_pieces","departement(n=97)","corr=0.8","commune(n=17982)","corr=0.691","similar","France DVF(demandes de valeurs foncieres) 2024, Vente only, Maison/Appartement only, deduped by id_mutation. Median per area(min 3 transactions). No registration required. Direct department-level aggregation of raw transactions(not population-weighted).","yes","yes"
"","France","median_surface_bati vs appartement_share_pct","departement(n=97)","corr=-0.862","commune(n=17982)","corr=-0.436","magnitude_change","France DVF(demandes de valeurs foncieres) 2024, Vente only, Maison/Appartement only, deduped by id_mutation. Median per area(min 3 transactions). No registration required. Direct department-level aggregation of raw transactions(not population-weighted).","yes","yes"
"","France","median_pieces vs appartement_share_pct","departement(n=97)","corr=-0.734","commune(n=17982)","corr=-0.365","magnitude_change","France DVF(demandes de valeurs foncieres) 2024, Vente only, Maison/Appartement only, deduped by id_mutation. Median per area(min 3 transactions). No registration required. Direct department-level aggregation of raw transactions(not population-weighted).","yes","yes"
