"id","country","variable","coarse_level","coarse_stat","fine_level","fine_stat","diff_type","notes","coarse_significant_p05","fine_significant_p05"
"","EU","CNMIGRATRT vs GBIRTHRT","NUTS2(n=296)","corr=-0.143","NUTS3(n=1374)","corr=-0.126","similar","Eurostat demo_r_gind3 (population change, births, deaths, migration rates), 2022, NUTS2 vs NUTS3","yes","yes"
"","EU","CNMIGRATRT vs GDEATHRT","NUTS2(n=296)","corr=-0.027","NUTS3(n=1374)","corr=-0.071","magnitude_change","Eurostat demo_r_gind3 (population change, births, deaths, migration rates), 2022, NUTS2 vs NUTS3","no","yes"
"","EU","CNMIGRATRT vs GROWRT","NUTS2(n=296)","corr=0.943","NUTS3(n=1374)","corr=0.953","similar","Eurostat demo_r_gind3 (population change, births, deaths, migration rates), 2022, NUTS2 vs NUTS3","yes","yes"
"","EU","CNMIGRATRT vs NATGROWRT","NUTS2(n=296)","corr=-0.061","NUTS3(n=1374)","corr=-0.008","magnitude_change","Eurostat demo_r_gind3 (population change, births, deaths, migration rates), 2022, NUTS2 vs NUTS3","no","no"
"","EU","GBIRTHRT vs GDEATHRT","NUTS2(n=296)","corr=-0.568","NUTS3(n=1374)","corr=-0.563","similar","Eurostat demo_r_gind3 (population change, births, deaths, migration rates), 2022, NUTS2 vs NUTS3","yes","yes"
"","EU","GBIRTHRT vs GROWRT","NUTS2(n=296)","corr=0.153","NUTS3(n=1374)","corr=0.131","similar","Eurostat demo_r_gind3 (population change, births, deaths, migration rates), 2022, NUTS2 vs NUTS3","yes","yes"
"","EU","GBIRTHRT vs NATGROWRT","NUTS2(n=296)","corr=0.874","NUTS3(n=1374)","corr=0.829","similar","Eurostat demo_r_gind3 (population change, births, deaths, migration rates), 2022, NUTS2 vs NUTS3","yes","yes"
"","EU","GDEATHRT vs GROWRT","NUTS2(n=296)","corr=-0.324","NUTS3(n=1374)","corr=-0.35","similar","Eurostat demo_r_gind3 (population change, births, deaths, migration rates), 2022, NUTS2 vs NUTS3","yes","yes"
"","EU","GDEATHRT vs NATGROWRT","NUTS2(n=296)","corr=-0.896","NUTS3(n=1374)","corr=-0.929","similar","Eurostat demo_r_gind3 (population change, births, deaths, migration rates), 2022, NUTS2 vs NUTS3","yes","yes"
"","EU","GROWRT vs NATGROWRT","NUTS2(n=296)","corr=0.274","NUTS3(n=1374)","corr=0.295","similar","Eurostat demo_r_gind3 (population change, births, deaths, migration rates), 2022, NUTS2 vs NUTS3","yes","yes"
